tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Liver,TCF7,CD8_T,NL→AR,NL,AR,0.15180983,0.22259657,46.59999847412109,↑,0.380952,NS,13/18,6,3
Liver,TCF7,CD8_T,NL→CR,NL,CR,0.15180983,0.22906347,50.900001525878906,↑,0.261905,NS,14/18,6,3
Liver,TCF7,CD8_T,IT→IA,IT,IA,0.271438,0.42575684,56.900001525878906,↑,0.662338,NS,18/30,6,5
Liver,TCF7,CD8_T,IA→AR,IA,AR,0.42575684,0.22259657,-47.70000076293945,↓,0.392857,NS,11/15,5,3
Liver,TCF7,CD8_T,CR→AR,CR,AR,0.22906347,0.22259657,-2.799999952316284,↓,1.0,NS,4/9,3,3
Liver,TCF7,NK,NL→IT,NL,IT,0.098030925,0.19832194,102.3000030517578,↑,0.132035,NS,28/36,6,6
Liver,TCF7,NK,NL→IA,NL,IA,0.098030925,0.21521404,119.5,↑,0.030303,*,27/30,6,5
Liver,TCF7,NK,NL→AR,NL,AR,0.098030925,0.19838285,102.4000015258789,↑,0.02381,*,18/18,6,3
Liver,TCF7,NK,NL→CR,NL,CR,0.098030925,0.19744883,101.4000015258789,↑,0.261905,NS,14/18,6,3
Liver,TCF7,NK,IT→IA,IT,IA,0.19832194,0.21521404,8.5,↑,0.792208,NS,17/30,6,5
Liver,TCF7,NK,IA→AR,IA,AR,0.21521404,0.19838285,-7.800000190734863,↓,0.785714,NS,9/15,5,3
Liver,TCF7,NK,CR→AR,CR,AR,0.19744883,0.19838285,0.5,↑,1.0,NS,4/9,3,3
Liver,TCF7,B,NL→IT,NL,IT,0.019199988,0.022760827,18.5,↑,0.773938,NS,14/30,6,5
Liver,TCF7,B,NL→IA,NL,IA,0.019199988,0.081982166,327.0,↑,0.034094,*,27/30,6,5
Liver,TCF7,B,NL→AR,NL,AR,0.019199988,0.07464566,288.79998779296875,↑,0.087825,†,16/18,6,3
Liver,TCF7,B,NL→CR,NL,CR,0.019199988,0.044305537,130.8000030517578,↑,0.237302,NS,14/18,6,3
Liver,TCF7,B,IT→IA,IT,IA,0.022760827,0.081982166,260.20001220703125,↑,0.059327,†,22/25,5,5
Liver,TCF7,B,IA→AR,IA,AR,0.081982166,0.07464566,-8.899999618530273,↓,0.785714,NS,9/15,5,3
Liver,TCF7,B,CR→AR,CR,AR,0.044305537,0.07464566,68.5,↑,0.4,NS,7/9,3,3
Liver,TCF7,PlasmaB,NL→IT,NL,IT,0.00050850696,0.02691352,5192.7001953125,↑,0.352972,NS,12/30,6,5
Liver,TCF7,PlasmaB,NL→IA,NL,IA,0.00050850696,0.006873984,1251.800048828125,↑,0.892295,NS,6/30,6,5
Liver,TCF7,PlasmaB,NL→AR,NL,AR,0.00050850696,0.07338457,14331.400390625,↑,0.595883,NS,6/18,6,3
Liver,TCF7,PlasmaB,NL→CR,NL,CR,0.00050850696,0.0,-100.0,↓,0.637352,NS,3/18,6,3
Liver,TCF7,PlasmaB,IT→IA,IT,IA,0.02691352,0.006873984,-74.5,↓,0.440686,NS,10/25,5,5
Liver,TCF7,PlasmaB,IA→AR,IA,AR,0.006873984,0.07338457,967.5999755859376,↑,0.69627,NS,5/15,5,3
Liver,TCF7,PlasmaB,CR→AR,CR,AR,0.0,0.07338457,99999.0,↑,0.504985,NS,3/9,3,3
Liver,TET2,Myeloid,NL→IT,NL,IT,0.47056243,0.4953489,5.300000190734863,↑,0.818182,NS,20/36,6,6
Liver,TET2,Myeloid,NL→IA,NL,IA,0.47056243,0.42513943,-9.699999809265137,↓,1.0,NS,15/30,6,5
Liver,TET2,Myeloid,NL→AR,NL,AR,0.47056243,0.4220941,-10.300000190734863,↓,0.904762,NS,10/18,6,3
Liver,TET2,Myeloid,NL→CR,NL,CR,0.47056243,0.5179798,10.100000381469728,↑,0.547619,NS,12/18,6,3
Liver,TET2,Myeloid,IT→IA,IT,IA,0.4953489,0.42513943,-14.199999809265137,↓,0.536797,NS,19/30,6,5
Liver,TET2,Myeloid,IA→AR,IA,AR,0.42513943,0.4220941,-0.699999988079071,↓,0.785714,NS,9/15,5,3
Liver,TET2,Myeloid,CR→AR,CR,AR,0.5179798,0.4220941,-18.5,↓,0.4,NS,7/9,3,3
Liver,TET2,CD4_T,NL→IT,NL,IT,0.043062624,0.068475485,59.0,↑,0.093074,†,29/36,6,6
Liver,TET2,CD4_T,NL→IA,NL,IA,0.043062624,0.072848186,69.19999694824219,↑,0.246753,NS,22/30,6,5
Liver,TET2,CD4_T,NL→AR,NL,AR,0.043062624,0.05226231,21.399999618530277,↑,0.547619,NS,12/18,6,3
Liver,TET2,CD4_T,NL→CR,NL,CR,0.043062624,0.073071055,69.69999694824219,↑,0.261905,NS,14/18,6,3
Liver,TET2,CD4_T,IT→IA,IT,IA,0.068475485,0.072848186,6.400000095367432,↑,0.930736,NS,16/30,6,5
Liver,TET2,CD4_T,IA→AR,IA,AR,0.072848186,0.05226231,-28.299999237060547,↓,0.571429,NS,10/15,5,3
Liver,TET2,CD4_T,CR→AR,CR,AR,0.073071055,0.05226231,-28.5,↓,0.4,NS,7/9,3,3
Liver,TET2,CD8_T,NL→IT,NL,IT,0.04662935,0.07198437,54.400001525878906,↑,0.132035,NS,28/36,6,6
Liver,TET2,CD8_T,NL→IA,NL,IA,0.04662935,0.09060305,94.3000030517578,↑,0.125541,NS,24/30,6,5
Liver,TET2,CD8_T,NL→AR,NL,AR,0.04662935,0.06962854,49.29999923706055,↑,0.095238,†,16/18,6,3
Liver,TET2,CD8_T,NL→CR,NL,CR,0.04662935,0.07214223,54.70000076293945,↑,0.547619,NS,12/18,6,3
Liver,TET2,CD8_T,IT→IA,IT,IA,0.07198437,0.09060305,25.899999618530277,↑,0.583025,NS,18/30,6,5
Liver,TET2,CD8_T,IA→AR,IA,AR,0.09060305,0.06962854,-23.100000381469727,↓,0.392857,NS,11/15,5,3
Liver,TET2,CD8_T,CR→AR,CR,AR,0.07214223,0.06962854,-3.5,↓,1.0,NS,5/9,3,3
Liver,TET2,NK,NL→IT,NL,IT,0.07061282,0.12491855,76.9000015258789,↑,0.093074,†,29/36,6,6
Liver,TET2,NK,NL→IA,NL,IA,0.07061282,0.0973948,37.900001525878906,↑,0.246753,NS,22/30,6,5
Liver,TET2,NK,NL→AR,NL,AR,0.07061282,0.066655844,-5.599999904632568,↓,1.0,NS,9/18,6,3
Liver,TET2,NK,NL→CR,NL,CR,0.07061282,0.12097719,71.30000305175781,↑,0.095238,†,16/18,6,3
Liver,TET2,NK,IT→IA,IT,IA,0.12491855,0.0973948,-22.0,↓,0.662338,NS,18/30,6,5
Liver,TET2,NK,IA→AR,IA,AR,0.0973948,0.066655844,-31.600000381469727,↓,0.392857,NS,11/15,5,3
Liver,TET2,NK,CR→AR,CR,AR,0.12097719,0.066655844,-44.900001525878906,↓,0.2,NS,8/9,3,3
Liver,TET2,B,NL→IT,NL,IT,0.039284237,0.20497403,421.7999877929688,↑,0.007969,**,30/30,6,5
Liver,TET2,B,NL→IA,NL,IA,0.039284237,0.121371806,209.0,↑,0.035344,*,27/30,6,5
Liver,TET2,B,NL→AR,NL,AR,0.039284237,0.08959428,128.10000610351562,↑,0.153854,NS,15/18,6,3
Liver,TET2,B,NL→CR,NL,CR,0.039284237,0.13201979,236.1000061035156,↑,0.091925,†,16/18,6,3
Liver,TET2,B,IT→IA,IT,IA,0.20497403,0.121371806,-40.79999923706055,↓,0.095238,†,21/25,5,5
Liver,TET2,B,IA→AR,IA,AR,0.121371806,0.08959428,-26.200000762939453,↓,0.392857,NS,11/15,5,3
Liver,TET2,B,CR→AR,CR,AR,0.13201979,0.08959428,-32.099998474121094,↓,0.7,NS,6/9,3,3
Liver,TET2,PlasmaB,NL→IT,NL,IT,0.10442563,0.14131346,35.29999923706055,↑,0.714379,NS,17/30,6,5
