tissue_liver,gene,lineage,comparison_liver,stage1_liver,stage2_liver,mean_s1_liver,mean_s2_liver,pct_change_liver,direction_liver,p_value_liver,sig_liver,consistency_liver,n_s1_liver,n_s2_liver,tissue_blood,comparison_blood,stage1_blood,stage2_blood,mean_s1_blood,mean_s2_blood,pct_change_blood,direction_blood,p_value_blood,sig_blood,consistency_blood,n_s1_blood,n_s2_blood
Liver,EIF4EBP1,B,NL→IT,NL,IT,0.10918754,0.095087364,-12.899999618530272,↓,0.662338,NS,18/30,6,5,Blood,NL→IT,NL,IT,0.14001934,0.21351445,52.5,↑,0.007937,**,25/25,5,5
Liver,SERPINE1,Myeloid,NL→IT,NL,IT,0.041007463,0.030614415,-25.299999237060547,↓,0.683635,NS,19/36,6,6,Blood,NL→IT,NL,IT,0.00024159501,0.0032383644,1240.4000244140625,↑,0.044909,*,20/25,5,5
Liver,PYCARD,Myeloid,NL→IT,NL,IT,1.2516918,1.178778,-5.800000190734863,↓,0.818182,NS,20/36,6,6,Blood,NL→IT,NL,IT,1.512367,1.8861771,24.700000762939453,↑,0.007937,**,25/25,5,5
Liver,BATF,CD4_T,NL→IT,NL,IT,0.30720818,0.31029573,1.0,↑,0.818182,NS,20/36,6,6,Blood,NL→IT,NL,IT,0.40735778,0.24605688,-39.59999847412109,↓,0.031746,*,23/25,5,5
Liver,VEGFB,NK,NL→IT,NL,IT,0.02323251,0.02017714,-13.199999809265137,↓,0.818182,NS,16/36,6,6,Blood,NL→IT,NL,IT,0.01488578,0.03757123,152.39999389648438,↑,0.007937,**,25/25,5,5
Liver,DNMT3A,CD4_T,NL→IT,NL,IT,0.06032011,0.056304168,-6.699999809265137,↓,0.937229,NS,19/36,6,6,Blood,NL→IT,NL,IT,0.04807196,0.11212049,133.1999969482422,↑,0.007937,**,25/25,5,5
Liver,ATP5F1B,Myeloid,NL→IT,NL,IT,1.2816397,1.2803249,-0.1000000014901161,↓,0.937229,NS,17/36,6,6,Blood,NL→IT,NL,IT,0.781137,1.2462801,59.5,↑,0.031746,*,23/25,5,5
Liver,TGFBR1,NK,NL→IT,NL,IT,0.13320853,0.12111059,-9.100000381469728,↓,1.0,NS,18/36,6,6,Blood,NL→IT,NL,IT,0.14647858,0.28691548,95.9000015258789,↑,0.007937,**,25/25,5,5
Liver,JAK3,PlasmaB,NL→IT,NL,IT,0.10584203,0.082747854,-21.799999237060547,↓,1.0,NS,15/30,6,5,Blood,NL→IT,NL,IT,0.014100498,0.08140651,477.2999877929688,↑,0.011159,*,25/25,5,5
Liver,CDK1,B,NL→IT,NL,IT,0.009602032,0.0029172762,-69.5999984741211,↓,1.0,NS,5/30,6,5,Blood,NL→IT,NL,IT,0.00021718384,0.0025471551,1072.800048828125,↑,0.044909,*,20/25,5,5
