tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,CD8_T,HLA-DRA,STAT1,0.647,0.000843,**,23,0.015090534818941502,0.011306117647058824
Liver,CD8_T,HLA-DRA,STAT2,0.568,0.004677,**,23,0.04619129958890031,0.037136776119402984
Liver,CD8_T,HLA-DRA,TAP1,0.608,0.002099,**,23,0.027468589237057223,0.021300075471698116
Liver,CD8_T,HLA-DRA,TET2,0.509,0.01322,*,23,0.09038057651245553,0.07832222222222222
Liver,CD8_T,HLA-DRA,TFAM,0.415,0.048928,*,23,0.20631163476733977,0.18118117865429234
Liver,CD8_T,HLA-DRA,TGFB1,0.083,0.706527,NS,23,0.864803453137942,0.8747999162141195
Liver,CD8_T,HLA-DRA,TGFBR1,0.006,0.978581,NS,23,0.9922655666772086,0.9941535811584978
Liver,CD8_T,HLA-DRA,TGFBR2,0.493,0.016816,*,23,0.1047850068115472,0.09097741016949153
Liver,CD8_T,HLA-DRA,TIGIT,0.724,9.3e-05,**,23,0.003482695906432749,0.00309225
Liver,CD8_T,HLA-DRA,TOX,0.56,0.005427,**,23,0.051031863436123356,0.04104972511848341
Liver,CD8_T,HLA-DRA,TOX2,0.649,0.000803,**,23,0.014691840952380953,0.011048172413793104
Liver,CD8_T,HLA-DRA,TYROBP,-0.068,0.757235,NS,23,0.8911751144519289,0.8990890973977694
Liver,CD8_T,HLA-DRB1,IL1B,0.131,0.549901,NS,23,0.7720559240099372,0.7816790169189669
Liver,CD8_T,HLA-DRB1,IL1RN,0.182,0.404934,NS,23,0.6701258551997246,0.6693169411764706
Liver,CD8_T,HLA-DRB1,IL2RA,-0.089,0.686563,NS,23,0.8539982936872774,0.8648417900552486
Liver,CD8_T,HLA-DRB1,IRF3,0.038,0.864933,NS,23,0.9441210042608795,0.9553170020761246
Liver,CD8_T,HLA-DRB1,IRF7,0.059,0.788147,NS,23,0.9060554136197714,0.9154895283842795
Liver,CD8_T,HLA-DRB1,ISG15,0.449,0.031783,*,23,0.15851069911734164,0.1401261546961326
Liver,CD8_T,HLA-DRB1,JAK1,0.378,0.074958,†,23,0.2683096959195081,0.23411539726027397
Liver,CD8_T,HLA-DRB1,JCHAIN,-0.553,0.006162,**,23,0.055316907476635514,0.0449066301369863
Liver,CD8_T,HLA-DRB1,LAYN,0.32,0.136016,NS,23,0.3760799332181923,0.343371596214511
Liver,CD8_T,HLA-DRB1,LDHA,-0.042,0.850863,NS,23,0.9376616577754833,0.9469855983263599
Liver,CD8_T,HLA-DRB1,LGALS9,0.524,0.010323,*,23,0.07736058573655495,0.06670246153846154
Liver,CD8_T,HLA-DRB1,LILRB1,0.31,0.149614,NS,23,0.3967745104914412,0.3645556396946565
Liver,CD8_T,HLA-DRB1,MEFV,-0.11,0.618156,NS,23,0.8158658368131868,0.8203466533665835
Liver,CD8_T,HLA-DRB1,MT-CYB,0.313,0.145559,NS,23,0.3901679850704618,0.35795402773497687
Liver,CD8_T,HLA-DRB1,MT-ND1,0.32,0.136402,NS,23,0.37639104853532457,0.343371596214511
Liver,CD8_T,HLA-DRB1,MT-ND2,-0.036,0.871984,NS,23,0.9470888323156942,0.9584617520661157
Liver,CD8_T,HLA-DRB1,MTOR,0.556,0.005837,**,23,0.053576018633540376,0.04312894444444445
Liver,CD8_T,HLA-DRB1,MX1,0.196,0.370959,NS,23,0.6409100429662921,0.6372987771797632
Liver,CD8_T,HLA-DRB1,PRDM1,-0.152,0.488212,NS,23,0.7303575808285314,0.7385652625592417
Liver,CD8_T,HLA-DRB1,PYCARD,0.382,0.071724,†,23,0.2619064367990876,0.22757754274353875
Liver,CD8_T,HLA-DRB1,RB1,0.7,0.000203,**,23,0.005811971684053651,0.0046284
Liver,CD8_T,HLA-DRB1,RORC,-0.615,0.001805,**,23,0.025091067293777133,0.01986744827586207
Liver,CD8_T,HLA-DRB1,RPTOR,0.0,1.0,NS,23,1.0,1.0
Liver,CD8_T,HLA-DRB1,SDHB,0.421,0.045471,*,23,0.19652269538807648,0.17197089099526064
Liver,CD8_T,HLA-DRB1,SIGLEC10,0.198,0.364838,NS,23,0.6354975807416811,0.6322274136807818
Liver,CD8_T,HLA-DRB1,SOCS1,-0.276,0.202916,NS,23,0.467692774565087,0.4442440823045268
Liver,CD8_T,HLA-DRB1,SOCS3,0.177,0.419456,NS,23,0.6813528375844595,0.6838118243105209
Liver,CD8_T,HLA-DRB1,STAT1,0.356,0.095735,†,23,0.3096007379229086,0.2762984810126582
Liver,CD8_T,HLA-DRB1,STAT2,0.38,0.073328,†,23,0.2646419892937641,0.2317455207920792
Liver,CD8_T,HLA-DRB1,TAP1,0.442,0.03485,*,23,0.16766968601451088,0.14484531250000002
Liver,CD8_T,HLA-DRB1,TET2,0.359,0.092238,†,23,0.3032980540078619,0.27061001470588236
Liver,CD8_T,HLA-DRB1,TFAM,0.481,0.020085,*,23,0.11835979601226994,0.1030728617363344
Liver,CD8_T,HLA-DRB1,TGFB1,0.017,0.93936,NS,23,0.9751901641460516,0.9876275098814229
Liver,CD8_T,HLA-DRB1,TGFBR1,0.066,0.764075,NS,23,0.8948157078329778,0.9033064444444444
Liver,CD8_T,HLA-DRB1,TGFBR2,0.395,0.061941,†,23,0.23928183209330386,0.20900176744186047
Liver,CD8_T,HLA-DRB1,TIGIT,0.742,5e-05,**,23,0.0022815914489311166,0.0020241951219512194
Liver,CD8_T,HLA-DRB1,TOX,0.686,0.000304,**,23,0.007594465539661899,0.005776000000000001
Liver,CD8_T,HLA-DRB1,TOX2,0.493,0.016816,*,23,0.1047850068115472,0.09097741016949153
Liver,CD8_T,HLA-DRB1,TYROBP,-0.09,0.683255,NS,23,0.8524491365761787,0.8640847702060221
Liver,CD8_T,IL1B,IL1RN,0.269,0.213686,NS,23,0.4814827288294628,0.4596264905660377
Liver,CD8_T,IL1B,IL2RA,0.414,0.04956,*,23,0.2077000785340314,0.18267381062355656
Liver,CD8_T,IL1B,IRF3,-0.037,0.868309,NS,23,0.9459993474686773,0.9572219419889504
Liver,CD8_T,IL1B,IRF7,0.005,0.983237,NS,23,0.9943578409832614,0.9957146269035534
Liver,CD8_T,IL1B,ISG15,-0.082,0.71003,NS,23,0.8669920758914385,0.8770958823529412
Liver,CD8_T,IL1B,JAK1,0.214,0.326968,NS,23,0.6008017453849832,0.5876587027027027
Liver,CD8_T,IL1B,JCHAIN,0.183,0.403239,NS,23,0.6690813982553118,0.6682964112149532
Liver,CD8_T,IL1B,LAYN,-0.075,0.733989,NS,23,0.8796420885215221,0.8908337977186311
Liver,CD8_T,IL1B,LDHA,0.357,0.094213,†,23,0.3067964138983051,0.2743867664233577
Liver,CD8_T,IL1B,LGALS9,0.303,0.159712,NS,23,0.4113456538409974,0.3798812995529061
Liver,CD8_T,IL1B,LILRB1,0.526,0.009877,**,23,0.07514734534653465,0.06487116049382716
Liver,CD8_T,IL1B,MEFV,0.23,0.29183,NS,23,0.5676162934089297,0.5489358542890717
Liver,CD8_T,IL1B,MT-CYB,-0.155,0.48105,NS,23,0.7259014649281281,0.7346945454545454
Liver,CD8_T,IL1B,MT-ND1,-0.135,0.540468,NS,23,0.7654206227792112,0.7764058757875787
Liver,CD8_T,IL1B,MT-ND2,0.052,0.81529,NS,23,0.9192437023048501,0.9274624273504273
Liver,CD8_T,IL1B,MTOR,0.26,0.23119,NS,23,0.503387860138275,0.4811929595827901
Liver,CD8_T,IL1B,MX1,0.264,0.222666,NS,23,0.4930424764868603,0.47320231158455395
Liver,CD8_T,IL1B,PRDM1,0.01,0.962759,NS,23,0.9849067122317483,0.989733484244373
Liver,CD8_T,IL1B,PYCARD,-0.24,0.270585,NS,23,0.5451823023986592,0.529881791411043
Liver,CD8_T,IL1B,RB1,0.404,0.056117,†,23,0.2247370621221597,0.19684116923076922
Liver,CD8_T,IL1B,RORC,0.307,0.154553,NS,23,0.4039615895238095,0.3745964114977307
Liver,CD8_T,IL1B,RPTOR,0.372,0.080291,†,23,0.2800418302469136,0.24548742528735631
Liver,CD8_T,IL1B,SDHB,0.115,0.601436,NS,23,0.8044410635661072,0.814928420338983
Liver,CD8_T,IL1B,SIGLEC10,0.05,0.820305,NS,23,0.9212871749547129,0.930495223880597
Liver,CD8_T,IL1B,SOCS1,-0.043,0.84629,NS,23,0.9356089768084249,0.9450550607966457
Liver,CD8_T,IL1B,SOCS3,0.18,0.410009,NS,23,0.6740272889782646,0.6718422628336755
Liver,CD8_T,IL1B,STAT1,0.045,0.838975,NS,23,0.9320812355424475,0.9429606338028169
Liver,CD8_T,IL1B,STAT2,0.085,0.699573,NS,23,0.8627227947945382,0.872626715625
Liver,CD8_T,IL1B,TAP1,0.066,0.764829,NS,23,0.8953765946983546,0.9033430619469026
Liver,CD8_T,IL1B,TET2,0.234,0.282846,NS,23,0.5579949174368454,0.5425747788461539
Liver,CD8_T,IL1B,TFAM,0.068,0.757691,NS,23,0.8913111138938216,0.8990890973977694
Liver,CD8_T,IL1B,TGFB1,-0.013,0.953458,NS,23,0.9808234779419638,0.9876464347826087
Liver,CD8_T,IL1B,TGFBR1,0.042,0.848121,NS,23,0.9365552986721849,0.9452521759776537
Liver,CD8_T,IL1B,TGFBR2,-0.022,0.921884,NS,23,0.9688885346025493,0.9789267225548903
Liver,CD8_T,IL1B,TIGIT,0.121,0.581875,NS,23,0.7917615199376726,0.8010863319002579
Liver,CD8_T,IL1B,TOX,0.266,0.219872,NS,23,0.4891674570932253,0.46913865240641717
Liver,CD8_T,IL1B,TOX2,-0.17,0.437704,NS,23,0.695511293961952,0.6978995808383234
Liver,CD8_T,IL1B,TYROBP,0.225,0.301346,NS,23,0.5771726717176753,0.5566530277777778
Liver,CD8_T,IL1RN,IL2RA,0.301,0.163481,NS,23,0.41697205138077537,0.38711524629080113
Liver,CD8_T,IL1RN,IRF3,0.09,0.684146,NS,23,0.8530354789070613,0.8645265368171022
Liver,CD8_T,IL1RN,IRF7,0.23,0.290537,NS,23,0.566719624606639,0.5488049041420118
Liver,CD8_T,IL1RN,ISG15,0.507,0.013466,*,23,0.09157356672566372,0.07872430769230769
Liver,CD8_T,IL1RN,JAK1,0.61,0.001986,**,23,0.026761525435540067,0.021115500000000002
Liver,CD8_T,IL1RN,JCHAIN,-0.02,0.926476,NS,23,0.9710054793235133,0.9798911172962227
Liver,CD8_T,IL1RN,LAYN,0.7,0.000203,**,23,0.005811971684053651,0.0046284
Liver,CD8_T,IL1RN,LDHA,0.115,0.600922,NS,23,0.8038710658682634,0.814928420338983
Liver,CD8_T,IL1RN,LGALS9,0.287,0.183766,NS,23,0.44461193656387665,0.42139444827586214
Liver,CD8_T,IL1RN,LILRB1,0.018,0.933811,NS,23,0.9731387426311227,0.9843872892998679
Liver,CD8_T,IL1RN,MEFV,0.283,0.191438,NS,23,0.4539828932230589,0.4297841687763713
Liver,CD8_T,IL1RN,MT-CYB,0.397,0.06046,†,23,0.23554390358517321,0.2055512170212766
Liver,CD8_T,IL1RN,MT-ND1,0.331,0.122756,NS,23,0.3548639300090117,0.32463274172185436
Liver,CD8_T,IL1RN,MT-ND2,0.1,0.65036,NS,23,0.8362299935091007,0.844054331707317
Liver,CD8_T,IL1RN,MTOR,0.36,0.091889,†,23,0.30268854235253767,0.27008258563535914
Liver,CD8_T,IL1RN,MX1,0.312,0.147583,NS,23,0.3934522638079378,0.3612614539877301
Liver,CD8_T,IL1RN,PRDM1,0.335,0.11794,NS,23,0.34751821220484513,0.31753682828282825
Liver,CD8_T,IL1RN,PYCARD,0.279,0.197073,NS,23,0.4626062320381232,0.43867295397489536
Liver,CD8_T,IL1RN,RB1,0.327,0.127712,NS,23,0.3634239715597689,0.32981933980582523
Liver,CD8_T,IL1RN,RORC,-0.121,0.581599,NS,23,0.7915201465712666,0.8010863319002579
Liver,CD8_T,IL1RN,RPTOR,0.616,0.001736,**,23,0.024504258633357826,0.019375216783216784
Liver,CD8_T,IL1RN,SDHB,0.607,0.002122,**,23,0.027698674560216508,0.021300075471698116
Liver,CD8_T,IL1RN,SIGLEC10,0.81,3e-06,**,23,0.00032197206703910616,0.000532
Liver,CD8_T,IL1RN,SOCS1,0.071,0.746423,NS,23,0.8867281951309935,0.8964514580838324
Liver,CD8_T,IL1RN,SOCS3,0.508,0.01325,*,23,0.09055345072927784,0.07832222222222222
Liver,CD8_T,IL1RN,STAT1,0.568,0.004649,**,23,0.04608459184726523,0.037136776119402984
Liver,CD8_T,IL1RN,STAT2,0.753,3.4e-05,**,23,0.0017371648936170211,0.0016898823529411767
Liver,CD8_T,IL1RN,TAP1,0.525,0.010158,*,23,0.07649758447667582,0.06617211428571429
Liver,CD8_T,IL1RN,TET2,0.642,0.000958,**,23,0.016476399283795882,0.012330387096774195
Liver,CD8_T,IL1RN,TFAM,0.423,0.044429,*,23,0.1939389954555783,0.17004480575539568
Liver,CD8_T,IL1RN,TGFB1,-0.033,0.882602,NS,23,0.9514964658810325,0.9641565995893224
Liver,CD8_T,IL1RN,TGFBR1,0.119,0.58801,NS,23,0.7959036222081308,0.8062405154639175
Liver,CD8_T,IL1RN,TGFBR2,0.611,0.001942,**,23,0.026365909540636043,0.02108005369127517
Liver,CD8_T,IL1RN,TIGIT,0.616,0.001736,**,23,0.024504258633357826,0.019375216783216784
Liver,CD8_T,IL1RN,TOX,0.519,0.011239,*,23,0.08184701630022745,0.07034291764705883
Liver,CD8_T,IL1RN,TOX2,0.403,0.05626,†,23,0.22512202874401163,0.19691
Liver,CD8_T,IL1RN,TYROBP,-0.094,0.670556,NS,23,0.847614904329517,0.8561659008
Liver,CD8_T,IL2RA,IRF3,-0.418,0.047175,*,23,0.2011271471371505,0.1759142523364486
Liver,CD8_T,IL2RA,IRF7,0.07,0.750413,NS,23,0.8882868114602587,0.8964514580838324
Liver,CD8_T,IL2RA,ISG15,0.161,0.462834,NS,23,0.7122319748478052,0.7214834213592233
Liver,CD8_T,IL2RA,JAK1,-0.155,0.479676,NS,23,0.724511017847315,0.7332977931034482
Liver,CD8_T,IL2RA,JCHAIN,0.313,0.145559,NS,23,0.3901679850704618,0.35795402773497687
Liver,CD8_T,IL2RA,LAYN,0.111,0.612694,NS,23,0.8122672455197133,0.8182925723849371
Liver,CD8_T,IL2RA,LDHA,0.172,0.432768,NS,23,0.6916727161397671,0.6934716144578312
Liver,CD8_T,IL2RA,LGALS9,0.197,0.368499,NS,23,0.6387471162140215,0.6351235464362851
Liver,CD8_T,IL2RA,LILRB1,-0.031,0.88965,NS,23,0.9537912092166926,0.9658059918699187
Liver,CD8_T,IL2RA,MEFV,0.236,0.277353,NS,23,0.5522142332400788,0.5370965084745762
Liver,CD8_T,IL2RA,MT-CYB,-0.046,0.833337,NS,23,0.9283408006378661,0.9392696694915255
Liver,CD8_T,IL2RA,MT-ND1,0.035,0.875512,NS,23,0.9478956848512172,0.9610159229711142
Liver,CD8_T,IL2RA,MT-ND2,0.059,0.788147,NS,23,0.9060554136197714,0.9154895283842795
Liver,CD8_T,IL2RA,MTOR,-0.013,0.953611,NS,23,0.9808234779419638,0.9876464347826087
Liver,CD8_T,IL2RA,MX1,0.218,0.3168,NS,23,0.5911300827505828,0.5765254275940708
Liver,CD8_T,IL2RA,PRDM1,0.264,0.223818,NS,23,0.4945374443422263,0.474387155378486
Liver,CD8_T,IL2RA,PYCARD,-0.25,0.249946,NS,23,0.524147211658116,0.5049541974683545
Liver,CD8_T,IL2RA,RB1,-0.024,0.914466,NS,23,0.9656739185669542,0.9762459772575252
Liver,CD8_T,IL2RA,RORC,0.383,0.070932,†,23,0.25995319572682185,0.2273242409638554
Liver,CD8_T,IL2RA,RPTOR,-0.079,0.719942,NS,23,0.8716161937232165,0.8811560061349694
Liver,CD8_T,IL2RA,SDHB,0.067,0.760653,NS,23,0.8930455774002323,0.9019332748885587
Liver,CD8_T,IL2RA,SIGLEC10,0.046,0.836437,NS,23,0.9301889947347105,0.9412193488372093
Liver,CD8_T,IL2RA,SOCS1,0.083,0.706527,NS,23,0.864803453137942,0.8747999162141195
Liver,CD8_T,IL2RA,SOCS3,0.023,0.918018,NS,23,0.967201947024952,0.976771152
Liver,CD8_T,IL2RA,STAT1,0.063,0.774367,NS,23,0.8995806033137813,0.9060775161290323
Liver,CD8_T,IL2RA,STAT2,-0.001,0.99643,NS,23,0.9987695257226339,0.997680225846926
Liver,CD8_T,IL2RA,TAP1,0.002,0.99286,NS,23,0.9977721289951352,0.997680225846926
Liver,CD8_T,IL2RA,TET2,-0.099,0.652036,NS,23,0.8378211220654136,0.8453691762794475
Liver,CD8_T,IL2RA,TFAM,0.011,0.960742,NS,23,0.9835569281679634,0.9892543432258064
Liver,CD8_T,IL2RA,TGFB1,-0.111,0.615165,NS,23,0.8136832012530982,0.8188518265221018
Liver,CD8_T,IL2RA,TGFBR1,-0.198,0.366049,NS,23,0.6360323046034186,0.6329514669555796
Liver,CD8_T,IL2RA,TGFBR2,-0.175,0.424754,NS,23,0.6849042382071513,0.6854473043478261
Liver,CD8_T,IL2RA,TIGIT,-0.041,0.854377,NS,23,0.9394012024245196,0.9482515243393603
Liver,CD8_T,IL2RA,TOX,-0.11,0.618344,NS,23,0.8158658368131868,0.8203466533665835
Liver,CD8_T,IL2RA,TOX2,-0.311,0.148253,NS,23,0.3943664490106545,0.3617917247706422
Liver,CD8_T,IL2RA,TYROBP,0.078,0.723308,NS,23,0.8737915793969848,0.8825684770642201
Liver,CD8_T,IRF3,IRF7,0.152,0.488212,NS,23,0.7303575808285314,0.7385652625592417
Liver,CD8_T,IRF3,ISG15,-0.001,0.99643,NS,23,0.9987695257226339,0.997680225846926
Liver,CD8_T,IRF3,JAK1,0.207,0.344426,NS,23,0.6183895220560748,0.6074076198895029
Liver,CD8_T,IRF3,JCHAIN,-0.065,0.767502,NS,23,0.8961575956968334,0.9033430619469026
Liver,CD8_T,IRF3,LAYN,-0.048,0.827674,NS,23,0.9255745511380175,0.9368565276595745
Liver,CD8_T,IRF3,LDHA,-0.317,0.140275,NS,23,0.38267864598125534,0.3503582159624413
Liver,CD8_T,IRF3,LGALS9,0.217,0.319049,NS,23,0.5935480189500145,0.5799569521640091
Liver,CD8_T,IRF3,LILRB1,0.285,0.188133,NS,23,0.44987231447401144,0.42772117948717947
Liver,CD8_T,IRF3,MEFV,-0.03,0.892957,NS,23,0.9555635060979005,0.9658059918699187
Liver,CD8_T,IRF3,MT-CYB,0.249,0.251885,NS,23,0.5255172388140747,0.5050357537688444
Liver,CD8_T,IRF3,MT-ND1,0.026,0.907367,NS,23,0.9627963235017951,0.9745341399730821
Liver,CD8_T,IRF3,MT-ND2,0.186,0.396068,NS,23,0.6627928874564459,0.6605271974921629
Liver,CD8_T,IRF3,MTOR,0.129,0.556083,NS,23,0.7760558338992848,0.786226160352423
Liver,CD8_T,IRF3,MX1,-0.425,0.043275,*,23,0.1906779873853211,0.16642626506024097
Liver,CD8_T,IRF3,PRDM1,-0.315,0.142899,NS,23,0.3865405741236097,0.3546917636080871
Liver,CD8_T,IRF3,PYCARD,0.61,0.002011,**,23,0.02682869513888889,0.021115500000000002
Liver,CD8_T,IRF3,RB1,0.197,0.368499,NS,23,0.6387471162140215,0.6351235464362851
Liver,CD8_T,IRF3,RORC,-0.031,0.88965,NS,23,0.9537912092166926,0.9658059918699187
Liver,CD8_T,IRF3,RPTOR,0.344,0.108136,NS,23,0.3308533984114377,0.30278079999999996
Liver,CD8_T,IRF3,SDHB,0.207,0.344426,NS,23,0.6183895220560748,0.6074076198895029
Liver,CD8_T,IRF3,SIGLEC10,0.001,0.996421,NS,23,0.9987695257226339,0.997680225846926
Liver,CD8_T,IRF3,SOCS1,-0.107,0.627922,NS,23,0.8216749228254205,0.8289193647642679
Liver,CD8_T,IRF3,SOCS3,0.045,0.836836,NS,23,0.9301889947347105,0.9412193488372093
Liver,CD8_T,IRF3,STAT1,0.113,0.608827,NS,23,0.8091167248772392,0.8165444470588236
Liver,CD8_T,IRF3,STAT2,0.17,0.438155,NS,23,0.6956525376033057,0.6978995808383234
Liver,CD8_T,IRF3,TAP1,0.168,0.443578,NS,23,0.6991196516817064,0.6995558181818181
Liver,CD8_T,IRF3,TET2,-0.1,0.648789,NS,23,0.8356417960045586,0.844054331707317
Liver,CD8_T,IRF3,TFAM,0.338,0.11476,NS,23,0.3418068775193799,0.31416288164665523
Liver,CD8_T,IRF3,TGFB1,-0.001,0.99643,NS,23,0.9987695257226339,0.997680225846926
Liver,CD8_T,IRF3,TGFBR1,0.382,0.071724,†,23,0.2619064367990876,0.22757754274353875
Liver,CD8_T,IRF3,TGFBR2,0.163,0.457288,NS,23,0.708558821840471,0.7169269626719056
Liver,CD8_T,IRF3,TIGIT,0.114,0.605668,NS,23,0.8069619254455926,0.8164240945945946
Liver,CD8_T,IRF3,TOX,0.191,0.383397,NS,23,0.6500840359096524,0.6468304566596194
Liver,CD8_T,IRF3,TOX2,0.195,0.373427,NS,23,0.6421326617436449,0.6374219165775401
Liver,CD8_T,IRF3,TYROBP,0.118,0.593101,NS,23,0.7991908052886302,0.8097426826347306
Liver,CD8_T,IRF7,ISG15,0.101,0.64725,NS,23,0.8341262326423828,0.8432742857142856
Liver,CD8_T,IRF7,JAK1,0.301,0.162256,NS,23,0.41489983408728043,0.3847854026745914
Liver,CD8_T,IRF7,JCHAIN,-0.023,0.918018,NS,23,0.967201947024952,0.976771152
Liver,CD8_T,IRF7,LAYN,0.292,0.176804,NS,23,0.43562673387200207,0.40895533913043475
Liver,CD8_T,IRF7,LDHA,0.477,0.021282,*,23,0.1228880378719567,0.10714849211356466
Liver,CD8_T,IRF7,LGALS9,0.054,0.805458,NS,23,0.9139915898116995,0.9248280345323742
Liver,CD8_T,IRF7,LILRB1,0.356,0.095735,†,23,0.3096007379229086,0.2762984810126582
Liver,CD8_T,IRF7,MEFV,-0.07,0.749813,NS,23,0.8882868114602587,0.8964514580838324
Liver,CD8_T,IRF7,MT-CYB,0.152,0.488212,NS,23,0.7303575808285314,0.7385652625592417
Liver,CD8_T,IRF7,MT-ND1,0.069,0.753822,NS,23,0.8896470353851824,0.8978357552238806
Liver,CD8_T,IRF7,MT-ND2,0.148,0.49971,NS,23,0.7361119147566118,0.7446658823529412
Liver,CD8_T,IRF7,MTOR,-0.1,0.650493,NS,23,0.8362299935091007,0.844054331707317
Liver,CD8_T,IRF7,MX1,0.086,0.696521,NS,23,0.8608272881770231,0.8725647692307691
Liver,CD8_T,IRF7,PRDM1,0.173,0.430087,NS,23,0.6899132729625919,0.689868192964824
Liver,CD8_T,IRF7,PYCARD,-0.018,0.935799,NS,23,0.9736059891145411,0.9851815329815304
Liver,CD8_T,IRF7,RB1,0.123,0.57755,NS,23,0.7883314577654742,0.7980690909090908
Liver,CD8_T,IRF7,RORC,-0.121,0.583749,NS,23,0.792593260230405,0.8010863319002579
Liver,CD8_T,IRF7,RPTOR,0.33,0.124046,NS,23,0.3571116241198502,0.3261571927512356
Liver,CD8_T,IRF7,SDHB,0.352,0.099745,†,23,0.31698944499586434,0.28326160142348755
Liver,CD8_T,IRF7,SIGLEC10,0.307,0.154769,NS,23,0.40425115690006796,0.3745964114977307
Liver,CD8_T,IRF7,SOCS1,0.418,0.047175,*,23,0.2011271471371505,0.1759142523364486
Liver,CD8_T,IRF7,SOCS3,0.448,0.032208,*,23,0.16009000983182406,0.140787204359673
Liver,CD8_T,IRF7,STAT1,0.227,0.296992,NS,23,0.5731879959815149,0.5524466573426573
Liver,CD8_T,IRF7,STAT2,0.238,0.273851,NS,23,0.548187096071689,0.533007556097561
Liver,CD8_T,IRF7,TAP1,0.465,0.025222,*,23,0.1366055376374401,0.11909559763313611
Liver,CD8_T,IRF7,TET2,0.112,0.61032,NS,23,0.8105674054614587,0.8178595465994962
Liver,CD8_T,IRF7,TFAM,0.108,0.624723,NS,23,0.8204353745300431,0.8267478507462687
Liver,CD8_T,IRF7,TGFB1,0.716,0.00012,**,23,0.004037338003502627,0.0034821818181818183
Liver,CD8_T,IRF7,TGFBR1,-0.161,0.462834,NS,23,0.7122319748478052,0.7214834213592233
Liver,CD8_T,IRF7,TGFBR2,0.085,0.699851,NS,23,0.8627227947945382,0.872626715625
Liver,CD8_T,IRF7,TIGIT,0.246,0.257759,NS,23,0.5322235757738607,0.5123080498132004
Liver,CD8_T,IRF7,TOX,0.234,0.28213,NS,23,0.5574331247429041,0.5418525631768953
Liver,CD8_T,IRF7,TOX2,0.328,0.12645,NS,23,0.3605270035618878,0.3276204545454546
Liver,CD8_T,IRF7,TYROBP,0.141,0.520146,NS,23,0.750167845507094,0.7630082867647059
Liver,CD8_T,ISG15,JAK1,0.326,0.128887,NS,23,0.3646609951399116,0.3307132668810289
Liver,CD8_T,ISG15,JCHAIN,-0.312,0.146902,NS,23,0.3920175471593277,0.36014683870967745
Liver,CD8_T,ISG15,LAYN,0.706,0.000166,**,23,0.005076324367088608,0.004343213114754099
Liver,CD8_T,ISG15,LDHA,-0.021,0.925126,NS,23,0.9699080760750928,0.9791121326259947
Liver,CD8_T,ISG15,LGALS9,0.609,0.002055,**,23,0.02719581893004115,0.021159870967741936
Liver,CD8_T,ISG15,LILRB1,-0.115,0.602516,NS,23,0.8048651672808176,0.814928420338983
Liver,CD8_T,ISG15,MEFV,0.283,0.191464,NS,23,0.4539885095038262,0.4297841687763713
Liver,CD8_T,ISG15,MT-CYB,0.234,0.28213,NS,23,0.5574331247429041,0.5418525631768953
Liver,CD8_T,ISG15,MT-ND1,0.079,0.719942,NS,23,0.8716161937232165,0.8811560061349694
Liver,CD8_T,ISG15,MT-ND2,-0.254,0.242288,NS,23,0.515116729526339,0.49449059846547316
Liver,CD8_T,ISG15,MTOR,0.268,0.216698,NS,23,0.48540434594783416,0.463605908847185
Liver,CD8_T,ISG15,MX1,0.368,0.084421,†,23,0.28832210328888885,0.25421870943396224
Liver,CD8_T,ISG15,PRDM1,-0.012,0.957176,NS,23,0.9819149295248265,0.988132532988357
Liver,CD8_T,ISG15,PYCARD,0.411,0.051343,†,23,0.2128966917763868,0.18665928929384965
Liver,CD8_T,ISG15,RB1,0.233,0.284224,NS,23,0.5596215295685149,0.5426094545454545
Liver,CD8_T,ISG15,RORC,-0.378,0.074958,†,23,0.2683096959195081,0.23411539726027397
Liver,CD8_T,ISG15,RPTOR,0.016,0.942921,NS,23,0.9764678632418737,0.9876464347826087
Liver,CD8_T,ISG15,SDHB,0.578,0.003864,**,23,0.040876268722466955,0.03326266666666667
Liver,CD8_T,ISG15,SIGLEC10,0.397,0.060887,†,23,0.236733486541186,0.20631773248407642
Liver,CD8_T,ISG15,SOCS1,0.128,0.559127,NS,23,0.7760558338992848,0.786226160352423
Liver,CD8_T,ISG15,SOCS3,0.279,0.197904,NS,23,0.4631421298574735,0.4386872
Liver,CD8_T,ISG15,STAT1,0.769,1.8e-05,**,23,0.0011263778501628666,0.0013058181818181819
Liver,CD8_T,ISG15,STAT2,0.687,0.000295,**,23,0.0075062847682119205,0.005741707317073171
Liver,CD8_T,ISG15,TAP1,0.608,0.002099,**,23,0.027468589237057223,0.021300075471698116
Liver,CD8_T,ISG15,TET2,0.447,0.032374,*,23,0.16026161710899253,0.140787204359673
Liver,CD8_T,ISG15,TFAM,0.409,0.052585,†,23,0.2164118326906598,0.18944844243792325
Liver,CD8_T,ISG15,TGFB1,0.041,0.854377,NS,23,0.9394012024245196,0.9482515243393603
Liver,CD8_T,ISG15,TGFBR1,0.009,0.967876,NS,23,0.9868831715938644,0.9908467581783195
Liver,CD8_T,ISG15,TGFBR2,0.412,0.050731,†,23,0.21150026931423613,0.18570338532110092
Liver,CD8_T,ISG15,TIGIT,0.64,0.000998,**,23,0.01689213920704846,0.012742464
Liver,CD8_T,ISG15,TOX,0.384,0.070147,†,23,0.2577154364123159,0.22571494354838711
