tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,AICDA,TGFBR2,-0.129,0.558799,NS,23,0.7760558338992848,0.8336595189530687
Liver,Myeloid,AICDA,TIGIT,-0.151,0.491128,NS,23,0.7319106359475603,0.8044230857142857
Liver,Myeloid,AICDA,TOX,0.0,1.0,NS,23,1.0,1.0
Liver,Myeloid,AICDA,TOX2,-0.111,0.613159,NS,23,0.8122672455197133,0.8649160579216355
Liver,Myeloid,AICDA,TYROBP,0.257,0.236244,NS,23,0.5079444302182429,0.6235817272727273
Liver,Myeloid,AIM2,ATM,0.161,0.46207,NS,23,0.7120830073800738,0.7882322886386899
Liver,Myeloid,AIM2,B2M,-0.201,0.35673,NS,23,0.6280945861974154,0.7361731460674158
Liver,Myeloid,AIM2,BAK1,0.182,0.404891,NS,23,0.6701258551997246,0.7676785434782608
Liver,Myeloid,AIM2,BCL6,0.064,0.772454,NS,23,0.8983360853562564,0.9247643265749458
Liver,Myeloid,AIM2,CASP1,0.34,0.112754,NS,23,0.33845579593749997,0.46829739195979897
Liver,Myeloid,AIM2,CD27,0.238,0.274057,NS,23,0.5485011683508699,0.67413128125
Liver,Myeloid,AIM2,CD44,0.128,0.559712,NS,23,0.7764190361758971,0.8341848177737882
Liver,Myeloid,AIM2,CD74,0.502,0.014642,*,23,0.09607465654843111,0.18335777272727274
Liver,Myeloid,AIM2,CTLA4,0.115,0.602478,NS,23,0.8048651672808176,0.860013932642487
Liver,Myeloid,AIM2,DNMT1,0.332,0.122057,NS,23,0.3539376644528302,0.49279460679611653
Liver,Myeloid,AIM2,DNMT3A,0.499,0.015286,*,23,0.09877542751429531,0.18579233823529412
Liver,Myeloid,AIM2,FCER1G,0.142,0.517184,NS,23,0.7485299708452614,0.8111707641509434
Liver,Myeloid,AIM2,GZMB,0.448,0.032077,*,23,0.1597281614826335,0.28054646031746033
Liver,Myeloid,AIM2,HLA-DPA1,0.349,0.10292,NS,23,0.32168346022449973,0.45397710638297867
Liver,Myeloid,AIM2,HLA-DPB1,0.392,0.06445,†,23,0.2448377407114625,0.38184892473118276
Liver,Myeloid,AIM2,HLA-DRA,0.171,0.434337,NS,23,0.6929117782752903,0.785662626198083
Liver,Myeloid,AIM2,HLA-DRB1,0.297,0.169322,NS,23,0.42583337119330805,0.5694836470588236
Liver,Myeloid,AIM2,IL1B,0.103,0.639313,NS,23,0.8296997446923233,0.8813881476230192
Liver,Myeloid,AIM2,IL1RN,0.245,0.260347,NS,23,0.5353036412368928,0.655905390909091
Liver,Myeloid,AIM2,IL2RA,0.171,0.434379,NS,23,0.6929117782752903,0.785662626198083
Liver,Myeloid,AIM2,IRF3,0.071,0.746998,NS,23,0.8867281951309935,0.9241133060188542
Liver,Myeloid,AIM2,IRF7,0.141,0.52017,NS,23,0.750167845507094,0.8111707641509434
Liver,Myeloid,AIM2,ISG15,0.216,0.321191,NS,23,0.5955854870706291,0.7110068594377509
Liver,Myeloid,AIM2,JAK1,0.496,0.016072,*,23,0.10200171522960026,0.19251460869565215
Liver,Myeloid,AIM2,JCHAIN,-0.077,0.728343,NS,23,0.8767662217282405,0.9190465488549618
Liver,Myeloid,AIM2,LAYN,-0.175,0.425497,NS,23,0.6855844055187453,0.7841098561872911
Liver,Myeloid,AIM2,LDHA,-0.027,0.902467,NS,23,0.9605680944650673,0.9758475283018868
Liver,Myeloid,AIM2,LGALS9,0.497,0.015826,*,23,0.10139103301100365,0.19095166423357662
Liver,Myeloid,AIM2,LILRB1,0.107,0.626198,NS,23,0.8211490842083731,0.8713007525252526
Liver,Myeloid,AIM2,MEFV,0.28,0.196349,NS,23,0.4615270572617154,0.5994778339483394
Liver,Myeloid,AIM2,MT-CYB,0.326,0.129389,NS,23,0.3658486860927152,0.5056265177304965
Liver,Myeloid,AIM2,MT-ND1,0.316,0.142305,NS,23,0.38621556124031015,0.5176318750000001
