Stage,NK_pct,NK_count,Total
NL,34.352615138918246,14627,42579
IT,25.035075947050572,12312,49179
IA,15.096330641937804,9442,62545
AR,23.08589280999736,10493,45452
CR,6.731414036304775,2911,43245
