Comparison,IT_mean,NL_mean,p_value,Significant,IA_mean,AR_mean,AC_mean
IT vs NL,0.17972107334549475,-0.16121870499726398,0.0,***,,,
IT vs IA,0.17972107334549475,,0.0,***,-0.1769876763606015,,
IT vs AR,0.17972107334549475,,1.130244009604254e-22,***,,0.13443231143992174,
IT vs AC,0.17972107334549475,,1.4739291046670724e-48,***,,,0.06903700710895437
