Stage,Tx1_Cl21_Log2OR,Tx1_Cl15_Log2OR,Current_IT_score,Current_OXPHOS,Current_NK
NL,0.0,0.0,-0.161218704997264,3.2228453,0.7448755
IT,11.352908506702496,-5.146102945054963,0.17972107334549478,3.6433427,0.5444255
IA,-0.5547470809504543,0.2805312159915398,-0.17698767636060153,3.4679286,0.47248673
AR,-0.0942006397029786,-3.243166925918876,0.13443231143992174,3.5639067,0.5571762
AC,-0.0223910092444758,-4.923222359548989,0.06903700710895438,3.5400448,0.3543447
