Gene,Lineage,Tissue,NL->IT,NL->IA,NL->CR,NL->AR
NDUFA1,B,Liver,*+33% p=0.030,+9% p=0.662,*+44% p=0.048,*+38% p=0.048
NDUFB1,PlasmaB,Blood,-15% p=0.222,*-40% p=0.016,*-74% p=0.036,(t)-45% p=0.071
NLRP3,PlasmaB,Liver,*from_zero p=0.048,-0% p=1.000,-0% p=1.000,-0% p=1.000
NLRP3,B,Blood,(t)from_zero p=0.072,from_zero p=0.371,*from_zero p=0.017,(t)from_zero p=0.079
NRP1,PlasmaB,Liver,*+761% p=0.017,*+904% p=0.017,(t)+569% p=0.066,*+893% p=0.016
PAX5,PlasmaB,Blood,from_zero p=0.180,from_zero p=0.131,*from_zero p=0.017,(t)from_zero p=0.079
PCNA,B,Liver,(t)+97% p=0.100,*+130% p=0.017,+94% p=0.262,(t)+98% p=0.095
PECAM1,PlasmaB,Liver,*+68% p=0.017,+6% p=0.792,+40% p=0.262,+29% p=0.548
PECAM1,B,Blood,*+125% p=0.016,+92% p=0.111,*+212% p=0.036,*+92% p=0.036
PINK1,B,Blood,*+291% p=0.021,*+338% p=0.019,*+294% p=0.036,(t)+251% p=0.072
PRKN,B,Blood,+60% p=0.209,+88% p=0.902,*+254% p=0.036,*+208% p=0.036
PYCARD,PlasmaB,Liver,*+164% p=0.004,*+219% p=0.004,*+240% p=0.024,*+326% p=0.024
PYCARD,PlasmaB,Blood,*+138% p=0.008,+116% p=0.191,*+67% p=0.036,*+102% p=0.036
PYCARD,B,Blood,*+77% p=0.016,+47% p=0.286,+5% p=1.000,*+118% p=0.036
RB1,PlasmaB,Liver,-13% p=0.537,*+71% p=0.030,+6% p=0.714,-60% p=0.167
RB1,B,Liver,*+100% p=0.004,+32% p=0.429,+60% p=0.167,+42% p=0.548
RB1,B,Blood,*+73% p=0.032,+66% p=0.191,*+113% p=0.036,+67% p=0.143
RICTOR,B,Blood,*+63% p=0.008,*+59% p=0.016,*+120% p=0.036,*+60% p=0.036
RPTOR,PlasmaB,Blood,*from_zero p=0.025,*from_zero p=0.011,*from_zero p=0.017,*from_zero p=0.017
RPTOR,B,Liver,+296% p=0.262,*+229% p=0.021,*+241% p=0.049,(t)+231% p=0.088
RPTOR,B,Blood,+55% p=0.309,+69% p=0.413,*+184% p=0.036,+132% p=0.143
SDC1,PlasmaB,Liver,-18% p=0.537,*-90% p=0.013,-38% p=0.548,*-83% p=0.048
SDHB,PlasmaB,Liver,+73% p=0.126,*+99% p=0.030,*+118% p=0.048,*+247% p=0.024
SDHB,B,Liver,+30% p=0.537,*+88% p=0.017,(t)+88% p=0.095,(t)+72% p=0.095
SELL,PlasmaB,Liver,*+248% p=0.017,*+276% p=0.017,*+266% p=0.024,*+322% p=0.024
SELL,B,Blood,(t)+36% p=0.095,*+43% p=0.032,*+45% p=0.036,(t)+50% p=0.071
SIRT3,B,Blood,(t)+83% p=0.094,(t)+134% p=0.065,*+166% p=0.036,*+136% p=0.036
SNAI1,PlasmaB,Liver,*+6866% p=0.044,+5617% p=0.597,+1801% p=0.878,-100% p=0.377
STAT5B,PlasmaB,Blood,(t)+350% p=0.052,*+540% p=0.030,+310% p=0.112,+380% p=0.112
