metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,pattern
clonality,0.5051066818079208,0.5334479483925971,↑,5.610946678280875,0.46419164680396885,19/30, ,Liver,NS
pct_singleton,1.3548939357461949,0.9469544980338658,↓,-30.108588351431386,0.46419164680396885,20/30, ,Liver,NS
pct_IgM,45.90625449283649,44.3909920202381,↓,-3.3007756553844714,0.9307359307359306,16/30, ,Liver,NS
pct_IgG,30.56097215730914,35.87756767283569,↑,17.396683221201126,0.3142001092738079,21/30, ,Liver,NS
pct_IgA,13.392485523846121,16.735169261018804,↑,24.95939779976491,0.36021644331435243,20/30, ,Liver,NS
pct_IgD,10.140287826008239,2.9962710459074016,↓,-70.45181461001097,0.46419164680396885,20/30, ,Liver,NS
pct_switched,43.953457681155264,52.61273693385449,↑,19.701019463621932,0.5367965367965368,19/30, ,Liver,NS
pct_bcr,4.445709108874684,2.7472515616218742,↓,-38.2044237636306,0.24675324675324672,22/30, ,Liver,NS
top_clone,3.0,2.0,↓,-33.33333333333333,1.0,19/30, ,Liver,NS
pct_IGHV3_23,7.800204189035605,12.442265025344941,↑,59.51204255440482,0.12554112554112554,24/30, ,Liver,NS
clonality,0.4955082194400985,0.3147062136496738,↓,-36.48819508881661,0.15079365079365079,20/25, ,Blood,NS
pct_singleton,2.9162988524195486,5.357515448198379,↑,83.70941111722622,0.15079365079365079,20/25, ,Blood,NS
pct_IgM,44.64185733750951,68.01037536665211,↑,52.34665272205786,0.2222222222222222,19/25, ,Blood,NS
pct_IgG,16.794535577144273,17.277055061185287,↑,2.873074291483686,0.6904761904761905,15/25, ,Blood,NS
pct_IgA,20.850913981348764,12.480148913488485,↓,-40.145794449816286,0.30952380952380953,18/25, ,Blood,NS
pct_IgD,17.712693103997452,2.232420658674121,↓,-87.39649219027963,0.015873015873015872,24/25,★,Blood,Chronic
pct_switched,37.64544955849304,29.757203974673775,↓,-20.954048035905657,1.0,13/25, ,Blood,NS
pct_bcr,6.768184062403786,11.675879242945772,↑,72.5112546481038,0.15079365079365079,20/25, ,Blood,NS
top_clone,1.0,3.0,↑,200.0,0.005583616806378765,25/25,★,Blood,Chronic
pct_IGHV3_23,10.698642742121004,10.222183648436935,↓,-4.45345363116229,0.8412698412698413,11/25, ,Blood,NS
