Stage,tissue,donor,subcluster,proportion
AR,Liver,P190716,B_c03-CD1C,1.4925373134328357
AR,Liver,P190716,B_c04-COCH,13.432835820895523
AR,Liver,P190716,B_c05-TCL1A,25.37313432835821
AR,Liver,P190716,B_c06-CD70,31.343283582089555
AR,Liver,P190716,B_c07-FCRL5,17.91044776119403
AR,Liver,P190716,plasmaB_c01-SDC1,5.970149253731343
AR,Liver,P190716,plasmaB_c02-CD52,2.9850746268656714
AR,Liver,P190716,plasmaB_c03-MKI67,0.0
AR,Liver,P191008,B_c01-IGHD,6.666666666666667
AR,Liver,P191008,B_c02-STX16,1.4814814814814816
AR,Liver,P191008,B_c03-CD1C,17.77777777777778
AR,Liver,P191008,B_c04-COCH,18.51851851851852
AR,Liver,P191008,B_c05-TCL1A,1.4814814814814816
AR,Liver,P191008,B_c06-CD70,26.666666666666668
AR,Liver,P191008,B_c07-FCRL5,5.9259259259259265
AR,Liver,P191008,plasmaB_c01-SDC1,3.7037037037037033
AR,Liver,P191008,plasmaB_c02-CD52,15.555555555555555
AR,Liver,P191008,plasmaB_c03-MKI67,2.2222222222222223
AR,Liver,P191217,B_c01-IGHD,1.0638297872340425
AR,Liver,P191217,B_c02-STX16,1.0638297872340425
AR,Liver,P191217,B_c03-CD1C,0.0
AR,Liver,P191217,B_c04-COCH,6.382978723404255
AR,Liver,P191217,B_c05-TCL1A,14.893617021276595
AR,Liver,P191217,B_c06-CD70,22.340425531914892
AR,Liver,P191217,B_c07-FCRL5,24.46808510638298
AR,Liver,P191217,plasmaB_c01-SDC1,13.829787234042554
AR,Liver,P191217,plasmaB_c02-CD52,11.702127659574469
AR,Liver,P191217,plasmaB_c03-MKI67,4.25531914893617
IA,Blood,P190719,B_c01-IGHD,1.3274336283185841
IA,Blood,P190719,B_c02-STX16,0.0
IA,Blood,P190719,B_c03-CD1C,1.3274336283185841
IA,Blood,P190719,B_c04-COCH,8.849557522123893
IA,Blood,P190719,B_c05-TCL1A,15.486725663716813
IA,Blood,P190719,B_c06-CD70,24.336283185840706
IA,Blood,P190719,B_c07-FCRL5,13.274336283185843
IA,Blood,P190719,plasmaB_c01-SDC1,32.743362831858406
IA,Blood,P190719,plasmaB_c02-CD52,2.2123893805309733
IA,Blood,P190719,plasmaB_c03-MKI67,0.4424778761061947
IA,Blood,P190911,B_c01-IGHD,49.14330218068536
