metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,NL_IA_p,pattern,section
top_clone,1.0,3.0,↑,200.0,0.005583616806378765,25/25,★,Blood,,Chronic,C_BCR_repertoire
B_c04-COCH,1.3123086534773882,7.057047689605829,↑,437.7582225725547,0.013497246674934248,29/30,★,Liver,0.022173545386486773,Chronic-persistent,A_subcluster_prop
pct_IgD,17.712693103997452,2.232420658674121,↓,-87.39649219027963,0.015873015873015872,24/25,★,Blood,,Chronic,C_BCR_repertoire
clonality,0.5852570872186251,0.35148280211033234,↓,-39.94386231515475,0.031746031746031744,23/25,★,Blood,,IT-spec,D_TCR_repertoire
B_c07-FCRL5,12.965207239136937,28.224801210847716,↑,117.69649100284319,0.05194805194805195,26/30,†,Liver,0.17748917748917747,NS,A_subcluster_prop
pct_tcr,18.805675613020494,35.59364120521005,↑,89.27073899204166,0.06493506493506493,30/36,†,Liver,,NS,D_TCR_repertoire
plasmaB_c03-MKI67,8.192425867842891,1.4032537660444635,↓,-82.8713278742924,0.08225108225108226,25/30,†,Liver,0.08225108225108226,NS,A_subcluster_prop
