metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,NL_IA_p,pattern,section
B_c01-IGHD,0.4844270007406915,1.5231338859245835,↑,214.41969246051596,0.1908412729609592,21/30, ,Liver,0.6321424221485425,NS,A_subcluster_prop
B_c02-STX16,0.44719407479505396,0.9429141057048034,↑,110.8512073056725,0.2621926024067731,20/30, ,Liver,0.7739376469563976,NS,A_subcluster_prop
B_c03-CD1C,0.22648665979930005,1.3856469112283065,↑,511.80067402477044,0.10360419498787639,22/30, ,Liver,0.019497342254316867,IA-emergent,A_subcluster_prop
B_c04-COCH,1.3123086534773882,7.057047689605829,↑,437.7582225725547,0.013497246674934248,29/30,★,Liver,0.022173545386486773,Chronic-persistent,A_subcluster_prop
B_c05-TCL1A,23.207863534846737,12.796949820205635,↓,-44.859423182185886,0.6623376623376623,18/30, ,Liver,0.7922077922077921,NS,A_subcluster_prop
B_c06-CD70,17.2700881829037,15.220981602376952,↓,-11.865061479855289,0.7922077922077921,17/30, ,Liver,0.32900432900432897,NS,A_subcluster_prop
B_c07-FCRL5,12.965207239136937,28.224801210847716,↑,117.69649100284319,0.05194805194805195,26/30,†,Liver,0.17748917748917747,NS,A_subcluster_prop
plasmaB_c01-SDC1,32.4529214758493,25.995825019080836,↓,-19.89681102076953,0.9307359307359306,16/30, ,Liver,0.17748917748917747,NS,A_subcluster_prop
plasmaB_c02-CD52,3.4410773106079975,5.449445988980872,↑,58.36453229869514,0.32900432900432897,21/30, ,Liver,0.5367965367965368,NS,A_subcluster_prop
plasmaB_c03-MKI67,8.192425867842891,1.4032537660444635,↓,-82.8713278742924,0.08225108225108226,25/30,†,Liver,0.08225108225108226,NS,A_subcluster_prop
B_c01-IGHD,28.010287272503756,33.237349214993955,↑,18.661222184684032,0.6904761904761905,15/25, ,Blood,1.0,NS,A_subcluster_prop
B_c02-STX16,7.819753826295409,7.205286341890146,↓,-7.857887831954505,1.0,13/25, ,Blood,0.9047619047619049,NS,A_subcluster_prop
B_c03-CD1C,20.24442861214021,33.29942697303036,↑,64.4868699977104,0.2222222222222222,19/25, ,Blood,0.9047619047619049,NS,A_subcluster_prop
B_c04-COCH,21.815196776915382,19.93717529510656,↓,-8.60877626277534,0.5476190476190477,16/25, ,Blood,0.4126984126984127,NS,A_subcluster_prop
B_c05-TCL1A,1.7680618186288481,0.32059670958838393,↓,-81.8673359601753,0.1732171126447002,20/25, ,Blood,0.6227532504241038,NS,A_subcluster_prop
B_c06-CD70,2.3588027145882577,0.3597867786456374,↓,-84.7470593271536,0.15079365079365079,20/25, ,Blood,0.7301587301587302,NS,A_subcluster_prop
B_c07-FCRL5,0.9458166395654871,0.40055166454333896,↓,-57.65017786879342,0.8325188126792755,15/25, ,Blood,0.9021165931072543,NS,A_subcluster_prop
plasmaB_c01-SDC1,2.2158215010141986,0.08162360688956434,↓,-96.31632751770823,0.5038124288130608,19/25, ,Blood,1.0,NS,A_subcluster_prop
plasmaB_c02-CD52,7.922853279242732,4.540689700690169,↓,-42.688706446370425,1.0,13/25, ,Blood,0.7301587301587302,NS,A_subcluster_prop
plasmaB_c03-MKI67,6.898977559105717,0.6175137146218797,↓,-91.04919954686844,0.2222222222222222,19/25, ,Blood,0.19047619047619047,NS,A_subcluster_prop
PlasmaB_ratio,44.0864246543002,32.84852477410617,↓,-25.490612968311748,0.6623376623376623,18/30, ,Liver,,NS,B_diff_ratio
SDC1_ratio,32.4529214758493,25.995825019080836,↓,-19.89681102076953,0.9307359307359306,16/30, ,Liver,,NS,B_diff_ratio
SDC1_of_PlasmaB,66.8953521413145,76.81180655093698,↑,14.823831689643027,0.24675324675324672,22/30, ,Liver,,NS,B_diff_ratio
PlasmaB_ratio,17.037652339362648,5.239827022201612,↓,-69.24560427790941,0.8412698412698413,14/25, ,Blood,,NS,B_diff_ratio
SDC1_ratio,2.2158215010141986,0.08162360688956434,↓,-96.31632751770823,0.5038124288130608,19/25, ,Blood,,NS,B_diff_ratio
SDC1_of_PlasmaB,6.183622828784119,1.3492063492063493,↓,-78.1809727636373,0.3727480704181131,20/25, ,Blood,,NS,B_diff_ratio
clonality,0.5051066818079208,0.5334479483925971,↑,5.610946678280875,0.46419164680396885,19/30, ,Liver,,NS,C_BCR_repertoire
pct_singleton,1.3548939357461949,0.9469544980338658,↓,-30.108588351431386,0.46419164680396885,20/30, ,Liver,,NS,C_BCR_repertoire
pct_IgM,45.90625449283649,44.3909920202381,↓,-3.3007756553844714,0.9307359307359306,16/30, ,Liver,,NS,C_BCR_repertoire
pct_IgG,30.56097215730914,35.87756767283569,↑,17.396683221201126,0.3142001092738079,21/30, ,Liver,,NS,C_BCR_repertoire
pct_IgA,13.392485523846121,16.735169261018804,↑,24.95939779976491,0.36021644331435243,20/30, ,Liver,,NS,C_BCR_repertoire
pct_IgD,10.140287826008239,2.9962710459074016,↓,-70.45181461001097,0.46419164680396885,20/30, ,Liver,,NS,C_BCR_repertoire
pct_switched,43.953457681155264,52.61273693385449,↑,19.701019463621932,0.5367965367965368,19/30, ,Liver,,NS,C_BCR_repertoire
pct_bcr,4.445709108874684,2.7472515616218742,↓,-38.2044237636306,0.24675324675324672,22/30, ,Liver,,NS,C_BCR_repertoire
top_clone,3.0,2.0,↓,-33.33333333333333,1.0,19/30, ,Liver,,NS,C_BCR_repertoire
pct_IGHV3_23,7.800204189035605,12.442265025344941,↑,59.51204255440482,0.12554112554112554,24/30, ,Liver,,NS,C_BCR_repertoire
clonality,0.4955082194400985,0.3147062136496738,↓,-36.48819508881661,0.15079365079365079,20/25, ,Blood,,NS,C_BCR_repertoire
pct_singleton,2.9162988524195486,5.357515448198379,↑,83.70941111722622,0.15079365079365079,20/25, ,Blood,,NS,C_BCR_repertoire
pct_IgM,44.64185733750951,68.01037536665211,↑,52.34665272205786,0.2222222222222222,19/25, ,Blood,,NS,C_BCR_repertoire
pct_IgG,16.794535577144273,17.277055061185287,↑,2.873074291483686,0.6904761904761905,15/25, ,Blood,,NS,C_BCR_repertoire
pct_IgA,20.850913981348764,12.480148913488485,↓,-40.145794449816286,0.30952380952380953,18/25, ,Blood,,NS,C_BCR_repertoire
pct_IgD,17.712693103997452,2.232420658674121,↓,-87.39649219027963,0.015873015873015872,24/25,★,Blood,,Chronic,C_BCR_repertoire
pct_switched,37.64544955849304,29.757203974673775,↓,-20.954048035905657,1.0,13/25, ,Blood,,NS,C_BCR_repertoire
pct_bcr,6.768184062403786,11.675879242945772,↑,72.5112546481038,0.15079365079365079,20/25, ,Blood,,NS,C_BCR_repertoire
top_clone,1.0,3.0,↑,200.0,0.005583616806378765,25/25,★,Blood,,Chronic,C_BCR_repertoire
pct_IGHV3_23,10.698642742121004,10.222183648436935,↓,-4.45345363116229,0.8412698412698413,11/25, ,Blood,,NS,C_BCR_repertoire
clonality,0.5501206006947329,0.4874294046397289,↓,-11.395900458160071,0.13203463203463203,28/36, ,Liver,,IA-emrg,D_TCR_repertoire
pct_singleton,0.8062459379190628,1.5902789775485189,↑,97.24489795918367,0.3939393939393939,24/36, ,Liver,,IA-emrg,D_TCR_repertoire
pct_tcr,18.805675613020494,35.59364120521005,↑,89.27073899204166,0.06493506493506493,30/36,†,Liver,,NS,D_TCR_repertoire
top_clone,135.33333333333334,87.0,↓,-35.71428571428572,0.748348568843747,21/36, ,Liver,,NS,D_TCR_repertoire
n_unique_clones,40517.0,40517.0,↓,0.0,1.0,36/36, ,Liver,,NS,D_TCR_repertoire
