tissue,type,metric,pattern,NL_mean,IT_mean,IA_mean,NL_IT_p,IT_IA_p,NL_IA_p,NL_IT_cons,IT_IA_cons
Liver,Subcluster,plasmaB_c01-SDC1,TRANSITION,32.4529214758493,25.995825019080836,4.978391197510533,0.9307359307359306,0.007936507936507936,0.17748917748917747,16/30,25/25
Blood,Subcluster,plasmaB_c02-CD52,NS,7.922853279242732,4.540689700690169,2.694587301171608,1.0,0.06349206349206349,0.7301587301587302,13/25,18/20
Liver,BCR,pct_IGHV3_23,NS,7.800204189035605,12.442265025344941,8.497994478429328,0.12554112554112554,0.09523809523809523,0.7922077922077921,24/30,21/25
