metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,pattern
PlasmaB_ratio,44.0864246543002,32.84852477410617,↓,-25.490612968311748,0.6623376623376623,18/30, ,Liver,NS
SDC1_ratio,32.4529214758493,25.995825019080836,↓,-19.89681102076953,0.9307359307359306,16/30, ,Liver,NS
SDC1_of_PlasmaB,66.8953521413145,76.81180655093698,↑,14.823831689643027,0.24675324675324672,22/30, ,Liver,NS
PlasmaB_ratio,17.037652339362648,5.239827022201612,↓,-69.24560427790941,0.8412698412698413,14/25, ,Blood,NS
SDC1_ratio,2.2158215010141986,0.08162360688956434,↓,-96.31632751770823,0.5038124288130608,19/25, ,Blood,NS
SDC1_of_PlasmaB,6.183622828784119,1.3492063492063493,↓,-78.1809727636373,0.3727480704181131,20/25, ,Blood,NS
