pattern,tissue,gene,lineage,IT_pct,IT_p,IA_p,direction,consistency
IT_specific,Blood,DNMT3B,Myeloid,1118.4000244140625,0.044909,0.081136,↑,20/25
IT_specific,Blood,EIF4EBP1,B,52.5,0.007937,0.904762,↑,25/25
IT_specific,Blood,ENTPD1,B,133.6999969482422,0.021177,0.065064,↑,24/25
IT_specific,Blood,FCER1G,PlasmaB,514.7999877929688,0.021177,0.065064,↑,24/25
IT_specific,Blood,HIF1A,CD8_T,-33.20000076293945,0.031746,0.904762,↓,23/25
IT_specific,Blood,IKZF2,Myeloid,99999.0,0.007495,0.13121,↑,25/25
IT_specific,Blood,IL7R,PlasmaB,685.2999877929688,0.044909,0.227249,↑,20/25
IT_specific,Blood,JAK1,B,46.59999847412109,0.007937,0.063492,↑,25/25
IT_specific,Blood,JAK1,PlasmaB,133.6999969482422,0.015873,0.190476,↑,24/25
IT_specific,Blood,MCM2,NK,-53.900001525878906,0.031746,0.190476,↓,23/25
IT_specific,Blood,MEFV,Myeloid,201.1000061035156,0.007937,0.190476,↑,25/25
IT_specific,Blood,MT-ND1,Myeloid,20.700000762939453,0.007937,0.190476,↑,25/25
IT_specific,Blood,MT-ND1,CD8_T,35.5,0.007937,0.111111,↑,25/25
IT_specific,Blood,MT-ND1,NK,34.5,0.031746,0.063492,↑,23/25
IT_specific,Blood,MT-ND1,B,25.100000381469727,0.007937,0.063492,↑,25/25
IT_specific,Blood,MT-ND2,CD8_T,48.09999847412109,0.007937,0.063492,↑,25/25
IT_specific,Blood,MT-ND2,B,14.199999809265137,0.031746,1.0,↑,23/25
IT_specific,Blood,MTOR,B,214.1999969482422,0.021177,0.109855,↑,24/25
IT_specific,Blood,NRP1,Myeloid,720.9000244140625,0.031141,0.055009,↑,23/25
IT_specific,Blood,PECAM1,B,124.8000030517578,0.015873,0.111111,↑,24/25
IT_specific,Blood,PRDM1,CD8_T,-57.900001525878906,0.007937,0.111111,↓,25/25
IT_specific,Blood,PYCARD,Myeloid,24.700000762939453,0.007937,0.190476,↑,25/25
IT_specific,Blood,PYCARD,B,76.69999694824219,0.015873,0.285714,↑,24/25
IT_specific,Blood,PYCARD,PlasmaB,138.5,0.007937,0.190476,↑,25/25
IT_specific,Blood,RB1,B,72.9000015258789,0.031746,0.190476,↑,23/25
IT_specific,Blood,RPTOR,CD4_T,95.3000030517578,0.031746,0.111111,↑,23/25
IT_specific,Blood,RPTOR,NK,100.1999969482422,0.015873,0.190476,↑,24/25
IT_specific,Blood,SERPINE1,Myeloid,1240.4000244140625,0.044909,0.227249,↑,20/25
IT_specific,Blood,STAT5A,Myeloid,133.89999389648438,0.007937,0.063492,↑,25/25
IT_specific,Blood,TCF7,CD8_T,89.5,0.031746,0.412698,↑,23/25
IT_specific,Blood,TCF7,B,231.6999969482422,0.036145,0.170609,↑,23/25
IT_specific,Blood,TET2,NK,72.0,0.031746,0.111111,↑,23/25
IT_specific,Blood,TFAM,CD8_T,85.80000305175781,0.015873,0.111111,↑,24/25
IT_specific,Blood,TGFBR1,NK,95.9000015258789,0.007937,0.111111,↑,25/25
IT_specific,Blood,TGFBR1,PlasmaB,1215.5,0.044909,0.081136,↑,20/25
IT_specific,Blood,TGFBR2,Myeloid,81.0999984741211,0.031746,0.063492,↑,23/25
IT_specific,Blood,TGFBR2,CD4_T,77.0999984741211,0.031746,0.190476,↑,23/25
IT_specific,Blood,TGFBR2,CD8_T,104.9000015258789,0.031746,0.111111,↑,23/25
IT_specific,Blood,TIMP1,NK,24.700000762939453,0.031746,0.555556,↑,23/25
IT_specific,Blood,TOX2,B,689.0999755859375,0.031141,0.096319,↑,23/25
IT_specific,Blood,TP53,Myeloid,113.0,0.031746,0.111111,↑,23/25
IT_specific,Blood,TP53,NK,95.4000015258789,0.031746,0.190476,↑,23/25
IT_specific,Blood,VEGFB,PlasmaB,970.4000244140624,0.011159,0.061689,↑,25/25
IT_specific,Blood,VIM,PlasmaB,27.899999618530277,0.007937,0.285714,↑,25/25
IT_specific,Blood,ZEB1,CD8_T,71.69999694824219,0.031746,0.190476,↑,23/25
chronic_persistent,Liver,ATP5F1B,PlasmaB,46.59999847412109,0.030303,<0.05,↑,27/30
chronic_persistent,Liver,BAK1,Myeloid,379.5,0.002165,<0.05,↑,36/36
chronic_persistent,Liver,CASP8,PlasmaB,219.8999938964844,0.022174,<0.05,↑,28/30
chronic_persistent,Liver,CD27,CD4_T,93.5,0.002165,<0.05,↑,36/36
chronic_persistent,Liver,CD27,B,124.5999984741211,0.017316,<0.05,↑,28/30
chronic_persistent,Liver,CD69,CD4_T,-18.799999237060547,0.041126,<0.05,↓,31/36
chronic_persistent,Liver,CTLA4,CD4_T,171.10000610351562,0.004329,<0.05,↑,35/36
chronic_persistent,Liver,CXCL13,CD4_T,99999.0,0.009622,<0.05,↑,30/36
chronic_persistent,Liver,CXCL13,CD8_T,7404.89990234375,0.024992,<0.05,↑,30/36
chronic_persistent,Liver,DNMT3B,NK,-83.80000305175781,0.012436,<0.05,↓,34/36
chronic_persistent,Liver,HDAC1,PlasmaB,112.8000030517578,0.008658,<0.05,↑,29/30
chronic_persistent,Liver,IL2RA,PlasmaB,99999.0,0.015024,<0.05,↑,24/30
chronic_persistent,Liver,IRF4,PlasmaB,149.60000610351562,0.030303,<0.05,↑,27/30
chronic_persistent,Liver,JAK1,B,73.0999984741211,0.004329,<0.05,↑,30/30
chronic_persistent,Liver,JAK1,PlasmaB,76.0999984741211,0.017316,<0.05,↑,28/30
chronic_persistent,Liver,MT-CYB,CD4_T,13.100000381469728,0.025974,<0.05,↑,32/36
chronic_persistent,Liver,MT-CYB,PlasmaB,26.299999237060547,0.008658,<0.05,↑,29/30
chronic_persistent,Liver,MT-ND1,PlasmaB,40.0,0.004329,<0.05,↑,30/30
chronic_persistent,Liver,MT-ND2,PlasmaB,55.900001525878906,0.017316,<0.05,↑,28/30
chronic_persistent,Liver,NCR3,CD4_T,-50.20000076293945,0.002165,<0.05,↓,36/36
chronic_persistent,Liver,NRP1,PlasmaB,761.0,0.016685,<0.05,↑,28/30
chronic_persistent,Liver,PRDM1,CD4_T,-36.400001525878906,0.002165,<0.05,↓,36/36
chronic_persistent,Liver,PYCARD,PlasmaB,163.60000610351562,0.004329,<0.05,↑,30/30
chronic_persistent,Liver,RORC,CD4_T,-49.400001525878906,0.025974,<0.05,↓,32/36
chronic_persistent,Liver,SDHB,CD8_T,53.70000076293945,0.015152,<0.05,↑,33/36
chronic_persistent,Liver,SDHB,NK,52.5,0.025974,<0.05,↑,32/36
chronic_persistent,Liver,SELL,PlasmaB,248.3999938964844,0.017316,<0.05,↑,28/30
chronic_persistent,Liver,TET2,B,421.7999877929688,0.007969,<0.05,↑,30/30
chronic_persistent,Liver,TIGIT,CD4_T,123.8000030517578,0.015152,<0.05,↑,33/36
chronic_persistent,Liver,TOX2,CD4_T,242.1000061035156,0.008658,<0.05,↑,34/36
chronic_persistent,Liver,UQCRC1,CD8_T,30.100000381469727,0.015152,<0.05,↑,33/36
chronic_persistent,Liver,VIM,PlasmaB,47.400001525878906,0.008658,<0.05,↑,29/30
chronic_persistent,Blood,AIM2,Myeloid,1431.199951171875,0.011159,<0.05,↑,25/25
chronic_persistent,Blood,ATP5F1B,Myeloid,59.5,0.031746,<0.05,↑,23/25
chronic_persistent,Blood,BAK1,Myeloid,196.1000061035156,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,BCL6,B,217.8999938964844,0.011925,<0.05,↑,25/25
chronic_persistent,Blood,CCND1,CD4_T,790.5,0.01775,<0.05,↑,24/25
chronic_persistent,Blood,CCND1,B,467.1000061035156,0.011159,<0.05,↑,25/25
chronic_persistent,Blood,CD44,Myeloid,68.5,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,CD44,CD4_T,37.5,0.031746,<0.05,↑,23/25
chronic_persistent,Blood,CD44,NK,64.19999694824219,0.031746,<0.05,↑,23/25
chronic_persistent,Blood,CD44,B,97.4000015258789,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,CDK1,B,1072.800048828125,0.044909,<0.05,↑,20/25
chronic_persistent,Blood,DNMT1,Myeloid,163.8000030517578,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,DNMT1,NK,64.30000305175781,0.031746,<0.05,↑,23/25
chronic_persistent,Blood,DNMT3A,Myeloid,348.29998779296875,0.011925,<0.05,↑,25/25
chronic_persistent,Blood,EZH2,Myeloid,193.5,0.011925,<0.05,↑,25/25
chronic_persistent,Blood,FAS,Myeloid,143.89999389648438,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,GATA3,Myeloid,99999.0,0.007495,<0.05,↑,25/25
chronic_persistent,Blood,ID3,CD4_T,367.8999938964844,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,ID3,CD8_T,453.0,0.036145,<0.05,↑,23/25
chronic_persistent,Blood,IDO1,Myeloid,1084.4000244140625,0.01775,<0.05,↑,24/25
chronic_persistent,Blood,IRF4,Myeloid,1864.300048828125,0.009701,<0.05,↑,25/25
chronic_persistent,Blood,JAK1,Myeloid,128.3000030517578,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,JAK1,NK,46.900001525878906,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,JAK3,PlasmaB,477.2999877929688,0.011159,<0.05,↑,25/25
chronic_persistent,Blood,LAYN,Myeloid,99999.0,0.02537,<0.05,↑,20/25
chronic_persistent,Blood,LGALS9,Myeloid,93.6999969482422,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,MCM2,Myeloid,99999.0,0.02537,<0.05,↑,20/25
chronic_persistent,Blood,MT-CO1,CD8_T,8.800000190734863,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,MT-CYB,CD4_T,20.700000762939453,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,MT-CYB,CD8_T,22.299999237060547,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,MT-CYB,NK,21.5,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,MT-ND1,CD4_T,35.400001525878906,0.007937,<0.05,↑,25/25
