tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Blood,ACTA2,PlasmaB,NL→AR,NL,AR,0.037563335,0.06230736,65.9000015258789,↑,0.203872,NS,12/15,5,3,0.6926581120689654
Blood,ACTA2,PlasmaB,NL→CR,NL,CR,0.037563335,0.04339649,15.5,↑,0.203872,NS,12/15,5,3,0.4764492753623188
Blood,ACTA2,PlasmaB,IT→IA,IT,IA,0.049262732,0.015669374,-68.19999694824219,↓,0.111111,NS,17/20,5,4,1.0
Blood,ACTA2,PlasmaB,IA→AR,IA,AR,0.015669374,0.06230736,297.6000061035156,↑,0.114286,NS,11/12,4,3,0.9223410000000001
Blood,ACTA2,PlasmaB,CR→AR,CR,AR,0.04339649,0.06230736,43.59999847412109,↑,0.4,NS,7/9,3,3,0.7255172413793103
Blood,AIM2,Myeloid,NL→IT,NL,IT,0.004340162,0.066457726,1431.199951171875,↑,0.011159,*,25/25,5,5,0.07467321428571429
Blood,AIM2,Myeloid,NL→IA,NL,IA,0.004340162,0.07835226,1705.300048828125,↑,0.017943,*,20/20,5,4,0.1189677441860465
Blood,AIM2,Myeloid,NL→AR,NL,AR,0.004340162,0.06332328,1359.0,↑,0.032473,*,15/15,5,3,0.17421314814814814
Blood,AIM2,Myeloid,NL→CR,NL,CR,0.004340162,0.03948762,809.7999877929688,↑,0.032473,*,15/15,5,3,0.1093896511627907
Blood,AIM2,Myeloid,IT→IA,IT,IA,0.066457726,0.07835226,17.899999618530273,↑,0.555556,NS,13/20,5,4,1.0
Blood,AIM2,Myeloid,IA→AR,IA,AR,0.07835226,0.06332328,-19.200000762939453,↓,0.628571,NS,8/12,4,3,1.0
Blood,AIM2,Myeloid,CR→AR,CR,AR,0.03948762,0.06332328,60.400001525878906,↑,0.7,NS,6/9,3,3,0.8936893203883495
Blood,AIM2,CD4_T,NL→IT,NL,IT,0.0128465025,0.014413637,12.199999809265137,↑,0.290347,NS,18/25,5,5,0.8753205591397849
Blood,AIM2,CD4_T,NL→IA,NL,IA,0.0128465025,0.020948345,63.09999847412109,↑,0.170609,NS,16/20,5,4,0.6591472105263159
Blood,AIM2,CD4_T,NL→AR,NL,AR,0.0128465025,0.01820974,41.70000076293945,↑,0.2217,NS,12/15,5,3,0.6778350515463918
Blood,AIM2,CD4_T,NL→CR,NL,CR,0.0128465025,0.026044348,102.6999969482422,↑,0.2217,NS,12/15,5,3,0.5572033898305084
Blood,AIM2,CD4_T,IT→IA,IT,IA,0.014413637,0.020948345,45.29999923706055,↑,0.555556,NS,13/20,5,4,1.0
Blood,AIM2,CD4_T,IA→AR,IA,AR,0.020948345,0.01820974,-13.100000381469728,↓,1.0,NS,6/12,4,3,1.0
Blood,AIM2,CD4_T,CR→AR,CR,AR,0.026044348,0.01820974,-30.100000381469727,↓,0.1,NS,9/9,3,3,0.43833333333333335
Blood,AIM2,CD8_T,NL→IT,NL,IT,0.021328783,0.0101079885,-52.59999847412109,↓,0.746476,NS,9/25,5,5,1.0
Blood,AIM2,CD8_T,NL→IA,NL,IA,0.021328783,0.02836883,33.0,↑,0.262239,NS,15/20,5,4,0.790976652631579
Blood,AIM2,CD8_T,NL→AR,NL,AR,0.021328783,0.01676759,-21.39999961853028,↓,0.359397,NS,4/15,5,3,0.7947799307692308
Blood,AIM2,CD8_T,NL→CR,NL,CR,0.021328783,0.021732083,1.899999976158142,↑,0.359397,NS,11/15,5,3,0.7768525639097744
Blood,AIM2,CD8_T,IT→IA,IT,IA,0.0101079885,0.02836883,180.6999969482422,↑,0.063492,†,18/20,5,4,0.960527203539823
Blood,AIM2,CD8_T,IA→AR,IA,AR,0.02836883,0.01676759,-40.900001525878906,↓,0.628571,NS,8/12,4,3,1.0
Blood,AIM2,CD8_T,CR→AR,CR,AR,0.021732083,0.01676759,-22.799999237060547,↓,0.4,NS,7/9,3,3,0.7108108108108108
Blood,AIM2,NK,NL→IT,NL,IT,0.009581063,0.008943019,-6.699999809265137,↓,0.525809,NS,9/25,5,5,0.8001322055555555
Blood,AIM2,NK,NL→IA,NL,IA,0.009581063,0.012905424,34.70000076293945,↑,0.533389,NS,13/20,5,4,0.7649802513089006
Blood,AIM2,NK,NL→AR,NL,AR,0.009581063,0.014053519,46.70000076293945,↑,0.541193,NS,10/15,5,3,0.8303084364640884
Blood,AIM2,NK,NL→CR,NL,CR,0.009581063,0.010902147,13.800000190734863,↑,0.541193,NS,10/15,5,3,0.8840342764705882
Blood,AIM2,NK,IT→IA,IT,IA,0.008943019,0.012905424,44.29999923706055,↑,0.412698,NS,14/20,5,4,0.9521015263157895
Blood,AIM2,NK,IA→AR,IA,AR,0.012905424,0.014053519,8.899999618530273,↑,0.628571,NS,8/12,4,3,1.0
Blood,AIM2,NK,CR→AR,CR,AR,0.010902147,0.014053519,28.89999961853028,↑,1.0,NS,5/9,3,3,1.0
Blood,AIM2,B,NL→IT,NL,IT,0.27280563,0.44560903,63.29999923706055,↑,0.055556,†,22/25,5,5,0.29439624528301883
Blood,AIM2,B,NL→IA,NL,IA,0.27280563,0.40659183,49.0,↑,0.412698,NS,14/20,5,4,0.7537470416666666
Blood,AIM2,B,NL→AR,NL,AR,0.27280563,0.62366885,128.60000610351562,↑,0.071429,†,14/15,5,3,0.3439274909090909
Blood,AIM2,B,NL→CR,NL,CR,0.27280563,0.2222353,-18.5,↓,1.0,NS,8/15,5,3,1.0
Blood,AIM2,B,IT→IA,IT,IA,0.44560903,0.40659183,-8.800000190734863,↓,1.0,NS,10/20,5,4,1.0
Blood,AIM2,B,IA→AR,IA,AR,0.40659183,0.62366885,53.400001525878906,↑,0.228571,NS,10/12,4,3,1.0
Blood,AIM2,B,CR→AR,CR,AR,0.2222353,0.62366885,180.6000061035156,↑,0.2,NS,8/9,3,3,0.5977272727272728
