tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Blood,KLRK1,Myeloid,IT→IA,IT,IA,0.0003613309,0.00016164771,-55.29999923706055,↓,0.560509,NS,8/20,5,4,1.0
Blood,KLRK1,Myeloid,IA→AR,IA,AR,0.00016164771,0.00027444572,69.80000305175781,↑,0.825498,NS,4/12,4,3,1.0
Blood,KLRK1,Myeloid,CR→AR,CR,AR,0.0022843701,0.00027444572,-88.0,↓,0.076523,†,9/9,3,3,0.5977272727272728
Blood,KLRK1,CD4_T,NL→IT,NL,IT,0.06294435,0.030386493,-51.70000076293945,↓,0.222222,NS,19/25,5,5,0.77925848
Blood,KLRK1,CD4_T,NL→IA,NL,IA,0.06294435,0.029880572,-52.5,↓,0.190476,NS,16/20,5,4,0.6591472105263159
Blood,KLRK1,CD4_T,NL→AR,NL,AR,0.06294435,0.010804721,-82.80000305175781,↓,0.071429,†,14/15,5,3,0.5466455
Blood,KLRK1,CD4_T,NL→CR,NL,CR,0.06294435,0.0076653133,-87.80000305175781,↓,0.035714,*,15/15,5,3,0.21347231818181822
Blood,KLRK1,CD4_T,IT→IA,IT,IA,0.030386493,0.029880572,-1.7000000476837158,↓,0.730159,NS,12/20,5,4,1.0
Blood,KLRK1,CD4_T,IA→AR,IA,AR,0.029880572,0.010804721,-63.79999923706055,↓,1.0,NS,6/12,4,3,1.0
Blood,KLRK1,CD4_T,CR→AR,CR,AR,0.0076653133,0.010804721,41.0,↑,0.4,NS,7/9,3,3,0.7356643356643358
Blood,KLRK1,CD8_T,NL→IT,NL,IT,0.38346463,0.36076808,-5.900000095367432,↓,1.0,NS,12/25,5,5,1.0
Blood,KLRK1,CD8_T,NL→IA,NL,IA,0.38346463,0.12839057,-66.5,↓,0.031746,*,19/20,5,4,0.5126700526315789
Blood,KLRK1,CD8_T,NL→AR,NL,AR,0.38346463,0.2760469,-28.0,↓,0.571429,NS,10/15,5,3,0.93928641875
Blood,KLRK1,CD8_T,NL→CR,NL,CR,0.38346463,0.118276775,-69.19999694824219,↓,0.035714,*,15/15,5,3,0.247566052631579
Blood,KLRK1,CD8_T,IT→IA,IT,IA,0.36076808,0.12839057,-64.4000015258789,↓,0.063492,†,18/20,5,4,0.960527203539823
Blood,KLRK1,CD8_T,IA→AR,IA,AR,0.12839057,0.2760469,115.0,↑,0.628571,NS,8/12,4,3,1.0
Blood,KLRK1,CD8_T,CR→AR,CR,AR,0.118276775,0.2760469,133.39999389648438,↑,0.4,NS,7/9,3,3,0.7108108108108108
Blood,KLRK1,NK,NL→IT,NL,IT,0.44230732,0.36877856,-16.600000381469727,↓,0.84127,NS,14/25,5,5,0.9877411160714286
Blood,KLRK1,NK,NL→IA,NL,IA,0.44230732,0.16346508,-63.0,↓,0.031746,*,19/20,5,4,0.25300600000000006
Blood,KLRK1,NK,NL→AR,NL,AR,0.44230732,0.28440726,-35.70000076293945,↓,0.571429,NS,10/15,5,3,0.8303084364640884
Blood,KLRK1,NK,NL→CR,NL,CR,0.44230732,0.11811771,-73.30000305175781,↓,0.035714,*,15/15,5,3,0.20451108695652176
Blood,KLRK1,NK,IT→IA,IT,IA,0.36877856,0.16346508,-55.70000076293945,↓,0.063492,†,18/20,5,4,0.9276886666666667
Blood,KLRK1,NK,IA→AR,IA,AR,0.16346508,0.28440726,74.0,↑,0.628571,NS,8/12,4,3,1.0
Blood,KLRK1,NK,CR→AR,CR,AR,0.11811771,0.28440726,140.8000030517578,↑,1.0,NS,5/9,3,3,1.0
Blood,KLRK1,B,NL→IT,NL,IT,0.010366917,0.004830531,-53.400001525878906,↓,0.66643,NS,13/25,5,5,0.8989860792079207
Blood,KLRK1,B,NL→IA,NL,IA,0.010366917,0.004885484,-52.900001525878906,↓,0.708624,NS,11/20,5,4,0.9367405707317074
Blood,KLRK1,B,NL→AR,NL,AR,0.010366917,0.009433726,-9.0,↓,0.764228,NS,6/15,5,3,0.9435743470319635
Blood,KLRK1,B,NL→CR,NL,CR,0.010366917,0.004147634,-60.0,↓,0.764228,NS,9/15,5,3,0.9522708847926268
Blood,KLRK1,B,IT→IA,IT,IA,0.004830531,0.004885484,1.100000023841858,↑,0.900865,NS,10/20,5,4,1.0
Blood,KLRK1,B,IA→AR,IA,AR,0.004885484,0.009433726,93.0999984741211,↑,1.0,NS,6/12,4,3,1.0
Blood,KLRK1,B,CR→AR,CR,AR,0.004147634,0.009433726,127.4000015258789,↑,0.7,NS,3/9,3,3,0.9251256281407034
Blood,KLRK1,PlasmaB,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5,1.0
Blood,KLRK1,PlasmaB,NL→IA,NL,IA,0.0,0.0,0.0,↑,1.0,NS,0/20,5,4,1.0
Blood,KLRK1,PlasmaB,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,KLRK1,PlasmaB,NL→CR,NL,CR,0.0,0.0072528985,99999.0,↑,0.3017,NS,5/15,5,3,0.5361290540540541
Blood,KLRK1,PlasmaB,IT→IA,IT,IA,0.0,0.0,0.0,↑,1.0,NS,0/20,5,4,1.0
Blood,KLRK1,PlasmaB,IA→AR,IA,AR,0.0,0.0,0.0,↑,1.0,NS,0/12,4,3,1.0
Blood,KLRK1,PlasmaB,CR→AR,CR,AR,0.0072528985,0.0,-100.0,↓,0.504985,NS,3/9,3,3,0.8025540060240964
Blood,LAG3,Myeloid,NL→IT,NL,IT,0.0017271513,0.00090507243,-47.59999847412109,↓,0.79717,NS,5/25,5,5,0.9155271179039302
Blood,LAG3,Myeloid,NL→IA,NL,IA,0.0017271513,0.0020133194,16.600000381469727,↑,0.347654,NS,12/20,5,4,0.5575183048780488
Blood,LAG3,Myeloid,NL→AR,NL,AR,0.0017271513,0.00087654823,-49.20000076293945,↓,0.494525,NS,3/15,5,3,0.6955084224598931
Blood,LAG3,Myeloid,NL→CR,NL,CR,0.0017271513,0.0010055177,-41.79999923706055,↓,0.203872,NS,3/15,5,3,0.39848484848484844
Blood,LAG3,Myeloid,IT→IA,IT,IA,0.00090507243,0.0020133194,122.4000015258789,↑,0.608874,NS,11/20,5,4,1.0
Blood,LAG3,Myeloid,IA→AR,IA,AR,0.0020133194,0.00087654823,-56.5,↓,1.0,NS,6/12,4,3,1.0
Blood,LAG3,Myeloid,CR→AR,CR,AR,0.0010055177,0.00087654823,-12.800000190734863,↓,0.7,NS,6/9,3,3,0.8936893203883495
Blood,LAG3,CD4_T,NL→IT,NL,IT,0.17870222,0.08146901,-54.400001525878906,↓,0.84127,NS,14/25,5,5,1.0
Blood,LAG3,CD4_T,NL→IA,NL,IA,0.17870222,0.17108649,-4.300000190734863,↓,1.0,NS,10/20,5,4,1.0
Blood,LAG3,CD4_T,NL→AR,NL,AR,0.17870222,0.05823565,-67.4000015258789,↓,0.785714,NS,9/15,5,3,0.9611292186046512
Blood,LAG3,CD4_T,NL→CR,NL,CR,0.17870222,0.058559652,-67.19999694824219,↓,0.785714,NS,9/15,5,3,0.9350352126696834
Blood,LAG3,CD4_T,IT→IA,IT,IA,0.08146901,0.17108649,110.0,↑,0.904762,NS,9/20,5,4,1.0
Blood,LAG3,CD4_T,IA→AR,IA,AR,0.17108649,0.05823565,-66.0,↓,0.4,NS,9/12,4,3,1.0
Blood,LAG3,CD4_T,CR→AR,CR,AR,0.058559652,0.05823565,-0.6000000238418579,↓,0.7,NS,3/9,3,3,0.8523148148148147
Blood,LAG3,CD8_T,NL→IT,NL,IT,0.35271013,0.19458315,-44.79999923706055,↓,0.222222,NS,19/25,5,5,0.7215356296296296
Blood,LAG3,CD8_T,NL→IA,NL,IA,0.35271013,0.43728137,24.0,↑,0.904762,NS,9/20,5,4,1.0
Blood,LAG3,CD8_T,NL→AR,NL,AR,0.35271013,0.25831163,-26.799999237060547,↓,1.0,NS,7/15,5,3,1.0
Blood,LAG3,CD8_T,NL→CR,NL,CR,0.35271013,0.15723425,-55.400001525878906,↓,0.25,NS,12/15,5,3,0.5923423423423423
Blood,LAG3,CD8_T,IT→IA,IT,IA,0.19458315,0.43728137,124.6999969482422,↑,0.730159,NS,12/20,5,4,1.0
Blood,LAG3,CD8_T,IA→AR,IA,AR,0.43728137,0.25831163,-40.900001525878906,↓,0.857143,NS,5/12,4,3,1.0
Blood,LAG3,CD8_T,CR→AR,CR,AR,0.15723425,0.25831163,64.30000305175781,↑,0.7,NS,6/9,3,3,0.9113861386138613
Blood,LAG3,NK,NL→IT,NL,IT,0.35351855,0.28058332,-20.600000381469727,↓,1.0,NS,13/25,5,5,1.0
Blood,LAG3,NK,NL→IA,NL,IA,0.35351855,0.26557332,-24.89999961853028,↓,1.0,NS,10/20,5,4,1.0
Blood,LAG3,NK,NL→AR,NL,AR,0.35351855,0.23384617,-33.900001525878906,↓,1.0,NS,8/15,5,3,1.0
Blood,LAG3,NK,NL→CR,NL,CR,0.35351855,0.20459051,-42.09999847412109,↓,0.785714,NS,9/15,5,3,0.9392853727272727
Blood,LAG3,NK,IT→IA,IT,IA,0.28058332,0.26557332,-5.300000190734863,↓,1.0,NS,10/20,5,4,1.0
Blood,LAG3,NK,IA→AR,IA,AR,0.26557332,0.23384617,-11.899999618530272,↓,1.0,NS,6/12,4,3,1.0
Blood,LAG3,NK,CR→AR,CR,AR,0.20459051,0.23384617,14.300000190734863,↑,0.7,NS,3/9,3,3,0.9113861386138613
Blood,LAG3,B,NL→IT,NL,IT,0.0015464793,0.00094726554,-38.70000076293945,↓,0.79717,NS,5/25,5,5,0.9966396846846847
Blood,LAG3,B,NL→IA,NL,IA,0.0015464793,0.0037834998,144.6999969482422,↑,0.466854,NS,9/20,5,4,0.8077802763157895
Blood,LAG3,B,NL→AR,NL,AR,0.0015464793,0.00038692832,-75.0,↓,1.0,NS,3/15,5,3,1.0
Blood,LAG3,B,NL→CR,NL,CR,0.0015464793,0.0010170256,-34.20000076293945,↓,0.494525,NS,3/15,5,3,0.9334523416149068
Blood,LAG3,B,IT→IA,IT,IA,0.00094726554,0.0037834998,299.3999938964844,↑,0.502335,NS,10/20,5,4,1.0
Blood,LAG3,B,IA→AR,IA,AR,0.0037834998,0.00038692832,-89.80000305175781,↓,0.558452,NS,6/12,4,3,1.0
Blood,LAG3,B,CR→AR,CR,AR,0.0010170256,0.00038692832,-62.0,↓,0.642835,NS,5/9,3,3,0.9251256281407034
Blood,LAG3,PlasmaB,NL→IT,NL,IT,0.029767847,0.020161372,-32.29999923706055,↓,0.480177,NS,5/25,5,5,0.7342241337209302
Blood,LAG3,PlasmaB,NL→IA,NL,IA,0.029767847,0.020723872,-30.39999961853028,↓,0.347654,NS,4/20,5,4,0.6506497266666667
Blood,LAG3,PlasmaB,NL→AR,NL,AR,0.029767847,0.0,-100.0,↓,0.605577,NS,3/15,5,3,0.9536931197604791
Blood,LAG3,PlasmaB,NL→CR,NL,CR,0.029767847,0.0,-100.0,↓,0.605577,NS,3/15,5,3,0.8703101147540985
Blood,LAG3,PlasmaB,IT→IA,IT,IA,0.020161372,0.020723872,2.799999952316284,↑,0.708624,NS,11/20,5,4,1.0
Blood,LAG3,PlasmaB,IA→AR,IA,AR,0.020723872,0.0,-100.0,↓,0.11867,NS,9/12,4,3,0.9223410000000001
Blood,LAG3,PlasmaB,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Blood,LAYN,Myeloid,NL→IT,NL,IT,0.0,0.0017457635,99999.0,↑,0.02537,*,20/25,5,5,0.11309
Blood,LAYN,Myeloid,NL→IA,NL,IA,0.0,0.0019790349,99999.0,↑,0.04162,*,15/20,5,4,0.17654935483870968
Blood,LAYN,Myeloid,NL→AR,NL,AR,0.0,0.0043391082,99999.0,↑,0.016805,*,15/15,5,3,0.17421314814814814
Blood,LAYN,Myeloid,NL→CR,NL,CR,0.0,0.006406261,99999.0,↑,0.016805,*,15/15,5,3,0.1093896511627907
Blood,LAYN,Myeloid,IT→IA,IT,IA,0.0017457635,0.0019790349,13.399999618530272,↑,0.805701,NS,11/20,5,4,1.0
Blood,LAYN,Myeloid,IA→AR,IA,AR,0.0019790349,0.0043391082,119.3000030517578,↑,0.857143,NS,7/12,4,3,1.0
Blood,LAYN,Myeloid,CR→AR,CR,AR,0.006406261,0.0043391082,-32.29999923706055,↓,0.7,NS,6/9,3,3,0.8936893203883495
Blood,LAYN,CD4_T,NL→IT,NL,IT,0.009453646,0.004453427,-52.900001525878906,↓,0.401965,NS,8/25,5,5,0.8844126428571429
Blood,LAYN,CD4_T,NL→IA,NL,IA,0.009453646,0.029038215,207.1999969482422,↑,0.109855,NS,17/20,5,4,0.6087956875
Blood,LAYN,CD4_T,NL→AR,NL,AR,0.009453646,0.005854948,-38.09999847412109,↓,0.230243,NS,3/15,5,3,0.6778350515463918
Blood,LAYN,CD4_T,NL→CR,NL,CR,0.009453646,0.00503484,-46.70000076293945,↓,0.230243,NS,3/15,5,3,0.5572033898305084
Blood,LAYN,CD4_T,IT→IA,IT,IA,0.004453427,0.029038215,552.0,↑,0.190476,NS,16/20,5,4,1.0
Blood,LAYN,CD4_T,IA→AR,IA,AR,0.029038215,0.005854948,-79.80000305175781,↓,0.857143,NS,7/12,4,3,1.0
Blood,LAYN,CD4_T,CR→AR,CR,AR,0.00503484,0.005854948,16.299999237060547,↑,0.4,NS,7/9,3,3,0.7356643356643358
Blood,LAYN,CD8_T,NL→IT,NL,IT,0.004467685,0.0043944875,-1.600000023841858,↓,0.450644,NS,7/25,5,5,0.8526573525179857
Blood,LAYN,CD8_T,NL→IA,NL,IA,0.004467685,0.050804377,1037.199951171875,↑,0.262239,NS,15/20,5,4,0.790976652631579
Blood,LAYN,CD8_T,NL→AR,NL,AR,0.004467685,0.006157112,37.79999923706055,↑,0.2217,NS,12/15,5,3,0.7146739130434783
Blood,LAYN,CD8_T,NL→CR,NL,CR,0.004467685,0.011679995,161.39999389648438,↑,0.2217,NS,12/15,5,3,0.5923423423423423
Blood,LAYN,CD8_T,IT→IA,IT,IA,0.0043944875,0.050804377,1056.0999755859375,↑,0.730159,NS,12/20,5,4,1.0
Blood,LAYN,CD8_T,IA→AR,IA,AR,0.050804377,0.006157112,-87.9000015258789,↓,1.0,NS,6/12,4,3,1.0
Blood,LAYN,CD8_T,CR→AR,CR,AR,0.011679995,0.006157112,-47.29999923706055,↓,0.1,NS,9/9,3,3,0.3925373134328358
Blood,LAYN,NK,NL→IT,NL,IT,0.0063397735,0.0039057,-38.400001525878906,↓,0.832519,NS,13/25,5,5,0.9877411160714286
Blood,LAYN,NK,NL→IA,NL,IA,0.0063397735,0.010325484,62.900001525878906,↑,0.902117,NS,11/20,5,4,1.0
Blood,LAYN,NK,NL→AR,NL,AR,0.0063397735,0.00019989871,-96.8000030517578,↓,0.340617,NS,9/15,5,3,0.6934321543624162
Blood,LAYN,NK,NL→CR,NL,CR,0.0063397735,0.0025202555,-60.20000076293945,↓,0.541193,NS,9/15,5,3,0.8840342764705882
Blood,LAYN,NK,IT→IA,IT,IA,0.0039057,0.010325484,164.39999389648438,↑,0.285714,NS,15/20,5,4,0.9521015263157895
Blood,LAYN,NK,IA→AR,IA,AR,0.010325484,0.00019989871,-98.0999984741211,↓,0.049746,*,12/12,4,3,0.9924528301886792
Blood,LAYN,NK,CR→AR,CR,AR,0.0025202555,0.00019989871,-92.0999984741211,↓,0.353679,NS,6/9,3,3,0.8092307692307693
Blood,LAYN,B,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5,1.0
Blood,LAYN,B,NL→IA,NL,IA,0.0,0.0006082633,99999.0,↑,0.371093,NS,5/20,5,4,0.7537470416666666
Blood,LAYN,B,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,LAYN,B,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,LAYN,B,IT→IA,IT,IA,0.0,0.0006082633,99999.0,↑,0.371093,NS,5/20,5,4,1.0
Blood,LAYN,B,IA→AR,IA,AR,0.0006082633,0.0,-100.0,↓,0.563703,NS,3/12,4,3,1.0
Blood,LAYN,B,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Blood,LAYN,PlasmaB,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5,1.0
Blood,LAYN,PlasmaB,NL→IA,NL,IA,0.0,0.003911261,99999.0,↑,0.371093,NS,5/20,5,4,0.6506497266666667
Blood,LAYN,PlasmaB,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,LAYN,PlasmaB,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,LAYN,PlasmaB,IT→IA,IT,IA,0.0,0.003911261,99999.0,↑,0.371093,NS,5/20,5,4,1.0
Blood,LAYN,PlasmaB,IA→AR,IA,AR,0.003911261,0.0,-100.0,↓,0.563703,NS,3/12,4,3,1.0
Blood,LAYN,PlasmaB,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Blood,LEF1,Myeloid,NL→IT,NL,IT,0.040506788,0.007555253,-81.30000305175781,↓,0.480177,NS,5/25,5,5,0.6378108636363636
Blood,LEF1,Myeloid,NL→IA,NL,IA,0.040506788,0.008964093,-77.9000015258789,↓,0.347654,NS,4/20,5,4,0.5575183048780488
Blood,LEF1,Myeloid,NL→AR,NL,AR,0.040506788,0.0130074555,-67.9000015258789,↓,0.494525,NS,3/15,5,3,0.6955084224598931
Blood,LEF1,Myeloid,NL→CR,NL,CR,0.040506788,0.031275395,-22.799999237060547,↓,0.203872,NS,3/15,5,3,0.39848484848484844
Blood,LEF1,Myeloid,IT→IA,IT,IA,0.007555253,0.008964093,18.600000381469727,↑,0.533389,NS,12/20,5,4,1.0
Blood,LEF1,Myeloid,IA→AR,IA,AR,0.008964093,0.0130074555,45.09999847412109,↑,1.0,NS,6/12,4,3,1.0
Blood,LEF1,Myeloid,CR→AR,CR,AR,0.031275395,0.0130074555,-58.400001525878906,↓,0.2,NS,8/9,3,3,0.5977272727272728
Blood,LEF1,CD4_T,NL→IT,NL,IT,0.7871988,1.1705616,48.70000076293945,↑,0.095238,†,21/25,5,5,0.5566132
Blood,LEF1,CD4_T,NL→IA,NL,IA,0.7871988,1.0462301,32.900001525878906,↑,0.555556,NS,13/20,5,4,0.9019211604938272
Blood,LEF1,CD4_T,NL→AR,NL,AR,0.7871988,1.3266174,68.5,↑,0.142857,NS,13/15,5,3,0.6059901774193549
Blood,LEF1,CD4_T,NL→CR,NL,CR,0.7871988,1.050664,33.5,↑,0.25,NS,12/15,5,3,0.5572033898305084
Blood,LEF1,CD4_T,IT→IA,IT,IA,1.1705616,1.0462301,-10.600000381469728,↓,0.904762,NS,11/20,5,4,1.0
Blood,LEF1,CD4_T,IA→AR,IA,AR,1.0462301,1.3266174,26.799999237060547,↑,0.628571,NS,8/12,4,3,1.0
Blood,LEF1,CD4_T,CR→AR,CR,AR,1.050664,1.3266174,26.299999237060547,↑,0.2,NS,8/9,3,3,0.6414634146341464
Blood,LEF1,CD8_T,NL→IT,NL,IT,0.7666958,1.1112443,44.900001525878906,↑,0.309524,NS,18/25,5,5,0.7537482592592593
Blood,LEF1,CD8_T,NL→IA,NL,IA,0.7666958,0.8100377,5.699999809265137,↑,1.0,NS,10/20,5,4,1.0
Blood,LEF1,CD8_T,NL→AR,NL,AR,0.7666958,0.87994844,14.800000190734863,↑,0.785714,NS,9/15,5,3,0.9840132476190476
Blood,LEF1,CD8_T,NL→CR,NL,CR,0.7666958,0.9336474,21.799999237060547,↑,0.785714,NS,9/15,5,3,0.9656204766355141
Blood,LEF1,CD8_T,IT→IA,IT,IA,1.1112443,0.8100377,-27.100000381469727,↓,0.412698,NS,14/20,5,4,0.960527203539823
Blood,LEF1,CD8_T,IA→AR,IA,AR,0.8100377,0.87994844,8.600000381469727,↑,0.857143,NS,7/12,4,3,1.0
Blood,LEF1,CD8_T,CR→AR,CR,AR,0.9336474,0.87994844,-5.800000190734863,↓,0.7,NS,3/9,3,3,0.9113861386138613
Blood,LEF1,NK,NL→IT,NL,IT,0.022856155,0.062335886,172.6999969482422,↑,0.20869,NS,19/25,5,5,0.5513621320754717
Blood,LEF1,NK,NL→IA,NL,IA,0.022856155,0.08025218,251.1000061035156,↑,0.036546,*,19/20,5,4,0.2746170857142857
Blood,LEF1,NK,NL→AR,NL,AR,0.022856155,0.09492785,315.29998779296875,↑,0.03577,*,15/15,5,3,0.2613197222222222
Blood,LEF1,NK,NL→CR,NL,CR,0.022856155,0.0980368,328.8999938964844,↑,0.03577,*,15/15,5,3,0.20451108695652176
Blood,LEF1,NK,IT→IA,IT,IA,0.062335886,0.08025218,28.700000762939453,↑,0.555556,NS,13/20,5,4,1.0
Blood,LEF1,NK,IA→AR,IA,AR,0.08025218,0.09492785,18.299999237060547,↑,0.857143,NS,7/12,4,3,1.0
Blood,LEF1,NK,CR→AR,CR,AR,0.0980368,0.09492785,-3.200000047683716,↓,1.0,NS,4/9,3,3,1.0
Blood,LEF1,B,NL→IT,NL,IT,0.002542704,0.014240096,460.0,↑,0.239317,NS,14/25,5,5,0.5619675982142858
Blood,LEF1,B,NL→IA,NL,IA,0.002542704,0.021509353,745.9000244140625,↑,0.015078,*,20/20,5,4,0.3630086086956522
Blood,LEF1,B,NL→AR,NL,AR,0.002542704,0.022059381,767.5999755859375,↑,0.056664,†,14/15,5,3,0.3439274909090909
Blood,LEF1,B,NL→CR,NL,CR,0.002542704,0.029779797,1071.199951171875,↑,0.026179,*,15/15,5,3,0.24121820512820516
Blood,LEF1,B,IT→IA,IT,IA,0.014240096,0.021509353,51.0,↑,0.538594,NS,13/20,5,4,1.0
Blood,LEF1,B,IA→AR,IA,AR,0.021509353,0.022059381,2.5999999046325684,↑,1.0,NS,6/12,4,3,1.0
Blood,LEF1,B,CR→AR,CR,AR,0.029779797,0.022059381,-25.89999961853028,↓,0.7,NS,6/9,3,3,0.9251256281407034
Blood,LEF1,PlasmaB,NL→IT,NL,IT,0.0110233,0.048201196,337.29998779296875,↑,0.181221,NS,17/25,5,5,0.4372580091743119
Blood,LEF1,PlasmaB,NL→IA,NL,IA,0.0110233,0.027529772,149.6999969482422,↑,0.227249,NS,13/20,5,4,0.5483163944954129
Blood,LEF1,PlasmaB,NL→AR,NL,AR,0.0110233,0.063049644,472.0,↑,0.056664,†,14/15,5,3,0.5066470487804878
Blood,LEF1,PlasmaB,NL→CR,NL,CR,0.0110233,0.0939135,752.0,↑,0.056664,†,14/15,5,3,0.2663144743589744
Blood,LEF1,PlasmaB,IT→IA,IT,IA,0.048201196,0.027529772,-42.900001525878906,↓,0.805701,NS,11/20,5,4,1.0
Blood,LEF1,PlasmaB,IA→AR,IA,AR,0.027529772,0.063049644,129.0,↑,0.228571,NS,10/12,4,3,1.0
Blood,LEF1,PlasmaB,CR→AR,CR,AR,0.0939135,0.063049644,-32.900001525878906,↓,0.7,NS,6/9,3,3,0.9251256281407034
Blood,LGALS9,Myeloid,NL→IT,NL,IT,0.62604827,1.2128497,93.6999969482422,↑,0.015873,*,24/25,5,5,0.0818548823529412
Blood,LGALS9,Myeloid,NL→IA,NL,IA,0.62604827,1.2295295,96.4000015258789,↑,0.031746,*,19/20,5,4,0.14909282142857144
Blood,LGALS9,Myeloid,NL→AR,NL,AR,0.62604827,1.0495926,67.69999694824219,↑,0.071429,†,14/15,5,3,0.2629434050632911
Blood,LGALS9,Myeloid,NL→CR,NL,CR,0.62604827,1.0701455,70.9000015258789,↑,0.035714,*,15/15,5,3,0.1093896511627907
Blood,LGALS9,Myeloid,IT→IA,IT,IA,1.2128497,1.2295295,1.399999976158142,↑,1.0,NS,10/20,5,4,1.0
Blood,LGALS9,Myeloid,IA→AR,IA,AR,1.2295295,1.0495926,-14.600000381469728,↓,0.4,NS,9/12,4,3,1.0
Blood,LGALS9,Myeloid,CR→AR,CR,AR,1.0701455,1.0495926,-1.899999976158142,↓,0.7,NS,6/9,3,3,0.8936893203883495
Blood,LGALS9,CD4_T,NL→IT,NL,IT,0.18639243,0.1644444,-11.800000190734863,↓,0.84127,NS,14/25,5,5,1.0
Blood,LGALS9,CD4_T,NL→IA,NL,IA,0.18639243,0.15350263,-17.600000381469727,↓,0.730159,NS,12/20,5,4,0.9506525594059406
Blood,LGALS9,CD4_T,NL→AR,NL,AR,0.18639243,0.14064853,-24.5,↓,0.571429,NS,10/15,5,3,0.9611292186046512
Blood,LGALS9,CD4_T,NL→CR,NL,CR,0.18639243,0.1639629,-12.0,↓,0.571429,NS,10/15,5,3,0.894558494047619
Blood,LGALS9,CD4_T,IT→IA,IT,IA,0.1644444,0.15350263,-6.699999809265137,↓,0.555556,NS,13/20,5,4,1.0
Blood,LGALS9,CD4_T,IA→AR,IA,AR,0.15350263,0.14064853,-8.399999618530273,↓,0.857143,NS,7/12,4,3,1.0
Blood,LGALS9,CD4_T,CR→AR,CR,AR,0.1639629,0.14064853,-14.199999809265137,↓,1.0,NS,5/9,3,3,1.0
Blood,LGALS9,CD8_T,NL→IT,NL,IT,0.12816337,0.08784695,-31.5,↓,0.222222,NS,19/25,5,5,0.7215356296296296
Blood,LGALS9,CD8_T,NL→IA,NL,IA,0.12816337,0.103665434,-19.100000381469727,↓,0.555556,NS,13/20,5,4,0.9131951750000001
Blood,LGALS9,CD8_T,NL→AR,NL,AR,0.12816337,0.07637609,-40.400001525878906,↓,0.142857,NS,13/15,5,3,0.6709176964285716
Blood,LGALS9,CD8_T,NL→CR,NL,CR,0.12816337,0.09512835,-25.799999237060547,↓,0.392857,NS,11/15,5,3,0.7768525639097744
Blood,LGALS9,CD8_T,IT→IA,IT,IA,0.08784695,0.103665434,18.0,↑,0.285714,NS,15/20,5,4,0.960527203539823
Blood,LGALS9,CD8_T,IA→AR,IA,AR,0.103665434,0.07637609,-26.299999237060547,↓,0.114286,NS,11/12,4,3,1.0
Blood,LGALS9,CD8_T,CR→AR,CR,AR,0.09512835,0.07637609,-19.700000762939453,↓,0.4,NS,7/9,3,3,0.7108108108108108
Blood,LGALS9,NK,NL→IT,NL,IT,0.14600357,0.14907993,2.0999999046325684,↑,0.690476,NS,15/25,5,5,0.9125386331658291
Blood,LGALS9,NK,NL→IA,NL,IA,0.14600357,0.16773799,14.899999618530272,↑,0.730159,NS,12/20,5,4,0.8931712418604651
Blood,LGALS9,NK,NL→AR,NL,AR,0.14600357,0.10177948,-30.299999237060547,↓,0.785714,NS,9/15,5,3,0.9392853727272727
Blood,LGALS9,NK,NL→CR,NL,CR,0.14600357,0.17754745,21.600000381469727,↑,0.785714,NS,9/15,5,3,0.9392853727272727
Blood,LGALS9,NK,IT→IA,IT,IA,0.14907993,0.16773799,12.5,↑,0.555556,NS,13/20,5,4,1.0
Blood,LGALS9,NK,IA→AR,IA,AR,0.16773799,0.10177948,-39.29999923706055,↓,0.228571,NS,10/12,4,3,0.9924528301886792
Blood,LGALS9,NK,CR→AR,CR,AR,0.17754745,0.10177948,-42.70000076293945,↓,0.4,NS,7/9,3,3,0.8092307692307693
Blood,LGALS9,B,NL→IT,NL,IT,0.27269897,0.34712896,27.299999237060547,↑,0.309524,NS,18/25,5,5,0.6409827716535433
Blood,LGALS9,B,NL→IA,NL,IA,0.27269897,0.3487275,27.89999961853028,↑,0.285714,NS,15/20,5,4,0.6534154956521739
Blood,LGALS9,B,NL→AR,NL,AR,0.27269897,0.32376137,18.700000762939453,↑,0.392857,NS,11/15,5,3,0.6665896193548387
