tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,Myeloid,antigen_presentation,IT→IA,IT,IA,0.744429,0.638968,-14.2,↓,0.547619,NS,16/25,5,5,0.9341735882352942
Liver,Myeloid,antigen_presentation,IA→AR,IA,AR,0.638968,0.76509,19.7,↑,0.392857,NS,11/15,5,3,0.7595235333333333
Liver,Myeloid,antigen_presentation,CR→AR,CR,AR,0.721465,0.76509,6.0,↑,0.7,NS,6/9,3,3,1.0
Liver,CD4_T,antigen_presentation,NL→IT,NL,IT,0.259954,0.339532,30.6,↑,0.015152,*,33/36,6,6,0.439408
Liver,CD4_T,antigen_presentation,NL→IA,NL,IA,0.259954,0.306017,17.7,↑,0.177489,NS,23/30,6,5,0.77835565
Liver,CD4_T,antigen_presentation,NL→AR,NL,AR,0.259954,0.346266,33.2,↑,0.095238,†,16/18,6,3,0.5523804
Liver,CD4_T,antigen_presentation,NL→CR,NL,CR,0.259954,0.341494,31.4,↑,0.095238,†,16/18,6,3,0.5523804
Liver,CD4_T,antigen_presentation,IT→IA,IT,IA,0.339532,0.306017,-9.9,↓,0.329004,NS,21/30,6,5,0.9189612800000001
Liver,CD4_T,antigen_presentation,IA→AR,IA,AR,0.306017,0.346266,13.2,↑,0.25,NS,12/15,5,3,0.9114282400000001
Liver,CD4_T,antigen_presentation,CR→AR,CR,AR,0.341494,0.346266,1.4,↑,1.0,NS,4/9,3,3,1.0
Liver,CD8_T,antigen_presentation,NL→IT,NL,IT,0.305388,0.392296,28.5,↑,0.179654,NS,27/36,6,6,0.5788851111111111
Liver,CD8_T,antigen_presentation,NL→IA,NL,IA,0.305388,0.414049,35.6,↑,0.051948,†,26/30,6,5,0.502164
Liver,CD8_T,antigen_presentation,NL→AR,NL,AR,0.305388,0.458342,50.1,↑,0.095238,†,16/18,6,3,0.2761902
