tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,MT-ND1,B,IA→AR,IA,AR,3.0234628,3.2202861,6.5,↑,0.392857,NS,11/15,5,3,1.0
Liver,MT-ND1,B,CR→AR,CR,AR,3.227295,3.2202861,-0.2000000029802322,↓,1.0,NS,4/9,3,3,1.0
Liver,MT-ND1,PlasmaB,NL→IT,NL,IT,1.7634238,2.467977,40.0,↑,0.004329,**,30/30,6,5,0.142376
Liver,MT-ND1,PlasmaB,NL→IA,NL,IA,1.7634238,2.5878909,46.79999923706055,↑,0.004329,**,30/30,6,5,0.160173
Liver,MT-ND1,PlasmaB,NL→AR,NL,AR,1.7634238,2.3255024,31.89999961853028,↑,0.02381,*,18/18,6,3,0.2202425
Liver,MT-ND1,PlasmaB,NL→CR,NL,CR,1.7634238,2.4584997,39.400001525878906,↑,0.02381,*,18/18,6,3,0.2710676923076923
Liver,MT-ND1,PlasmaB,IT→IA,IT,IA,2.467977,2.5878909,4.900000095367432,↑,0.547619,NS,16/25,5,5,1.0
Liver,MT-ND1,PlasmaB,IA→AR,IA,AR,2.5878909,2.3255024,-10.100000381469728,↓,0.392857,NS,11/15,5,3,1.0
Liver,MT-ND1,PlasmaB,CR→AR,CR,AR,2.4584997,2.3255024,-5.400000095367432,↓,0.7,NS,6/9,3,3,1.0
Liver,MT-ND2,Myeloid,NL→IT,NL,IT,2.332425,2.2844427,-2.0999999046325684,↓,0.937229,NS,19/36,6,6,0.9979128920863309
Liver,MT-ND2,Myeloid,NL→IA,NL,IA,2.332425,2.372197,1.7000000476837158,↑,1.0,NS,15/30,6,5,1.0
Liver,MT-ND2,Myeloid,NL→AR,NL,AR,2.332425,2.6616418,14.100000381469728,↑,0.261905,NS,14/18,6,3,0.9229033333333334
Liver,MT-ND2,Myeloid,NL→CR,NL,CR,2.332425,2.680217,14.899999618530272,↑,0.380952,NS,13/18,6,3,0.7940971267605634
Liver,MT-ND2,Myeloid,IT→IA,IT,IA,2.2844427,2.372197,3.799999952316284,↑,0.662338,NS,18/30,6,5,0.942557923076923
Liver,MT-ND2,Myeloid,IA→AR,IA,AR,2.372197,2.6616418,12.199999809265137,↑,1.0,NS,8/15,5,3,1.0
Liver,MT-ND2,Myeloid,CR→AR,CR,AR,2.680217,2.6616418,-0.699999988079071,↓,1.0,NS,5/9,3,3,1.0
Liver,MT-ND2,CD4_T,NL→IT,NL,IT,2.189889,2.546003,16.299999237060547,↑,0.132035,NS,28/36,6,6,0.4766141463414635
Liver,MT-ND2,CD4_T,NL→IA,NL,IA,2.189889,2.4095879,10.0,↑,0.329004,NS,21/30,6,5,0.64923456
Liver,MT-ND2,CD4_T,NL→AR,NL,AR,2.189889,2.5149257,14.800000190734863,↑,0.166667,NS,15/18,6,3,0.6016272195121951
Liver,MT-ND2,CD4_T,NL→CR,NL,CR,2.189889,2.5591002,16.899999618530273,↑,0.166667,NS,15/18,6,3,0.6166679
Liver,MT-ND2,CD4_T,IT→IA,IT,IA,2.546003,2.4095879,-5.400000095367432,↓,0.536797,NS,19/30,6,5,1.0
Liver,MT-ND2,CD4_T,IA→AR,IA,AR,2.4095879,2.5149257,4.400000095367432,↑,1.0,NS,7/15,5,3,1.0
Liver,MT-ND2,CD4_T,CR→AR,CR,AR,2.5591002,2.5149257,-1.7000000476837158,↓,0.7,NS,6/9,3,3,1.0
Liver,MT-ND2,CD8_T,NL→IT,NL,IT,2.1503541,2.6418107,22.89999961853028,↑,0.041126,*,31/36,6,6,0.5058094736842106
Liver,MT-ND2,CD8_T,NL→IA,NL,IA,2.1503541,2.3405843,8.800000190734863,↑,0.428571,NS,20/30,6,5,0.6894403043478261
Liver,MT-ND2,CD8_T,NL→AR,NL,AR,2.1503541,2.3108337,7.5,↑,0.380952,NS,13/18,6,3,0.7047612
Liver,MT-ND2,CD8_T,NL→CR,NL,CR,2.1503541,2.3930604,11.300000190734863,↑,0.380952,NS,13/18,6,3,0.8673984
Liver,MT-ND2,CD8_T,IT→IA,IT,IA,2.6418107,2.3405843,-11.399999618530272,↓,0.177489,NS,23/30,6,5,0.9705546930693069
Liver,MT-ND2,CD8_T,IA→AR,IA,AR,2.3405843,2.3108337,-1.2999999523162842,↓,0.571429,NS,10/15,5,3,1.0
Liver,MT-ND2,CD8_T,CR→AR,CR,AR,2.3930604,2.3108337,-3.400000095367432,↓,0.7,NS,6/9,3,3,1.0
Liver,MT-ND2,NK,NL→IT,NL,IT,1.947454,2.2247999,14.199999809265137,↑,0.093074,†,29/36,6,6,0.8992825333333333
Liver,MT-ND2,NK,NL→IA,NL,IA,1.947454,2.1416698,10.0,↑,0.246753,NS,22/30,6,5,0.8492893953488373
Liver,MT-ND2,NK,NL→AR,NL,AR,1.947454,2.3192654,19.100000381469727,↑,0.095238,†,16/18,6,3,0.6712011428571429
Liver,MT-ND2,NK,NL→CR,NL,CR,1.947454,2.2348778,14.800000190734863,↑,0.166667,NS,15/18,6,3,0.7047633142857144
Liver,MT-ND2,NK,IT→IA,IT,IA,2.2247999,2.1416698,-3.700000047683716,↓,0.662338,NS,18/30,6,5,1.0
Liver,MT-ND2,NK,IA→AR,IA,AR,2.1416698,2.3192654,8.300000190734863,↑,0.571429,NS,10/15,5,3,1.0
Liver,MT-ND2,NK,CR→AR,CR,AR,2.2348778,2.3192654,3.799999952316284,↑,1.0,NS,5/9,3,3,1.0
Liver,MT-ND2,B,NL→IT,NL,IT,2.5089982,2.635835,5.099999904632568,↑,0.329004,NS,21/30,6,5,1.0
Liver,MT-ND2,B,NL→IA,NL,IA,2.5089982,2.4400578,-2.700000047683716,↓,0.930736,NS,14/30,6,5,1.0
Liver,MT-ND2,B,NL→AR,NL,AR,2.5089982,2.6693287,6.400000095367432,↑,0.261905,NS,14/18,6,3,0.8613764444444444
Liver,MT-ND2,B,NL→CR,NL,CR,2.5089982,2.7162867,8.300000190734863,↑,0.166667,NS,15/18,6,3,0.8075404166666666
Liver,MT-ND2,B,IT→IA,IT,IA,2.635835,2.4400578,-7.400000095367432,↓,0.690476,NS,15/25,5,5,1.0
Liver,MT-ND2,B,IA→AR,IA,AR,2.4400578,2.6693287,9.399999618530272,↑,0.392857,NS,11/15,5,3,1.0
Liver,MT-ND2,B,CR→AR,CR,AR,2.7162867,2.6693287,-1.7000000476837158,↓,1.0,NS,5/9,3,3,1.0
Liver,MT-ND2,PlasmaB,NL→IT,NL,IT,1.3388982,2.087092,55.900001525878906,↑,0.017316,*,28/30,6,5,0.142376
Liver,MT-ND2,PlasmaB,NL→IA,NL,IA,1.3388982,2.0409102,52.400001525878906,↑,0.030303,*,27/30,6,5,0.26381435294117644
Liver,MT-ND2,PlasmaB,NL→AR,NL,AR,1.3388982,1.8163282,35.70000076293945,↑,0.047619,*,17/18,6,3,0.3334633043478261
Liver,MT-ND2,PlasmaB,NL→CR,NL,CR,1.3388982,2.0181372,50.70000076293945,↑,0.047619,*,17/18,6,3,0.34452285714285713
Liver,MT-ND2,PlasmaB,IT→IA,IT,IA,2.087092,2.0409102,-2.200000047683716,↓,0.84127,NS,14/25,5,5,1.0
Liver,MT-ND2,PlasmaB,IA→AR,IA,AR,2.0409102,1.8163282,-11.0,↓,0.785714,NS,9/15,5,3,1.0
Liver,MT-ND2,PlasmaB,CR→AR,CR,AR,2.0181372,1.8163282,-10.0,↓,0.7,NS,6/9,3,3,1.0
Liver,MTOR,Myeloid,NL→IT,NL,IT,0.017147886,0.07327526,327.29998779296875,↑,0.034087,*,30/36,6,6,0.43476057142857144
Liver,MTOR,Myeloid,NL→IA,NL,IA,0.017147886,0.02588163,50.900001525878906,↑,0.842187,NS,12/30,6,5,1.0
Liver,MTOR,Myeloid,NL→AR,NL,AR,0.017147886,0.064628355,276.8999938964844,↑,0.280713,NS,12/18,6,3,0.9556084067796611
Liver,MTOR,Myeloid,NL→CR,NL,CR,0.017147886,0.10617158,519.2000122070312,↑,0.025601,*,18/18,6,3,0.4794275
Liver,MTOR,Myeloid,IT→IA,IT,IA,0.07327526,0.02588163,-64.69999694824219,↓,0.061664,†,24/30,6,5,0.942557923076923
Liver,MTOR,Myeloid,IA→AR,IA,AR,0.02588163,0.064628355,149.6999969482422,↑,0.266236,NS,10/15,5,3,1.0
Liver,MTOR,Myeloid,CR→AR,CR,AR,0.10617158,0.064628355,-39.09999847412109,↓,0.7,NS,6/9,3,3,1.0
Liver,MTOR,CD4_T,NL→IT,NL,IT,0.039353434,0.1002931,154.89999389648438,↑,0.008658,**,34/36,6,6,0.15822844444444445
Liver,MTOR,CD4_T,NL→IA,NL,IA,0.039353434,0.07242568,84.0,↑,0.051948,†,26/30,6,5,0.284752
Liver,MTOR,CD4_T,NL→AR,NL,AR,0.039353434,0.061835397,57.09999847412109,↑,0.380952,NS,13/18,6,3,0.8291308235294117
Liver,MTOR,CD4_T,NL→CR,NL,CR,0.039353434,0.074777715,90.0,↑,0.095238,†,16/18,6,3,0.5034008571428571
Liver,MTOR,CD4_T,IT→IA,IT,IA,0.1002931,0.07242568,-27.799999237060547,↓,0.329004,NS,21/30,6,5,1.0
Liver,MTOR,CD4_T,IA→AR,IA,AR,0.07242568,0.061835397,-14.600000381469728,↓,1.0,NS,8/15,5,3,1.0
Liver,MTOR,CD4_T,CR→AR,CR,AR,0.074777715,0.061835397,-17.299999237060547,↓,0.7,NS,6/9,3,3,1.0
Liver,MTOR,CD8_T,NL→IT,NL,IT,0.048386488,0.08426302,74.0999984741211,↑,0.132035,NS,28/36,6,6,0.5142415789473685
Liver,MTOR,CD8_T,NL→IA,NL,IA,0.048386488,0.076650545,58.400001525878906,↑,0.125541,NS,24/30,6,5,0.4889491578947369
Liver,MTOR,CD8_T,NL→AR,NL,AR,0.048386488,0.07282304,50.5,↑,0.261905,NS,14/18,6,3,0.6460323333333333
Liver,MTOR,CD8_T,NL→CR,NL,CR,0.048386488,0.076896235,58.900001525878906,↑,0.02381,*,18/18,6,3,0.2936566666666667
Liver,MTOR,CD8_T,IT→IA,IT,IA,0.08426302,0.076650545,-9.0,↓,1.0,NS,15/30,6,5,1.0
Liver,MTOR,CD8_T,IA→AR,IA,AR,0.076650545,0.07282304,-5.0,↓,1.0,NS,8/15,5,3,1.0
Liver,MTOR,CD8_T,CR→AR,CR,AR,0.076896235,0.07282304,-5.300000190734863,↓,0.7,NS,3/9,3,3,1.0
Liver,MTOR,NK,NL→IT,NL,IT,0.05678447,0.0727193,28.100000381469727,↑,0.179654,NS,27/36,6,6,0.8992825333333333
Liver,MTOR,NK,NL→IA,NL,IA,0.05678447,0.07305957,28.700000762939453,↑,0.125541,NS,24/30,6,5,0.7741695000000001
Liver,MTOR,NK,NL→AR,NL,AR,0.05678447,0.074908234,31.89999961853028,↑,0.380952,NS,13/18,6,3,0.8415059104477612
Liver,MTOR,NK,NL→CR,NL,CR,0.05678447,0.08480466,49.29999923706055,↑,0.047619,*,17/18,6,3,0.4698408
Liver,MTOR,NK,IT→IA,IT,IA,0.0727193,0.07305957,0.5,↑,0.662338,NS,18/30,6,5,1.0
Liver,MTOR,NK,IA→AR,IA,AR,0.07305957,0.074908234,2.5,↑,0.785714,NS,9/15,5,3,1.0
Liver,MTOR,NK,CR→AR,CR,AR,0.08480466,0.074908234,-11.699999809265137,↓,0.7,NS,6/9,3,3,0.9773584905660376
Liver,MTOR,B,NL→IT,NL,IT,0.0573252,0.07325961,27.799999237060547,↑,0.360216,NS,20/30,6,5,1.0
Liver,MTOR,B,NL→IA,NL,IA,0.0573252,0.075170316,31.100000381469727,↑,0.662338,NS,18/30,6,5,0.8993213211009173
Liver,MTOR,B,NL→AR,NL,AR,0.0573252,0.04590724,-19.89999961853028,↓,0.904762,NS,10/18,6,3,1.0
Liver,MTOR,B,NL→CR,NL,CR,0.0573252,0.08676922,51.400001525878906,↑,0.547619,NS,12/18,6,3,1.0
Liver,MTOR,B,IT→IA,IT,IA,0.07325961,0.075170316,2.5999999046325684,↑,0.690476,NS,15/25,5,5,1.0
Liver,MTOR,B,IA→AR,IA,AR,0.075170316,0.04590724,-38.900001525878906,↓,0.571429,NS,10/15,5,3,1.0
Liver,MTOR,B,CR→AR,CR,AR,0.08676922,0.04590724,-47.09999847412109,↓,0.2,NS,8/9,3,3,0.9548387096774195
Liver,MTOR,PlasmaB,NL→IT,NL,IT,0.057759587,0.09905188,71.5,↑,0.177489,NS,23/30,6,5,0.54725775
Liver,MTOR,PlasmaB,NL→IA,NL,IA,0.057759587,0.10493872,81.69999694824219,↑,0.464192,NS,19/30,6,5,0.8500115061728395
Liver,MTOR,PlasmaB,NL→AR,NL,AR,0.057759587,0.061932344,7.199999809265137,↑,1.0,NS,8/18,6,3,1.0
Liver,MTOR,PlasmaB,NL→CR,NL,CR,0.057759587,0.08452397,46.29999923706055,↑,0.904762,NS,10/18,6,3,1.0
Liver,MTOR,PlasmaB,IT→IA,IT,IA,0.09905188,0.10493872,5.900000095367432,↑,0.547619,NS,9/25,5,5,1.0
Liver,MTOR,PlasmaB,IA→AR,IA,AR,0.10493872,0.061932344,-41.0,↓,0.652783,NS,9/15,5,3,1.0
Liver,MTOR,PlasmaB,CR→AR,CR,AR,0.08452397,0.061932344,-26.700000762939453,↓,1.0,NS,5/9,3,3,1.0
Liver,MYB,Myeloid,NL→IT,NL,IT,0.0,0.0023592422,99999.0,↑,0.07401,†,18/36,6,6,0.4762382608695653
Liver,MYB,Myeloid,NL→IA,NL,IA,0.0,0.0016867043,99999.0,↑,0.36131,NS,6/30,6,5,0.9219634482758622
Liver,MYB,Myeloid,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3,1.0
Liver,MYB,Myeloid,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3,1.0
Liver,MYB,Myeloid,IT→IA,IT,IA,0.0023592422,0.0016867043,-28.5,↓,0.597048,NS,12/30,6,5,0.942557923076923
Liver,MYB,Myeloid,IA→AR,IA,AR,0.0016867043,0.0,-100.0,↓,0.605577,NS,3/15,5,3,1.0
Liver,MYB,Myeloid,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Liver,MYB,CD4_T,NL→IT,NL,IT,0.004819794,0.006955372,44.29999923706055,↑,0.415063,NS,22/36,6,6,0.7977834285714286
Liver,MYB,CD4_T,NL→IA,NL,IA,0.004819794,0.007578471,57.20000076293945,↑,0.231045,NS,22/30,6,5,0.6086574
Liver,MYB,CD4_T,NL→AR,NL,AR,0.004819794,0.004046786,-16.0,↓,0.35802,NS,5/18,6,3,0.8291308235294117
Liver,MYB,CD4_T,NL→CR,NL,CR,0.004819794,0.0033453002,-30.600000381469727,↓,1.0,NS,7/18,6,3,1.0
Liver,MYB,CD4_T,IT→IA,IT,IA,0.006955372,0.007578471,9.0,↑,0.792208,NS,13/30,6,5,1.0
Liver,MYB,CD4_T,IA→AR,IA,AR,0.007578471,0.004046786,-46.59999847412109,↓,0.392857,NS,11/15,5,3,1.0
Liver,MYB,CD4_T,CR→AR,CR,AR,0.0033453002,0.004046786,21.0,↑,1.0,NS,5/9,3,3,1.0
Liver,MYB,CD8_T,NL→IT,NL,IT,0.0050680987,0.006504415,28.299999237060547,↑,0.872559,NS,19/36,6,6,1.0
Liver,MYB,CD8_T,NL→IA,NL,IA,0.0050680987,0.010237658,102.0,↑,0.428571,NS,20/30,6,5,0.6894403043478261
Liver,MYB,CD8_T,NL→AR,NL,AR,0.0050680987,0.0035438153,-30.100000381469727,↓,0.547619,NS,12/18,6,3,0.8024516039603959
Liver,MYB,CD8_T,NL→CR,NL,CR,0.0050680987,0.001531412,-69.80000305175781,↓,0.119782,NS,15/18,6,3,0.6331334285714285
Liver,MYB,CD8_T,IT→IA,IT,IA,0.006504415,0.010237658,57.400001525878906,↑,0.662338,NS,18/30,6,5,0.9705546930693069
Liver,MYB,CD8_T,IA→AR,IA,AR,0.010237658,0.0035438153,-65.4000015258789,↓,0.071429,†,14/15,5,3,1.0
Liver,MYB,CD8_T,CR→AR,CR,AR,0.001531412,0.0035438153,131.39999389648438,↑,0.4,NS,7/9,3,3,1.0
Liver,MYB,NK,NL→IT,NL,IT,0.0034325924,0.00296855,-13.5,↓,0.935736,NS,16/36,6,6,1.0
Liver,MYB,NK,NL→IA,NL,IA,0.0034325924,0.0022194886,-35.29999923706055,↓,1.0,NS,14/30,6,5,1.0
Liver,MYB,NK,NL→AR,NL,AR,0.0034325924,0.00289381,-15.699999809265137,↓,1.0,NS,8/18,6,3,1.0
Liver,MYB,NK,NL→CR,NL,CR,0.0034325924,0.0016607712,-51.59999847412109,↓,0.604066,NS,11/18,6,3,0.9788363703703704
Liver,MYB,NK,IT→IA,IT,IA,0.00296855,0.0022194886,-25.200000762939453,↓,0.782252,NS,16/30,6,5,1.0
Liver,MYB,NK,IA→AR,IA,AR,0.0022194886,0.00289381,30.39999961853028,↑,0.880791,NS,8/15,5,3,1.0
Liver,MYB,NK,CR→AR,CR,AR,0.0016607712,0.00289381,74.19999694824219,↑,0.824778,NS,5/9,3,3,1.0
Liver,MYB,B,NL→IT,NL,IT,0.014398915,0.05630367,291.0,↑,0.169289,NS,17/30,6,5,0.9729026666666667
Liver,MYB,B,NL→IA,NL,IA,0.014398915,0.0036701683,-74.5,↓,0.642347,NS,5/30,6,5,0.8993213211009173
Liver,MYB,B,NL→AR,NL,AR,0.014398915,0.010424347,-27.600000381469727,↓,0.859684,NS,3/18,6,3,1.0
Liver,MYB,B,NL→CR,NL,CR,0.014398915,0.0037959164,-73.5999984741211,↓,0.859684,NS,3/18,6,3,1.0
Liver,MYB,B,IT→IA,IT,IA,0.05630367,0.0036701683,-93.5,↓,0.372748,NS,14/25,5,5,1.0
Liver,MYB,B,IA→AR,IA,AR,0.0036701683,0.010424347,184.0,↑,1.0,NS,5/15,5,3,1.0
Liver,MYB,B,CR→AR,CR,AR,0.0037959164,0.010424347,174.60000610351562,↑,1.0,NS,3/9,3,3,1.0
Liver,MYB,PlasmaB,NL→IT,NL,IT,0.017375467,0.078844674,353.79998779296875,↑,0.053027,†,26/30,6,5,0.28902814285714284
Liver,MYB,PlasmaB,NL→IA,NL,IA,0.017375467,0.07162652,312.20001220703125,↑,0.388861,NS,17/30,6,5,0.7993253888888888
Liver,MYB,PlasmaB,NL→AR,NL,AR,0.017375467,0.12176976,600.7999877929688,↑,0.087825,†,16/18,6,3,0.45468464516129037
Liver,MYB,PlasmaB,NL→CR,NL,CR,0.017375467,0.1237623,612.2999877929688,↑,0.048885,*,17/18,6,3,0.34452285714285713
Liver,MYB,PlasmaB,IT→IA,IT,IA,0.078844674,0.07162652,-9.199999809265137,↓,0.675174,NS,15/25,5,5,1.0
Liver,MYB,PlasmaB,IA→AR,IA,AR,0.07162652,0.12176976,70.0,↑,0.368227,NS,11/15,5,3,1.0
Liver,MYB,PlasmaB,CR→AR,CR,AR,0.1237623,0.12176976,-1.600000023841858,↓,1.0,NS,5/9,3,3,1.0
Liver,MYC,Myeloid,NL→IT,NL,IT,0.058698032,0.08713246,48.400001525878906,↑,0.630356,NS,21/36,6,6,0.8255990088495576
Liver,MYC,Myeloid,NL→IA,NL,IA,0.058698032,0.07740995,31.89999961853028,↑,0.782252,NS,12/30,6,5,1.0
Liver,MYC,Myeloid,NL→AR,NL,AR,0.058698032,0.014171988,-75.9000015258789,↓,0.436661,NS,12/18,6,3,1.0
Liver,MYC,Myeloid,NL→CR,NL,CR,0.058698032,0.04781701,-18.5,↓,0.904762,NS,8/18,6,3,1.0
Liver,MYC,Myeloid,IT→IA,IT,IA,0.08713246,0.07740995,-11.199999809265137,↓,0.645055,NS,17/30,6,5,0.942557923076923
Liver,MYC,Myeloid,IA→AR,IA,AR,0.07740995,0.014171988,-81.69999694824219,↓,0.541193,NS,9/15,5,3,1.0
Liver,MYC,Myeloid,CR→AR,CR,AR,0.04781701,0.014171988,-70.4000015258789,↓,0.4,NS,7/9,3,3,1.0
Liver,MYC,CD4_T,NL→IT,NL,IT,0.15819214,0.10242691,-35.29999923706055,↓,0.393939,NS,24/36,6,6,0.787878
Liver,MYC,CD4_T,NL→IA,NL,IA,0.15819214,0.1667377,5.400000095367432,↑,1.0,NS,15/30,6,5,1.0
Liver,MYC,CD4_T,NL→AR,NL,AR,0.15819214,0.083877854,-47.0,↓,0.904762,NS,10/18,6,3,1.0
Liver,MYC,CD4_T,NL→CR,NL,CR,0.15819214,0.10809354,-31.700000762939453,↓,0.904762,NS,10/18,6,3,1.0
Liver,MYC,CD4_T,IT→IA,IT,IA,0.10242691,0.1667377,62.79999923706055,↑,0.792208,NS,17/30,6,5,1.0
Liver,MYC,CD4_T,IA→AR,IA,AR,0.1667377,0.083877854,-49.70000076293945,↓,0.571429,NS,10/15,5,3,1.0
Liver,MYC,CD4_T,CR→AR,CR,AR,0.10809354,0.083877854,-22.39999961853028,↓,0.4,NS,7/9,3,3,1.0
Liver,MYC,CD8_T,NL→IT,NL,IT,0.14081986,0.15942669,13.199999809265137,↑,0.588745,NS,22/36,6,6,0.8891251020408163
Liver,MYC,CD8_T,NL→IA,NL,IA,0.14081986,0.15396032,9.300000190734863,↑,0.246753,NS,8/30,6,5,0.6086574
Liver,MYC,CD8_T,NL→AR,NL,AR,0.14081986,0.05038734,-64.19999694824219,↓,0.047619,*,17/18,6,3,0.33560057142857147
Liver,MYC,CD8_T,NL→CR,NL,CR,0.14081986,0.06898501,-51.0,↓,0.095238,†,16/18,6,3,0.5220453333333334
Liver,MYC,CD8_T,IT→IA,IT,IA,0.15942669,0.15396032,-3.400000095367432,↓,0.246753,NS,22/30,6,5,0.9705546930693069
Liver,MYC,CD8_T,IA→AR,IA,AR,0.15396032,0.05038734,-67.30000305175781,↓,0.142857,NS,13/15,5,3,1.0
Liver,MYC,CD8_T,CR→AR,CR,AR,0.06898501,0.05038734,-27.0,↓,0.4,NS,7/9,3,3,1.0
Liver,MYC,NK,NL→IT,NL,IT,0.12009735,0.1649053,37.29999923706055,↑,0.699134,NS,21/36,6,6,1.0
Liver,MYC,NK,NL→IA,NL,IA,0.12009735,0.16348216,36.09999847412109,↑,0.428571,NS,20/30,6,5,0.9517089708737864
Liver,MYC,NK,NL→AR,NL,AR,0.12009735,0.09484566,-21.0,↓,0.714286,NS,11/18,6,3,0.9610393454545455
Liver,MYC,NK,NL→CR,NL,CR,0.12009735,0.22934355,91.0,↑,0.547619,NS,12/18,6,3,0.9106473258426966
Liver,MYC,NK,IT→IA,IT,IA,0.1649053,0.16348216,-0.8999999761581421,↓,0.930736,NS,16/30,6,5,1.0
Liver,MYC,NK,IA→AR,IA,AR,0.16348216,0.09484566,-42.0,↓,0.571429,NS,10/15,5,3,1.0
Liver,MYC,NK,CR→AR,CR,AR,0.22934355,0.09484566,-58.59999847412109,↓,0.4,NS,7/9,3,3,0.9773584905660376
Liver,MYC,B,NL→IT,NL,IT,0.3833647,0.33857542,-11.699999809265137,↓,0.662338,NS,18/30,6,5,1.0
Liver,MYC,B,NL→IA,NL,IA,0.3833647,0.2954324,-22.89999961853028,↓,0.177489,NS,23/30,6,5,0.5970084545454546
Liver,MYC,B,NL→AR,NL,AR,0.3833647,0.3004956,-21.600000381469727,↓,0.714286,NS,11/18,6,3,1.0
Liver,MYC,B,NL→CR,NL,CR,0.3833647,0.42638877,11.199999809265137,↑,1.0,NS,9/18,6,3,1.0
Liver,MYC,B,IT→IA,IT,IA,0.33857542,0.2954324,-12.699999809265137,↓,0.309524,NS,18/25,5,5,1.0
Liver,MYC,B,IA→AR,IA,AR,0.2954324,0.3004956,1.7000000476837158,↑,1.0,NS,8/15,5,3,1.0
Liver,MYC,B,CR→AR,CR,AR,0.42638877,0.3004956,-29.5,↓,1.0,NS,4/9,3,3,1.0
Liver,MYC,PlasmaB,NL→IT,NL,IT,0.20832767,0.069005266,-66.9000015258789,↓,0.054681,†,26/30,6,5,0.28902814285714284
Liver,MYC,PlasmaB,NL→IA,NL,IA,0.20832767,0.12111799,-41.900001525878906,↓,0.177489,NS,23/30,6,5,0.5837416
Liver,MYC,PlasmaB,NL→AR,NL,AR,0.20832767,0.07521919,-63.900001525878906,↓,0.166667,NS,15/18,6,3,0.6016272195121951
Liver,MYC,PlasmaB,NL→CR,NL,CR,0.20832767,0.03202564,-84.5999984741211,↓,0.02381,*,18/18,6,3,0.2710676923076923
Liver,MYC,PlasmaB,IT→IA,IT,IA,0.069005266,0.12111799,75.5,↑,0.397615,NS,16/25,5,5,1.0
Liver,MYC,PlasmaB,IA→AR,IA,AR,0.12111799,0.07521919,-37.900001525878906,↓,0.880791,NS,8/15,5,3,1.0
Liver,MYC,PlasmaB,CR→AR,CR,AR,0.03202564,0.07521919,134.89999389648438,↑,0.824778,NS,5/9,3,3,1.0
Liver,NCAM1,Myeloid,NL→IT,NL,IT,0.006779875,0.05650939,733.5,↑,0.441788,NS,19/36,6,6,0.717439652173913
Liver,NCAM1,Myeloid,NL→IA,NL,IA,0.006779875,0.0012812495,-81.0999984741211,↓,0.56156,NS,10/30,6,5,0.9664055813953488
Liver,NCAM1,Myeloid,NL→AR,NL,AR,0.006779875,0.045285672,567.9000244140625,↑,0.079616,†,16/18,6,3,0.9229033333333334
Liver,NCAM1,Myeloid,NL→CR,NL,CR,0.006779875,0.0074754977,10.300000190734863,↑,0.887537,NS,8/18,6,3,1.0
Liver,NCAM1,Myeloid,IT→IA,IT,IA,0.05650939,0.0012812495,-97.6999969482422,↓,0.135378,NS,19/30,6,5,0.942557923076923
Liver,NCAM1,Myeloid,IA→AR,IA,AR,0.0012812495,0.045285672,3434.5,↑,0.026179,*,15/15,5,3,1.0
Liver,NCAM1,Myeloid,CR→AR,CR,AR,0.0074754977,0.045285672,505.7999877929688,↑,0.1,NS,9/9,3,3,1.0
Liver,NCAM1,CD4_T,NL→IT,NL,IT,0.041311678,0.021843001,-47.09999847412109,↓,0.064935,†,30/36,6,6,0.4004325
Liver,NCAM1,CD4_T,NL→IA,NL,IA,0.041311678,0.009740675,-76.4000015258789,↓,0.004329,**,30/30,6,5,0.106782
Liver,NCAM1,CD4_T,NL→AR,NL,AR,0.041311678,0.03565975,-13.699999809265137,↓,0.714286,NS,11/18,6,3,1.0
Liver,NCAM1,CD4_T,NL→CR,NL,CR,0.041311678,0.04525256,9.5,↑,0.904762,NS,10/18,6,3,1.0
Liver,NCAM1,CD4_T,IT→IA,IT,IA,0.021843001,0.009740675,-55.400001525878906,↓,0.099576,†,24/30,6,5,1.0
Liver,NCAM1,CD4_T,IA→AR,IA,AR,0.009740675,0.03565975,266.1000061035156,↑,0.142857,NS,13/15,5,3,1.0
Liver,NCAM1,CD4_T,CR→AR,CR,AR,0.04525256,0.03565975,-21.200000762939453,↓,0.7,NS,6/9,3,3,1.0
Liver,NCAM1,CD8_T,NL→IT,NL,IT,0.05441256,0.04463914,-18.0,↓,1.0,NS,18/36,6,6,1.0
Liver,NCAM1,CD8_T,NL→IA,NL,IA,0.05441256,0.026357811,-51.59999847412109,↓,0.082251,†,25/30,6,5,0.468198
Liver,NCAM1,CD8_T,NL→AR,NL,AR,0.05441256,0.033338558,-38.70000076293945,↓,0.166667,NS,15/18,6,3,0.5138899166666666
Liver,NCAM1,CD8_T,NL→CR,NL,CR,0.05441256,0.043543477,-20.0,↓,0.714286,NS,11/18,6,3,0.9523813333333333
Liver,NCAM1,CD8_T,IT→IA,IT,IA,0.04463914,0.026357811,-41.0,↓,0.329004,NS,21/30,6,5,0.9705546930693069
Liver,NCAM1,CD8_T,IA→AR,IA,AR,0.026357811,0.033338558,26.5,↑,0.571429,NS,10/15,5,3,1.0
