tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,ACTA2,PlasmaB,NL→CR,NL,CR,0.0035656616,0.019729313,453.2999877929688,↑,0.203092,NS,12/18,6,3,0.6800340350877193
Liver,ACTA2,PlasmaB,IT→IA,IT,IA,0.012859444,0.040134512,212.1000061035156,↑,1.0,NS,10/25,5,5,1.0
Liver,ACTA2,PlasmaB,IA→AR,IA,AR,0.040134512,0.0,-100.0,↓,0.329114,NS,6/15,5,3,1.0
Liver,ACTA2,PlasmaB,CR→AR,CR,AR,0.019729313,0.0,-100.0,↓,0.196706,NS,6/9,3,3,1.0
Liver,AIM2,Myeloid,NL→IT,NL,IT,0.025393816,0.057570565,126.6999969482422,↑,0.192225,NS,25/36,6,6,0.526838888888889
Liver,AIM2,Myeloid,NL→IA,NL,IA,0.025393816,0.051514167,102.9000015258789,↑,0.773938,NS,14/30,6,5,1.0
Liver,AIM2,Myeloid,NL→AR,NL,AR,0.025393816,0.0403152,58.79999923706055,↑,0.787406,NS,9/18,6,3,1.0
Liver,AIM2,Myeloid,NL→CR,NL,CR,0.025393816,0.0829823,226.8000030517578,↑,0.048885,*,17/18,6,3,0.4794275
Liver,AIM2,Myeloid,IT→IA,IT,IA,0.057570565,0.051514167,-10.5,↓,0.645055,NS,17/30,6,5,0.942557923076923
Liver,AIM2,Myeloid,IA→AR,IA,AR,0.051514167,0.0403152,-21.700000762939453,↓,1.0,NS,7/15,5,3,1.0
Liver,AIM2,Myeloid,CR→AR,CR,AR,0.0829823,0.0403152,-51.400001525878906,↓,0.4,NS,7/9,3,3,1.0
Liver,AIM2,CD4_T,NL→IT,NL,IT,0.030157225,0.041948438,39.09999847412109,↑,0.468042,NS,22/36,6,6,0.8062640898876405
Liver,AIM2,CD4_T,NL→IA,NL,IA,0.030157225,0.04804571,59.29999923706055,↑,0.3142,NS,21/30,6,5,0.64923456
Liver,AIM2,CD4_T,NL→AR,NL,AR,0.030157225,0.042802338,41.900001525878906,↑,0.516853,NS,12/18,6,3,0.9424140930232558
Liver,AIM2,CD4_T,NL→CR,NL,CR,0.030157225,0.049729276,64.9000015258789,↑,0.516853,NS,12/18,6,3,1.0
Liver,AIM2,CD4_T,IT→IA,IT,IA,0.041948438,0.04804571,14.5,↑,0.792208,NS,17/30,6,5,1.0
Liver,AIM2,CD4_T,IA→AR,IA,AR,0.04804571,0.042802338,-10.899999618530272,↓,0.392857,NS,11/15,5,3,1.0
Liver,AIM2,CD4_T,CR→AR,CR,AR,0.049729276,0.042802338,-13.899999618530272,↓,1.0,NS,5/9,3,3,1.0
Liver,AIM2,CD8_T,NL→IT,NL,IT,0.040140986,0.042196374,5.099999904632568,↑,1.0,NS,18/36,6,6,1.0
Liver,AIM2,CD8_T,NL→IA,NL,IA,0.040140986,0.06255761,55.79999923706055,↑,0.177489,NS,23/30,6,5,0.5710515652173913
Liver,AIM2,CD8_T,NL→AR,NL,AR,0.040140986,0.043159425,7.5,↑,0.714286,NS,11/18,6,3,0.9273186666666666
Liver,AIM2,CD8_T,NL→CR,NL,CR,0.040140986,0.049334895,22.89999961853028,↑,0.904762,NS,10/18,6,3,1.0
Liver,AIM2,CD8_T,IT→IA,IT,IA,0.042196374,0.06255761,48.29999923706055,↑,0.246753,NS,22/30,6,5,0.9705546930693069
Liver,AIM2,CD8_T,IA→AR,IA,AR,0.06255761,0.043159425,-31.0,↓,0.25,NS,12/15,5,3,1.0
Liver,AIM2,CD8_T,CR→AR,CR,AR,0.049334895,0.043159425,-12.5,↓,1.0,NS,4/9,3,3,1.0
Liver,AIM2,NK,NL→IT,NL,IT,0.012678401,0.013200599,4.099999904632568,↑,1.0,NS,18/36,6,6,1.0
Liver,AIM2,NK,NL→IA,NL,IA,0.012678401,0.018768612,48.0,↑,0.272229,NS,21/30,6,5,0.9156793636363636
Liver,AIM2,NK,NL→AR,NL,AR,0.012678401,0.025807342,103.5999984741211,↑,0.166667,NS,15/18,6,3,0.8415059104477612
Liver,AIM2,NK,NL→CR,NL,CR,0.012678401,0.012559771,-0.8999999761581421,↓,1.0,NS,9/18,6,3,1.0
