tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,CD4_T,antigen_presentation,NL→IA,NL,IA,0.286534,0.279758,-2.4,↓,1.0,NS,10/20,5,4
Blood,CD4_T,antigen_presentation,NL→AR,NL,AR,0.286534,0.24435,-14.7,↓,0.785714,NS,6/15,5,3
Blood,CD4_T,antigen_presentation,NL→CR,NL,CR,0.286534,0.268991,-6.1,↓,0.785714,NS,6/15,5,3
Blood,CD4_T,antigen_presentation,IT→IA,IT,IA,0.243236,0.279758,15.0,↑,0.555556,NS,13/20,5,4
Blood,CD4_T,antigen_presentation,IA→AR,IA,AR,0.279758,0.24435,-12.7,↓,0.4,NS,9/12,4,3
Blood,CD4_T,antigen_presentation,CR→AR,CR,AR,0.268991,0.24435,-9.2,↓,0.1,NS,9/9,3,3
Blood,CD8_T,antigen_presentation,NL→IT,NL,IT,0.352817,0.29177,-17.3,↓,0.84127,NS,14/25,5,5
Blood,CD8_T,antigen_presentation,NL→IA,NL,IA,0.352817,0.36228,2.7,↑,0.904762,NS,11/20,5,4
Blood,CD8_T,antigen_presentation,NL→AR,NL,AR,0.352817,0.333208,-5.6,↓,1.0,NS,8/15,5,3
Blood,CD8_T,antigen_presentation,NL→CR,NL,CR,0.352817,0.326808,-7.4,↓,1.0,NS,7/15,5,3
Blood,CD8_T,antigen_presentation,IT→IA,IT,IA,0.29177,0.36228,24.2,↑,0.412698,NS,14/20,5,4
Blood,CD8_T,antigen_presentation,IA→AR,IA,AR,0.36228,0.333208,-8.0,↓,0.857143,NS,7/12,4,3
Blood,CD8_T,antigen_presentation,CR→AR,CR,AR,0.326808,0.333208,2.0,↑,0.7,NS,3/9,3,3
Blood,NK,antigen_presentation,NL→IT,NL,IT,0.352281,0.351965,-0.1,↓,0.84127,NS,11/25,5,5
Blood,NK,antigen_presentation,NL→IA,NL,IA,0.352281,0.355974,1.0,↑,0.730159,NS,12/20,5,4
Blood,NK,antigen_presentation,NL→AR,NL,AR,0.352281,0.363462,3.2,↑,0.785714,NS,9/15,5,3
Blood,NK,antigen_presentation,NL→CR,NL,CR,0.352281,0.376945,7.0,↑,0.785714,NS,9/15,5,3
Blood,NK,antigen_presentation,IT→IA,IT,IA,0.351965,0.355974,1.1,↑,0.555556,NS,13/20,5,4
