tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,Myeloid,checkpoint,NL→CR,NL,CR,0.018195,0.00729,-59.9,↓,0.4,NS,9/12,4,3
Blood,Myeloid,checkpoint,IT→IA,IT,IA,0.005745,0.009897,72.3,↑,1.0,NS,10/20,5,4
Blood,Myeloid,checkpoint,IA→AR,IA,AR,0.009897,0.005801,-41.4,↓,1.0,NS,6/12,4,3
Blood,Myeloid,checkpoint,CR→AR,CR,AR,0.00729,0.005801,-20.4,↓,0.7,NS,6/9,3,3
Blood,CD4_T,checkpoint,NL→IT,NL,IT,0.068567,0.027025,-60.6,↓,0.055556,†,22/25,5,5
Blood,CD4_T,checkpoint,NL→IA,NL,IA,0.068567,0.045915,-33.0,↓,0.412698,NS,14/20,5,4
Blood,CD4_T,checkpoint,NL→AR,NL,AR,0.068567,0.024184,-64.7,↓,0.142857,NS,13/15,5,3
Blood,CD4_T,checkpoint,NL→CR,NL,CR,0.068567,0.02472,-63.9,↓,0.071429,†,14/15,5,3
Blood,CD4_T,checkpoint,IT→IA,IT,IA,0.027025,0.045915,69.9,↑,0.904762,NS,11/20,5,4
Blood,CD4_T,checkpoint,IA→AR,IA,AR,0.045915,0.024184,-47.3,↓,0.857143,NS,5/12,4,3
Blood,CD4_T,checkpoint,CR→AR,CR,AR,0.02472,0.024184,-2.2,↓,1.0,NS,5/9,3,3
Blood,CD8_T,checkpoint,NL→IT,NL,IT,0.077534,0.037587,-51.5,↓,0.031746,*,23/25,5,5
Blood,CD8_T,checkpoint,NL→IA,NL,IA,0.077534,0.081072,4.6,↑,0.412698,NS,6/20,5,4
Blood,CD8_T,checkpoint,NL→AR,NL,AR,0.077534,0.046567,-39.9,↓,0.142857,NS,13/15,5,3
Blood,CD8_T,checkpoint,NL→CR,NL,CR,0.077534,0.028118,-63.7,↓,0.035714,*,15/15,5,3
Blood,CD8_T,checkpoint,IT→IA,IT,IA,0.037587,0.081072,115.7,↑,1.0,NS,10/20,5,4
Blood,CD8_T,checkpoint,IA→AR,IA,AR,0.081072,0.046567,-42.6,↓,1.0,NS,6/12,4,3
Blood,CD8_T,checkpoint,CR→AR,CR,AR,0.028118,0.046567,65.6,↑,0.1,NS,9/9,3,3
Blood,NK,checkpoint,NL→IT,NL,IT,0.081634,0.055766,-31.7,↓,0.015873,*,24/25,5,5
Blood,NK,checkpoint,NL→IA,NL,IA,0.081634,0.056695,-30.6,↓,0.063492,†,18/20,5,4
Blood,NK,checkpoint,NL→AR,NL,AR,0.081634,0.049252,-39.7,↓,0.035714,*,15/15,5,3
Blood,NK,checkpoint,NL→CR,NL,CR,0.081634,0.048586,-40.5,↓,0.071429,†,14/15,5,3
Blood,NK,checkpoint,IT→IA,IT,IA,0.055766,0.056695,1.7,↑,0.904762,NS,9/20,5,4
Blood,NK,checkpoint,IA→AR,IA,AR,0.056695,0.049252,-13.1,↓,1.0,NS,6/12,4,3
Blood,NK,checkpoint,CR→AR,CR,AR,0.048586,0.049252,1.4,↑,0.7,NS,6/9,3,3
Blood,B,checkpoint,NL→IT,NL,IT,0.036398,0.007987,-78.1,↓,0.031746,*,23/25,5,5
Blood,B,checkpoint,NL→IA,NL,IA,0.036398,0.01217,-66.6,↓,0.111111,NS,17/20,5,4
Blood,B,checkpoint,NL→AR,NL,AR,0.036398,0.006018,-83.5,↓,0.035714,*,15/15,5,3
Blood,B,checkpoint,NL→CR,NL,CR,0.036398,0.009399,-74.2,↓,0.142857,NS,13/15,5,3
Blood,B,checkpoint,IT→IA,IT,IA,0.007987,0.01217,52.4,↑,0.285714,NS,15/20,5,4
Blood,B,checkpoint,IA→AR,IA,AR,0.01217,0.006018,-50.5,↓,0.228571,NS,10/12,4,3
Blood,B,checkpoint,CR→AR,CR,AR,0.009399,0.006018,-36.0,↓,0.4,NS,7/9,3,3
Blood,PlasmaB,checkpoint,NL→IT,NL,IT,5.5e-05,0.004963,9004.6,↑,0.263552,NS,15/25,5,5
Blood,PlasmaB,checkpoint,NL→IA,NL,IA,5.5e-05,0.008509,15509.9,↑,0.017451,*,20/20,5,4
Blood,PlasmaB,checkpoint,NL→AR,NL,AR,5.5e-05,0.001113,1941.7,↑,1.0,NS,5/15,5,3
Blood,PlasmaB,checkpoint,NL→CR,NL,CR,5.5e-05,0.013793,25204.0,↑,0.031395,*,15/15,5,3
Blood,PlasmaB,checkpoint,IT→IA,IT,IA,0.004963,0.008509,71.5,↑,0.268341,NS,15/20,5,4
Blood,PlasmaB,checkpoint,IA→AR,IA,AR,0.008509,0.001113,-86.9,↓,0.108408,NS,11/12,4,3
Blood,PlasmaB,checkpoint,CR→AR,CR,AR,0.013793,0.001113,-91.9,↓,0.076523,†,9/9,3,3
Blood,Myeloid,cytotoxicity,NL→IT,NL,IT,0.011397,0.004029,-64.6,↓,0.031746,*,19/20,4,5
Blood,Myeloid,cytotoxicity,NL→IA,NL,IA,0.011397,0.004942,-56.6,↓,0.028571,*,16/16,4,4
Blood,Myeloid,cytotoxicity,NL→AR,NL,AR,0.011397,0.005347,-53.1,↓,0.114286,NS,11/12,4,3
Blood,Myeloid,cytotoxicity,NL→CR,NL,CR,0.011397,0.005611,-50.8,↓,0.057143,†,12/12,4,3
Blood,Myeloid,cytotoxicity,IT→IA,IT,IA,0.004029,0.004942,22.7,↑,0.412698,NS,14/20,5,4
Blood,Myeloid,cytotoxicity,IA→AR,IA,AR,0.004942,0.005347,8.2,↑,0.628571,NS,8/12,4,3
Blood,Myeloid,cytotoxicity,CR→AR,CR,AR,0.005611,0.005347,-4.7,↓,1.0,NS,5/9,3,3
Blood,CD4_T,cytotoxicity,NL→IT,NL,IT,0.136274,0.076833,-43.6,↓,0.690476,NS,15/25,5,5
Blood,CD4_T,cytotoxicity,NL→IA,NL,IA,0.136274,0.119215,-12.5,↓,1.0,NS,10/20,5,4
Blood,CD4_T,cytotoxicity,NL→AR,NL,AR,0.136274,0.059673,-56.2,↓,0.392857,NS,11/15,5,3
Blood,CD4_T,cytotoxicity,NL→CR,NL,CR,0.136274,0.059252,-56.5,↓,0.392857,NS,11/15,5,3
Blood,CD4_T,cytotoxicity,IT→IA,IT,IA,0.076833,0.119215,55.2,↑,0.555556,NS,13/20,5,4
Blood,CD4_T,cytotoxicity,IA→AR,IA,AR,0.119215,0.059673,-49.9,↓,0.4,NS,9/12,4,3
Blood,CD4_T,cytotoxicity,CR→AR,CR,AR,0.059252,0.059673,0.7,↑,1.0,NS,4/9,3,3
Blood,CD8_T,cytotoxicity,NL→IT,NL,IT,0.258674,0.208545,-19.4,↓,0.690476,NS,15/25,5,5
Blood,CD8_T,cytotoxicity,NL→IA,NL,IA,0.258674,0.272465,5.3,↑,0.730159,NS,12/20,5,4
Blood,CD8_T,cytotoxicity,NL→AR,NL,AR,0.258674,0.314602,21.6,↑,0.392857,NS,11/15,5,3
Blood,CD8_T,cytotoxicity,NL→CR,NL,CR,0.258674,0.202506,-21.7,↓,1.0,NS,8/15,5,3
Blood,CD8_T,cytotoxicity,IT→IA,IT,IA,0.208545,0.272465,30.7,↑,0.555556,NS,13/20,5,4
Blood,CD8_T,cytotoxicity,IA→AR,IA,AR,0.272465,0.314602,15.5,↑,1.0,NS,6/12,4,3
Blood,CD8_T,cytotoxicity,CR→AR,CR,AR,0.202506,0.314602,55.4,↑,0.2,NS,8/9,3,3
Blood,NK,cytotoxicity,NL→IT,NL,IT,0.605604,0.645632,6.6,↑,0.309524,NS,18/25,5,5
Blood,NK,cytotoxicity,NL→IA,NL,IA,0.605604,0.624917,3.2,↑,0.555556,NS,13/20,5,4
Blood,NK,cytotoxicity,NL→AR,NL,AR,0.605604,0.634297,4.7,↑,0.571429,NS,10/15,5,3
Blood,NK,cytotoxicity,NL→CR,NL,CR,0.605604,0.567753,-6.3,↓,0.571429,NS,10/15,5,3
Blood,NK,cytotoxicity,IT→IA,IT,IA,0.645632,0.624917,-3.2,↓,0.412698,NS,14/20,5,4
Blood,NK,cytotoxicity,IA→AR,IA,AR,0.624917,0.634297,1.5,↑,0.857143,NS,5/12,4,3
Blood,NK,cytotoxicity,CR→AR,CR,AR,0.567753,0.634297,11.7,↑,0.1,NS,9/9,3,3
Blood,B,cytotoxicity,NL→IT,NL,IT,0.007409,0.004865,-34.3,↓,1.0,NS,13/25,5,5
Blood,B,cytotoxicity,NL→IA,NL,IA,0.007409,0.005966,-19.5,↓,1.0,NS,10/20,5,4
Blood,B,cytotoxicity,NL→AR,NL,AR,0.007409,0.006814,-8.0,↓,1.0,NS,7/15,5,3
Blood,B,cytotoxicity,NL→CR,NL,CR,0.007409,0.00425,-42.6,↓,0.764228,NS,9/15,5,3
Blood,B,cytotoxicity,IT→IA,IT,IA,0.004865,0.005966,22.6,↑,0.730159,NS,12/20,5,4
Blood,B,cytotoxicity,IA→AR,IA,AR,0.005966,0.006814,14.2,↑,0.857143,NS,5/12,4,3
Blood,B,cytotoxicity,CR→AR,CR,AR,0.00425,0.006814,60.3,↑,1.0,NS,5/9,3,3
Blood,PlasmaB,cytotoxicity,NL→IT,NL,IT,0.017412,0.076292,338.2,↑,0.036145,*,23/25,5,5
Blood,PlasmaB,cytotoxicity,NL→IA,NL,IA,0.017412,0.066713,283.1,↑,0.065064,†,18/20,5,4
Blood,PlasmaB,cytotoxicity,NL→AR,NL,AR,0.017412,0.018207,4.6,↑,0.548595,NS,10/15,5,3
Blood,PlasmaB,cytotoxicity,NL→CR,NL,CR,0.017412,0.040133,130.5,↑,0.230243,NS,12/15,5,3
Blood,PlasmaB,cytotoxicity,IT→IA,IT,IA,0.076292,0.066713,-12.6,↓,0.730159,NS,12/20,5,4
Blood,PlasmaB,cytotoxicity,IA→AR,IA,AR,0.066713,0.018207,-72.7,↓,0.114286,NS,11/12,4,3
Blood,PlasmaB,cytotoxicity,CR→AR,CR,AR,0.040133,0.018207,-54.6,↓,0.2,NS,8/9,3,3
Blood,Myeloid,epigenetics,NL→IT,NL,IT,0.02623,0.035853,36.7,↑,0.015873,*,20/20,4,5
Blood,Myeloid,epigenetics,NL→IA,NL,IA,0.02623,0.036944,40.8,↑,0.028571,*,16/16,4,4
Blood,Myeloid,epigenetics,NL→AR,NL,AR,0.02623,0.038107,45.3,↑,0.4,NS,9/12,4,3
Blood,Myeloid,epigenetics,NL→CR,NL,CR,0.02623,0.0403,53.6,↑,0.057143,†,12/12,4,3
Blood,Myeloid,epigenetics,IT→IA,IT,IA,0.035853,0.036944,3.0,↑,0.904762,NS,9/20,5,4
Blood,Myeloid,epigenetics,IA→AR,IA,AR,0.036944,0.038107,3.1,↑,0.857143,NS,7/12,4,3
Blood,Myeloid,epigenetics,CR→AR,CR,AR,0.0403,0.038107,-5.4,↓,1.0,NS,5/9,3,3
Blood,CD4_T,epigenetics,NL→IT,NL,IT,0.045365,0.047815,5.4,↑,0.84127,NS,14/25,5,5
Blood,CD4_T,epigenetics,NL→IA,NL,IA,0.045365,0.046295,2.0,↑,1.0,NS,10/20,5,4
Blood,CD4_T,epigenetics,NL→AR,NL,AR,0.045365,0.050071,10.4,↑,0.785714,NS,9/15,5,3
Blood,CD4_T,epigenetics,NL→CR,NL,CR,0.045365,0.045269,-0.2,↓,1.0,NS,8/15,5,3
Blood,CD4_T,epigenetics,IT→IA,IT,IA,0.047815,0.046295,-3.2,↓,0.904762,NS,9/20,5,4
Blood,CD4_T,epigenetics,IA→AR,IA,AR,0.046295,0.050071,8.2,↑,0.857143,NS,7/12,4,3
Blood,CD4_T,epigenetics,CR→AR,CR,AR,0.045269,0.050071,10.6,↑,0.4,NS,7/9,3,3
Blood,CD8_T,epigenetics,NL→IT,NL,IT,0.039026,0.047853,22.6,↑,0.547619,NS,16/25,5,5
Blood,CD8_T,epigenetics,NL→IA,NL,IA,0.039026,0.046144,18.2,↑,0.730159,NS,12/20,5,4
Blood,CD8_T,epigenetics,NL→AR,NL,AR,0.039026,0.045246,15.9,↑,1.0,NS,8/15,5,3
Blood,CD8_T,epigenetics,NL→CR,NL,CR,0.039026,0.050696,29.9,↑,0.571429,NS,10/15,5,3
Blood,CD8_T,epigenetics,IT→IA,IT,IA,0.047853,0.046144,-3.6,↓,0.730159,NS,12/20,5,4
Blood,CD8_T,epigenetics,IA→AR,IA,AR,0.046144,0.045246,-1.9,↓,0.857143,NS,7/12,4,3
Blood,CD8_T,epigenetics,CR→AR,CR,AR,0.050696,0.045246,-10.8,↓,0.4,NS,7/9,3,3
Blood,NK,epigenetics,NL→IT,NL,IT,0.038813,0.044319,14.2,↑,0.309524,NS,18/25,5,5
Blood,NK,epigenetics,NL→IA,NL,IA,0.038813,0.044619,15.0,↑,0.555556,NS,13/20,5,4
Blood,NK,epigenetics,NL→AR,NL,AR,0.038813,0.045809,18.0,↑,0.392857,NS,11/15,5,3
Blood,NK,epigenetics,NL→CR,NL,CR,0.038813,0.045201,16.5,↑,0.142857,NS,13/15,5,3
Blood,NK,epigenetics,IT→IA,IT,IA,0.044319,0.044619,0.7,↑,1.0,NS,10/20,5,4
Blood,NK,epigenetics,IA→AR,IA,AR,0.044619,0.045809,2.7,↑,1.0,NS,6/12,4,3
Blood,NK,epigenetics,CR→AR,CR,AR,0.045201,0.045809,1.3,↑,1.0,NS,4/9,3,3
Blood,B,epigenetics,NL→IT,NL,IT,0.030236,0.043157,42.7,↑,0.834035,NS,14/25,5,5
Blood,B,epigenetics,NL→IA,NL,IA,0.030236,0.046906,55.1,↑,0.712155,NS,12/20,5,4
Blood,B,epigenetics,NL→AR,NL,AR,0.030236,0.048677,61.0,↑,0.764228,NS,9/15,5,3
Blood,B,epigenetics,NL→CR,NL,CR,0.030236,0.051041,68.8,↑,0.368227,NS,11/15,5,3
Blood,B,epigenetics,IT→IA,IT,IA,0.043157,0.046906,8.7,↑,0.730159,NS,12/20,5,4
Blood,B,epigenetics,IA→AR,IA,AR,0.046906,0.048677,3.8,↑,1.0,NS,6/12,4,3
Blood,B,epigenetics,CR→AR,CR,AR,0.051041,0.048677,-4.6,↓,0.7,NS,6/9,3,3
Blood,PlasmaB,epigenetics,NL→IT,NL,IT,0.030917,0.029059,-6.0,↓,0.84127,NS,11/25,5,5
Blood,PlasmaB,epigenetics,NL→IA,NL,IA,0.030917,0.033345,7.9,↑,0.730159,NS,12/20,5,4
Blood,PlasmaB,epigenetics,NL→AR,NL,AR,0.030917,0.013927,-55.0,↓,0.652783,NS,9/15,5,3
Blood,PlasmaB,epigenetics,NL→CR,NL,CR,0.030917,0.036309,17.4,↑,0.392857,NS,11/15,5,3
Blood,PlasmaB,epigenetics,IT→IA,IT,IA,0.029059,0.033345,14.8,↑,1.0,NS,10/20,5,4
Blood,PlasmaB,epigenetics,IA→AR,IA,AR,0.033345,0.013927,-58.2,↓,0.4,NS,9/12,4,3
Blood,PlasmaB,epigenetics,CR→AR,CR,AR,0.036309,0.013927,-61.6,↓,0.2,NS,8/9,3,3
Blood,Myeloid,exhaustion,NL→IT,NL,IT,0.025726,0.01209,-53.0,↓,0.285714,NS,15/20,4,5
Blood,Myeloid,exhaustion,NL→IA,NL,IA,0.025726,0.021219,-17.5,↓,0.885714,NS,9/16,4,4
Blood,Myeloid,exhaustion,NL→AR,NL,AR,0.025726,0.012076,-53.1,↓,0.4,NS,9/12,4,3
Blood,Myeloid,exhaustion,NL→CR,NL,CR,0.025726,0.017002,-33.9,↓,0.4,NS,9/12,4,3
Blood,Myeloid,exhaustion,IT→IA,IT,IA,0.01209,0.021219,75.5,↑,0.555556,NS,13/20,5,4
Blood,Myeloid,exhaustion,IA→AR,IA,AR,0.021219,0.012076,-43.1,↓,0.628571,NS,8/12,4,3
Blood,Myeloid,exhaustion,CR→AR,CR,AR,0.017002,0.012076,-29.0,↓,0.1,NS,9/9,3,3
Blood,CD4_T,exhaustion,NL→IT,NL,IT,0.06599,0.025531,-61.3,↓,0.055556,†,22/25,5,5
Blood,CD4_T,exhaustion,NL→IA,NL,IA,0.06599,0.043932,-33.4,↓,0.412698,NS,14/20,5,4
Blood,CD4_T,exhaustion,NL→AR,NL,AR,0.06599,0.022448,-66.0,↓,0.142857,NS,13/15,5,3
Blood,CD4_T,exhaustion,NL→CR,NL,CR,0.06599,0.022457,-66.0,↓,0.071429,†,14/15,5,3
Blood,CD4_T,exhaustion,IT→IA,IT,IA,0.025531,0.043932,72.1,↑,0.904762,NS,11/20,5,4
Blood,CD4_T,exhaustion,IA→AR,IA,AR,0.043932,0.022448,-48.9,↓,0.857143,NS,7/12,4,3
Blood,CD4_T,exhaustion,CR→AR,CR,AR,0.022457,0.022448,-0.0,↓,1.0,NS,4/9,3,3
Blood,CD8_T,exhaustion,NL→IT,NL,IT,0.072514,0.036646,-49.5,↓,0.055556,†,22/25,5,5
Blood,CD8_T,exhaustion,NL→IA,NL,IA,0.072514,0.079198,9.2,↑,0.555556,NS,7/20,5,4
Blood,CD8_T,exhaustion,NL→AR,NL,AR,0.072514,0.04617,-36.3,↓,0.25,NS,12/15,5,3
Blood,CD8_T,exhaustion,NL→CR,NL,CR,0.072514,0.027733,-61.8,↓,0.035714,*,15/15,5,3
Blood,CD8_T,exhaustion,IT→IA,IT,IA,0.036646,0.079198,116.1,↑,0.904762,NS,11/20,5,4
Blood,CD8_T,exhaustion,IA→AR,IA,AR,0.079198,0.04617,-41.7,↓,1.0,NS,6/12,4,3
Blood,CD8_T,exhaustion,CR→AR,CR,AR,0.027733,0.04617,66.5,↑,0.1,NS,9/9,3,3
Blood,NK,exhaustion,NL→IT,NL,IT,0.0807,0.055547,-31.2,↓,0.015873,*,24/25,5,5
Blood,NK,exhaustion,NL→IA,NL,IA,0.0807,0.056727,-29.7,↓,0.111111,NS,17/20,5,4
Blood,NK,exhaustion,NL→AR,NL,AR,0.0807,0.049066,-39.2,↓,0.035714,*,15/15,5,3
Blood,NK,exhaustion,NL→CR,NL,CR,0.0807,0.049112,-39.1,↓,0.071429,†,14/15,5,3
Blood,NK,exhaustion,IT→IA,IT,IA,0.055547,0.056727,2.1,↑,0.904762,NS,9/20,5,4
Blood,NK,exhaustion,IA→AR,IA,AR,0.056727,0.049066,-13.5,↓,1.0,NS,6/12,4,3
Blood,NK,exhaustion,CR→AR,CR,AR,0.049112,0.049066,-0.1,↓,0.7,NS,3/9,3,3
Blood,B,exhaustion,NL→IT,NL,IT,0.040859,0.015073,-63.1,↓,0.031746,*,23/25,5,5
Blood,B,exhaustion,NL→IA,NL,IA,0.040859,0.019584,-52.1,↓,0.190476,NS,16/20,5,4
Blood,B,exhaustion,NL→AR,NL,AR,0.040859,0.01022,-75.0,↓,0.035714,*,15/15,5,3
Blood,B,exhaustion,NL→CR,NL,CR,0.040859,0.014241,-65.1,↓,0.035714,*,15/15,5,3
Blood,B,exhaustion,IT→IA,IT,IA,0.015073,0.019584,29.9,↑,0.730159,NS,12/20,5,4
Blood,B,exhaustion,IA→AR,IA,AR,0.019584,0.01022,-47.8,↓,0.4,NS,9/12,4,3
Blood,B,exhaustion,CR→AR,CR,AR,0.014241,0.01022,-28.2,↓,0.4,NS,7/9,3,3
Blood,PlasmaB,exhaustion,NL→IT,NL,IT,0.032376,0.008812,-72.8,↓,0.66643,NS,13/25,5,5
Blood,PlasmaB,exhaustion,NL→IA,NL,IA,0.032376,0.008838,-72.7,↓,0.712155,NS,12/20,5,4
Blood,PlasmaB,exhaustion,NL→AR,NL,AR,0.032376,0.015595,-51.8,↓,1.0,NS,7/15,5,3
Blood,PlasmaB,exhaustion,NL→CR,NL,CR,0.032376,0.017241,-46.7,↓,0.764228,NS,6/15,5,3
Blood,PlasmaB,exhaustion,IT→IA,IT,IA,0.008812,0.008838,0.3,↑,0.902117,NS,11/20,5,4
Blood,PlasmaB,exhaustion,IA→AR,IA,AR,0.008838,0.015595,76.5,↑,0.857143,NS,7/12,4,3
Blood,PlasmaB,exhaustion,CR→AR,CR,AR,0.017241,0.015595,-9.5,↓,0.7,NS,6/9,3,3
Blood,Myeloid,fibrosis,NL→IT,NL,IT,0.07563,0.082246,8.7,↑,0.555556,NS,13/20,4,5
Blood,Myeloid,fibrosis,NL→IA,NL,IA,0.07563,0.097478,28.9,↑,0.342857,NS,12/16,4,4
Blood,Myeloid,fibrosis,NL→AR,NL,AR,0.07563,0.078977,4.4,↑,0.857143,NS,7/12,4,3
Blood,Myeloid,fibrosis,NL→CR,NL,CR,0.07563,0.070935,-6.2,↓,0.628571,NS,8/12,4,3
Blood,Myeloid,fibrosis,IT→IA,IT,IA,0.082246,0.097478,18.5,↑,0.555556,NS,13/20,5,4
Blood,Myeloid,fibrosis,IA→AR,IA,AR,0.097478,0.078977,-19.0,↓,0.628571,NS,8/12,4,3
Blood,Myeloid,fibrosis,CR→AR,CR,AR,0.070935,0.078977,11.3,↑,0.7,NS,6/9,3,3
Blood,CD4_T,fibrosis,NL→IT,NL,IT,0.037012,0.028441,-23.2,↓,0.420635,NS,17/25,5,5
Blood,CD4_T,fibrosis,NL→IA,NL,IA,0.037012,0.04508,21.8,↑,0.555556,NS,13/20,5,4
Blood,CD4_T,fibrosis,NL→AR,NL,AR,0.037012,0.028206,-23.8,↓,0.392857,NS,11/15,5,3
Blood,CD4_T,fibrosis,NL→CR,NL,CR,0.037012,0.024287,-34.4,↓,0.25,NS,12/15,5,3
Blood,CD4_T,fibrosis,IT→IA,IT,IA,0.028441,0.04508,58.5,↑,0.111111,NS,17/20,5,4
Blood,CD4_T,fibrosis,IA→AR,IA,AR,0.04508,0.028206,-37.4,↓,0.4,NS,9/12,4,3
Blood,CD4_T,fibrosis,CR→AR,CR,AR,0.024287,0.028206,16.1,↑,0.7,NS,3/9,3,3
Blood,CD8_T,fibrosis,NL→IT,NL,IT,0.029385,0.027812,-5.4,↓,0.84127,NS,14/25,5,5
Blood,CD8_T,fibrosis,NL→IA,NL,IA,0.029385,0.046358,57.8,↑,0.063492,†,18/20,5,4
Blood,CD8_T,fibrosis,NL→AR,NL,AR,0.029385,0.031679,7.8,↑,1.0,NS,7/15,5,3
Blood,CD8_T,fibrosis,NL→CR,NL,CR,0.029385,0.019681,-33.0,↓,0.25,NS,12/15,5,3
Blood,CD8_T,fibrosis,IT→IA,IT,IA,0.027812,0.046358,66.7,↑,0.111111,NS,17/20,5,4
Blood,CD8_T,fibrosis,IA→AR,IA,AR,0.046358,0.031679,-31.7,↓,0.4,NS,9/12,4,3
Blood,CD8_T,fibrosis,CR→AR,CR,AR,0.019681,0.031679,61.0,↑,0.4,NS,7/9,3,3
Blood,NK,fibrosis,NL→IT,NL,IT,0.041812,0.048222,15.3,↑,0.420635,NS,17/25,5,5
Blood,NK,fibrosis,NL→IA,NL,IA,0.041812,0.07169,71.5,↑,0.015873,*,20/20,5,4
Blood,NK,fibrosis,NL→AR,NL,AR,0.041812,0.05052,20.8,↑,0.785714,NS,9/15,5,3
Blood,NK,fibrosis,NL→CR,NL,CR,0.041812,0.031959,-23.6,↓,0.25,NS,12/15,5,3
Blood,NK,fibrosis,IT→IA,IT,IA,0.048222,0.07169,48.7,↑,0.015873,*,20/20,5,4
Blood,NK,fibrosis,IA→AR,IA,AR,0.07169,0.05052,-29.5,↓,0.4,NS,9/12,4,3
Blood,NK,fibrosis,CR→AR,CR,AR,0.031959,0.05052,58.1,↑,0.4,NS,7/9,3,3
Blood,B,fibrosis,NL→IT,NL,IT,0.012143,0.01262,3.9,↑,1.0,NS,12/25,5,5
Blood,B,fibrosis,NL→IA,NL,IA,0.012143,0.022887,88.5,↑,0.176098,NS,16/20,5,4
Blood,B,fibrosis,NL→AR,NL,AR,0.012143,0.013219,8.9,↑,0.764228,NS,9/15,5,3
Blood,B,fibrosis,NL→CR,NL,CR,0.012143,0.007816,-35.6,↓,0.764228,NS,9/15,5,3
Blood,B,fibrosis,IT→IA,IT,IA,0.01262,0.022887,81.4,↑,0.063492,†,18/20,5,4
Blood,B,fibrosis,IA→AR,IA,AR,0.022887,0.013219,-42.2,↓,0.4,NS,9/12,4,3
Blood,B,fibrosis,CR→AR,CR,AR,0.007816,0.013219,69.1,↑,1.0,NS,5/9,3,3
Blood,PlasmaB,fibrosis,NL→IT,NL,IT,0.012152,0.01006,-17.2,↓,0.829357,NS,12/25,5,5
Blood,PlasmaB,fibrosis,NL→IA,NL,IA,0.012152,0.026435,117.5,↑,0.268341,NS,15/20,5,4
Blood,PlasmaB,fibrosis,NL→AR,NL,AR,0.012152,0.007853,-35.4,↓,0.764228,NS,6/15,5,3
Blood,PlasmaB,fibrosis,NL→CR,NL,CR,0.012152,0.012112,-0.3,↓,1.0,NS,7/15,5,3
Blood,PlasmaB,fibrosis,IT→IA,IT,IA,0.01006,0.026435,162.8,↑,0.176098,NS,16/20,5,4
Blood,PlasmaB,fibrosis,IA→AR,IA,AR,0.026435,0.007853,-70.3,↓,0.4,NS,9/12,4,3
Blood,PlasmaB,fibrosis,CR→AR,CR,AR,0.012112,0.007853,-35.2,↓,1.0,NS,5/9,3,3
Blood,Myeloid,glycolysis,NL→IT,NL,IT,0.322338,0.302117,-6.3,↓,0.412698,NS,14/20,4,5
Blood,Myeloid,glycolysis,NL→IA,NL,IA,0.322338,0.310737,-3.6,↓,0.685714,NS,10/16,4,4
Blood,Myeloid,glycolysis,NL→AR,NL,AR,0.322338,0.306042,-5.1,↓,0.857143,NS,7/12,4,3
Blood,Myeloid,glycolysis,NL→CR,NL,CR,0.322338,0.310978,-3.5,↓,0.857143,NS,7/12,4,3
Blood,Myeloid,glycolysis,IT→IA,IT,IA,0.302117,0.310737,2.9,↑,0.555556,NS,13/20,5,4
Blood,Myeloid,glycolysis,IA→AR,IA,AR,0.310737,0.306042,-1.5,↓,0.4,NS,9/12,4,3
Blood,Myeloid,glycolysis,CR→AR,CR,AR,0.310978,0.306042,-1.6,↓,0.7,NS,6/9,3,3
Blood,CD4_T,glycolysis,NL→IT,NL,IT,0.249817,0.247109,-1.1,↓,1.0,NS,12/25,5,5
Blood,CD4_T,glycolysis,NL→IA,NL,IA,0.249817,0.265348,6.2,↑,0.730159,NS,12/20,5,4
Blood,CD4_T,glycolysis,NL→AR,NL,AR,0.249817,0.254482,1.9,↑,1.0,NS,8/15,5,3
Blood,CD4_T,glycolysis,NL→CR,NL,CR,0.249817,0.239903,-4.0,↓,1.0,NS,8/15,5,3
Blood,CD4_T,glycolysis,IT→IA,IT,IA,0.247109,0.265348,7.4,↑,0.730159,NS,12/20,5,4
Blood,CD4_T,glycolysis,IA→AR,IA,AR,0.265348,0.254482,-4.1,↓,1.0,NS,6/12,4,3
Blood,CD4_T,glycolysis,CR→AR,CR,AR,0.239903,0.254482,6.1,↑,0.4,NS,7/9,3,3
Blood,CD8_T,glycolysis,NL→IT,NL,IT,0.24213,0.234565,-3.1,↓,0.690476,NS,15/25,5,5
Blood,CD8_T,glycolysis,NL→IA,NL,IA,0.24213,0.264678,9.3,↑,0.904762,NS,11/20,5,4
Blood,CD8_T,glycolysis,NL→AR,NL,AR,0.24213,0.249976,3.2,↑,1.0,NS,7/15,5,3
Blood,CD8_T,glycolysis,NL→CR,NL,CR,0.24213,0.231629,-4.3,↓,0.785714,NS,9/15,5,3
Blood,CD8_T,glycolysis,IT→IA,IT,IA,0.234565,0.264678,12.8,↑,0.412698,NS,14/20,5,4
Blood,CD8_T,glycolysis,IA→AR,IA,AR,0.264678,0.249976,-5.6,↓,1.0,NS,6/12,4,3
Blood,CD8_T,glycolysis,CR→AR,CR,AR,0.231629,0.249976,7.9,↑,0.2,NS,8/9,3,3
Blood,NK,glycolysis,NL→IT,NL,IT,0.217794,0.223756,2.7,↑,0.690476,NS,15/25,5,5
Blood,NK,glycolysis,NL→IA,NL,IA,0.217794,0.253481,16.4,↑,0.412698,NS,14/20,5,4
