tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,TBX21,PlasmaB,CR→AR,CR,AR,0.007413667,0.00444619,-40.0,↓,1.0,NS,3/9,3,3
Blood,TCF7,Myeloid,NL→IT,NL,IT,0.033426706,0.010245924,-69.30000305175781,↓,1.0,NS,10/25,5,5
Blood,TCF7,Myeloid,NL→IA,NL,IA,0.033426706,0.014331033,-57.09999847412109,↓,0.533389,NS,6/20,5,4
Blood,TCF7,Myeloid,NL→AR,NL,AR,0.033426706,0.018376315,-45.0,↓,0.548595,NS,5/15,5,3
Blood,TCF7,Myeloid,NL→CR,NL,CR,0.033426706,0.035098147,5.0,↑,0.230243,NS,12/15,5,3
Blood,TCF7,Myeloid,IT→IA,IT,IA,0.010245924,0.014331033,39.900001525878906,↑,0.708624,NS,11/20,5,4
Blood,TCF7,Myeloid,IA→AR,IA,AR,0.014331033,0.018376315,28.200000762939453,↑,1.0,NS,6/12,4,3
Blood,TCF7,Myeloid,CR→AR,CR,AR,0.035098147,0.018376315,-47.59999847412109,↓,0.4,NS,7/9,3,3
Blood,TCF7,CD4_T,NL→IT,NL,IT,0.8704773,1.4355121,64.9000015258789,↑,0.095238,†,21/25,5,5
Blood,TCF7,CD4_T,NL→IA,NL,IA,0.8704773,1.4041619,61.29999923706055,↑,0.412698,NS,14/20,5,4
Blood,TCF7,CD4_T,NL→AR,NL,AR,0.8704773,1.5602232,79.19999694824219,↑,0.071429,†,14/15,5,3
Blood,TCF7,CD4_T,NL→CR,NL,CR,0.8704773,1.2449695,43.0,↑,0.25,NS,12/15,5,3
Blood,TCF7,CD4_T,IT→IA,IT,IA,1.4355121,1.4041619,-2.200000047683716,↓,1.0,NS,10/20,5,4
Blood,TCF7,CD4_T,IA→AR,IA,AR,1.4041619,1.5602232,11.100000381469728,↑,0.857143,NS,7/12,4,3
Blood,TCF7,CD4_T,CR→AR,CR,AR,1.2449695,1.5602232,25.299999237060547,↑,0.7,NS,6/9,3,3
Blood,TCF7,CD8_T,NL→IT,NL,IT,0.65347505,1.2383771,89.5,↑,0.031746,*,23/25,5,5
Blood,TCF7,CD8_T,NL→IA,NL,IA,0.65347505,1.1057454,69.19999694824219,↑,0.412698,NS,14/20,5,4
Blood,TCF7,CD8_T,NL→AR,NL,AR,0.65347505,0.99729013,52.59999847412109,↑,0.571429,NS,10/15,5,3
Blood,TCF7,CD8_T,NL→CR,NL,CR,0.65347505,1.0702636,63.79999923706055,↑,0.392857,NS,11/15,5,3
Blood,TCF7,CD8_T,IT→IA,IT,IA,1.2383771,1.1057454,-10.699999809265137,↓,1.0,NS,10/20,5,4
Blood,TCF7,CD8_T,IA→AR,IA,AR,1.1057454,0.99729013,-9.800000190734863,↓,1.0,NS,6/12,4,3
Blood,TCF7,CD8_T,CR→AR,CR,AR,1.0702636,0.99729013,-6.800000190734863,↓,0.7,NS,3/9,3,3
Blood,TCF7,NK,NL→IT,NL,IT,0.048513614,0.14499222,198.8999938964844,↑,0.031746,*,23/25,5,5
Blood,TCF7,NK,NL→IA,NL,IA,0.048513614,0.29264906,503.2000122070313,↑,0.015873,*,20/20,5,4
Blood,TCF7,NK,NL→AR,NL,AR,0.048513614,0.1838376,278.8999938964844,↑,0.035714,*,15/15,5,3
Blood,TCF7,NK,NL→CR,NL,CR,0.048513614,0.19864564,309.5,↑,0.035714,*,15/15,5,3
Blood,TCF7,NK,IT→IA,IT,IA,0.14499222,0.29264906,101.8000030517578,↑,0.031746,*,19/20,5,4
Blood,TCF7,NK,IA→AR,IA,AR,0.29264906,0.1838376,-37.20000076293945,↓,0.114286,NS,11/12,4,3
Blood,TCF7,NK,CR→AR,CR,AR,0.19864564,0.1838376,-7.5,↓,1.0,NS,5/9,3,3
Blood,TCF7,B,NL→IT,NL,IT,0.017019272,0.056444734,231.6999969482422,↑,0.036145,*,23/25,5,5
Blood,TCF7,B,NL→IA,NL,IA,0.017019272,0.08075696,374.5,↑,0.170609,NS,15/20,5,4
Blood,TCF7,B,NL→AR,NL,AR,0.017019272,0.079316474,366.0,↑,0.03577,*,15/15,5,3
Blood,TCF7,B,NL→CR,NL,CR,0.017019272,0.048635107,185.8000030517578,↑,0.071924,†,14/15,5,3
Blood,TCF7,B,IT→IA,IT,IA,0.056444734,0.08075696,43.09999847412109,↑,0.730159,NS,12/20,5,4
Blood,TCF7,B,IA→AR,IA,AR,0.08075696,0.079316474,-1.7999999523162842,↓,1.0,NS,6/12,4,3
