Gene,Lineage,Tissue,NL->IT,NL->IA,NL->AR,IA vs AR
TET2,Myeloid,Blood,*+150.1% (p=0.008),*+139.9% (p=0.016),*+141.4% (p=0.036),+0.6% (p=1.000)
TET2,NK,Blood,*+72.0% (p=0.032),+73.3% (p=0.111),+37.7% (p=0.143),-20.5% (p=0.400)
TET2,B,Liver,*+421.8% (p=0.008),*+209.0% (p=0.035),+128.1% (p=0.154),-26.2% (p=0.393)
TGFB1,Myeloid,Liver,+9.1% (p=0.485),*+46.8% (p=0.017),+33.8% (p=0.167),-8.8% (p=0.571)
TGFB1,Myeloid,Blood,*+155.6% (p=0.008),*+176.0% (p=0.016),*+135.3% (p=0.036),-14.8% (p=0.400)
TGFB1,NK,Blood,+22.8% (p=0.309),*+76.6% (p=0.016),+14.7% (p=0.786),-35.1% (p=0.400)
TGFB1,PlasmaB,Blood,*+197.8% (p=0.016),*+215.6% (p=0.016),+95.8% (p=0.143),-38.0% (p=0.400)
LGALS9,Myeloid,Blood,*+93.7% (p=0.016),*+96.4% (p=0.032),(t)+67.7% (p=0.071),-14.6% (p=0.400)
LGALS9,CD4_T,Liver,+104.9% (p=0.149),*+131.4% (p=0.017),+118.4% (p=0.167),-5.6% (p=0.571)
LGALS9,NK,Liver,*+61.6% (p=0.026),+10.5% (p=0.792),+2.4% (p=1.000),-7.4% (p=0.786)
SOCS1,CD4_T,Liver,-21.8% (p=0.240),-28.4% (p=0.247),*-36.6% (p=0.048),-11.4% (p=0.571)
SOCS1,CD4_T,Blood,*-67.0% (p=0.008),-23.6% (p=0.286),(t)-65.3% (p=0.071),-54.6% (p=1.000)
SOCS1,CD8_T,Blood,*-64.0% (p=0.008),-12.9% (p=0.286),*-68.1% (p=0.036),-63.4% (p=0.857)
SOCS1,NK,Liver,*-22.5% (p=0.026),-25.6% (p=0.177),*-38.6% (p=0.024),-17.5% (p=0.393)
SOCS1,PlasmaB,Liver,(t)+128.4% (p=0.082),(t)+262.4% (p=0.052),*+203.3% (p=0.024),-16.3% (p=1.000)
SOCS3,CD4_T,Blood,*-76.9% (p=0.008),-65.2% (p=0.111),*-73.3% (p=0.036),-23.3% (p=1.000)
