Gene,Lineage,Tissue,NL->IT_change,NL->IT_p,NL->IT_sig,NL->IT_cons,NL->IA_change,NL->IA_p,NL->IA_sig,NL->IA_cons,NL->AR_change,NL->AR_p,NL->AR_sig,NL->AR_cons,IA->AR_change,IA->AR_p,IA->AR_sig,IA->AR_cons,IT->IA_change,IT->IA_p,IT->IA_sig,IT->IA_cons
DNMT1,CD4_T,Blood,42.00%,0.0556,(t),22/25,41.80%,0.1111,,17/20,45.40%,0.0357,*,15/15,2.60%,1,,12-6,-0.20%,1,,20-10
DNMT1,CD8_T,Blood,35.50%,0.0556,(t),22/25,29.40%,0.4127,,14/20,37.20%,0.0357,*,15/15,6.10%,1,,12-6,-4.50%,1,,20-10
DNMT1,NK,Blood,64.30%,0.0317,*,23/25,74.50%,0.0317,*,19/20,67.10%,0.0357,*,15/15,-4.20%,0.8571,,12-7,6.20%,0.7302,,20-12
DNMT1,PlasmaB,Liver,161.50%,0.0823,(t),25/30,237.00%,0.0087,*,29/30,25.60%,0.5476,,18-12,-62.70%,0.0357,*,15/15,28.90%,0.5476,,16/25
CTLA4,CD4_T,Liver,171.10%,0.0043,*,35/36,163.10%,0.0303,*,27/30,133.80%,0.0952,(t),16/18,-11.10%,0.7857,,15-9,-3.00%,0.9307,,16/30
CTLA4,CD8_T,Liver,257.70%,0.0649,(t),30/36,583.80%,0.0173,*,28/30,470.70%,0.0238,*,18/18,-16.50%,1,,15-8,91.20%,0.2468,,22/30
CTLA4,CD8_T,Blood,-71.50%,0.0079,*,25/25,43.30%,0.2857,,20-5,-57.20%,0.3929,,15-11,-70.10%,0.4,,12-3,403.00%,0.9048,,20-9
CTLA4,NK,Liver,178.40%,0.2946,,24/36,391.70%,0.0353,*,27/30,178.80%,0.0919,(t),16/18,-43.30%,0.7857,,15-9,76.60%,0.329,,21/30
CTLA4,B,Liver,0.00%,1,,0/30,from_zero,0.0484,*,18/30,0.00%,1,,0/18,-100.00%,0.1719,,15-9,from_zero,0.072,(t),15/25
TOX,Myeloid,Liver,1856.80%,0.0043,*,36/36,-24.60%,0.9076,,30-8,299.10%,0.2031,,18-12,429.30%,0.1719,,15-10,-96.10%,0.0067,*,30/30
TOX,CD4_T,Liver,100.70%,0.0087,*,34/36,70.20%,0.1255,,24/30,67.00%,0.0238,*,18/18,-1.90%,0.5714,,15-10,-15.20%,0.9307,,14/30
TOX,CD8_T,Liver,86.60%,0.0022,*,36/36,94.20%,0.1255,,24/30,85.90%,0.0238,*,18/18,-4.30%,0.5714,,15-10,4.10%,0.329,,21/30
TOX,B,Liver,94.50%,0.3109,,20/30,244.10%,0.0353,*,27/30,160.70%,0.1539,,15/18,-24.20%,0.7857,,15-9,76.90%,0.5476,,16/25
GZMB,CD8_T,Liver,4.60%,0.6991,,21/36,-40.70%,0.1255,,24/30,37.50%,0.2619,,14/18,131.90%,0.0357,*,15/15,-43.30%,0.0519,(t),26/30
GZMB,PlasmaB,Liver,297.70%,0.0087,*,29/30,232.30%,0.0519,(t),26/30,265.20%,0.0476,*,17/18,9.90%,0.7857,,15-9,-16.50%,0.5476,,16/25
PRF1,Myeloid,Liver,from_zero,0.0096,*,30/36,from_zero,0.3613,,30-6,0.00%,1,,0/18,-100.00%,0.6056,,15-3,-20.50%,0.2133,,20/30
PRF1,CD4_T,Liver,-18.90%,0.0931,(t),29/36,-39.00%,0.0303,*,27/30,-26.80%,0.1667,,15/18,19.90%,0.5714,,15-10,-24.80%,0.1255,,24/30
GZMK,Myeloid,Liver,248.30%,0.2946,,25/36,-94.30%,0.2448,,15/30,28.90%,0.7874,,18-9,2175.80%,0.3055,,15-9,-98.40%,0.0116,*,29/30
GZMK,CD4_T,Liver,23.30%,0.0931,(t),29/36,-0.10%,0.7922,,13/30,42.70%,0.0238,*,18/18,42.70%,0.0714,(t),14/15,-19.00%,0.1775,,23/30
GZMK,CD8_T,Liver,28.70%,0.0649,(t),30/36,-0.50%,1,,15/30,35.00%,0.0238,*,18/18,35.70%,0.0357,*,15/15,-22.70%,0.0303,*,27/30
GZMK,NK,Liver,8.40%,0.8182,,20/36,16.00%,0.4286,,20/30,48.90%,0.0238,*,18/18,28.40%,0.3929,,15-11,7.00%,1,,15/30
GZMK,NK,Blood,55.50%,0.8413,,14/25,306.40%,0.0159,*,20/20,61.00%,0.1429,,13/15,-60.40%,0.4,,12-9,161.30%,0.1111,,17/20
DNMT3A,Myeloid,Blood,348.30%,0.0119,*,25/25,306.20%,0.0195,*,20/20,309.00%,0.0358,*,15/15,0.70%,0.8571,,12-5,-9.40%,0.9048,,20-11
DNMT3A,CD4_T,Blood,133.20%,0.0079,*,25/25,116.40%,0.1905,,16/20,147.10%,0.0357,*,15/15,14.20%,0.6286,,12-8,-7.20%,0.9048,,20-11
DNMT3A,CD8_T,Blood,90.30%,0.0159,*,24/25,89.40%,0.0635,(t),18/20,70.00%,0.0714,(t),14/15,-10.20%,0.8571,,12-5,-0.50%,0.9048,,20-11
DNMT3A,NK,Blood,48.30%,0.3095,,18/25,113.80%,0.0317,*,19/20,70.80%,0.1429,,13/15,-20.10%,0.6286,,12-8,44.10%,0.1111,,17/20
DNMT3A,B,Blood,204.30%,0.0593,(t),22/25,160.10%,0.0651,(t),18/20,204.10%,0.0358,*,15/15,16.90%,0.8571,,12-7,-14.50%,0.5556,,13/20
DNMT3A,PlasmaB,Liver,748.70%,0.0116,*,29/30,317.10%,0.1036,,22/30,948.30%,0.0431,*,17/18,151.40%,0.25,,15-12,-50.90%,0.2222,,19/25
TET2,Myeloid,Blood,150.10%,0.0079,*,25/25,139.90%,0.0159,*,20/20,141.40%,0.0357,*,15/15,0.60%,1,,12-6,-4.00%,0.5556,,13/20
TET2,NK,Blood,72.00%,0.0317,*,23/25,73.30%,0.1111,,17/20,37.70%,0.1429,,13/15,-20.50%,0.4,,12-9,0.80%,0.9048,,20-9
TET2,B,Liver,421.80%,0.008,*,30/30,209.00%,0.0353,*,27/30,128.10%,0.1539,,15/18,-26.20%,0.3929,,15-11,-40.80%,0.0952,(t),21/25
TGFB1,Myeloid,Liver,9.10%,0.4848,,23/36,46.80%,0.0173,*,28/30,33.80%,0.1667,,15/18,-8.80%,0.5714,,15-10,34.50%,0.1255,,24/30
TGFB1,Myeloid,Blood,155.60%,0.0079,*,25/25,176.00%,0.0159,*,20/20,135.30%,0.0357,*,15/15,-14.80%,0.4,,12-9,8.00%,0.4127,,14/20
TGFB1,NK,Blood,22.80%,0.3095,,18/25,76.60%,0.0159,*,20/20,14.70%,0.7857,,15-9,-35.10%,0.4,,12-9,43.90%,0.0159,*,20/20
TGFB1,PlasmaB,Blood,197.80%,0.0159,*,24/25,215.60%,0.0159,*,20/20,95.80%,0.1429,,13/15,-38.00%,0.4,,12-9,6.00%,1,,20-10
LGALS9,Myeloid,Blood,93.70%,0.0159,*,24/25,96.40%,0.0317,*,19/20,67.70%,0.0714,(t),14/15,-14.60%,0.4,,12-9,1.40%,1,,20-10
LGALS9,CD4_T,Liver,104.90%,0.1488,,27/36,131.40%,0.0173,*,28/30,118.40%,0.1667,,15/18,-5.60%,0.5714,,15-10,12.90%,0.9307,,16/30
LGALS9,NK,Liver,61.60%,0.026,*,32/36,10.50%,0.7922,,17/30,2.40%,1,,18-9,-7.40%,0.7857,,15-9,-31.60%,0.0519,(t),26/30
SOCS1,CD4_T,Liver,-21.80%,0.2403,,26/36,-28.40%,0.2468,,22/30,-36.60%,0.0476,*,17/18,-11.40%,0.5714,,15-10,-8.40%,1,,15/30
SOCS1,CD4_T,Blood,-67.00%,0.0079,*,25/25,-23.60%,0.2857,,15/20,-65.30%,0.0714,(t),14/15,-54.60%,1,,12-6,131.50%,0.9048,,20-9
SOCS1,CD8_T,Blood,-64.00%,0.0079,*,25/25,-12.90%,0.2857,,15/20,-68.10%,0.0357,*,15/15,-63.40%,0.8571,,12-7,142.10%,0.7302,,20-8
SOCS1,NK,Liver,-22.50%,0.026,*,32/36,-25.60%,0.1775,,23/30,-38.60%,0.0238,*,18/18,-17.50%,0.3929,,15-11,-4.00%,0.7922,,13/30
SOCS1,PlasmaB,Liver,128.40%,0.0823,(t),25/30,262.40%,0.0519,(t),26/30,203.30%,0.0238,*,18/18,-16.30%,1,,15-8,58.70%,0.4206,,17/25
SOCS3,CD4_T,Blood,-76.90%,0.0079,*,25/25,-65.20%,0.1111,,17/20,-73.30%,0.0357,*,15/15,-23.30%,1,,12-6,50.70%,1,,20-10
SOCS3,CD8_T,Blood,-78.90%,0.0159,*,24/25,-49.10%,0.1111,,17/20,-71.60%,0.1429,,13/15,-44.20%,0.8571,,12-7,141.20%,0.7302,,20-12
PRDM1,CD4_T,Liver,-36.40%,0.0022,*,36/36,-45.80%,0.0043,*,30/30,-25.40%,0.2619,,14/18,37.80%,0.25,,15-12,-14.90%,0.5368,,19/30
PRDM1,CD4_T,Blood,-58.50%,0.0079,*,25/25,-64.00%,0.0159,*,20/20,-68.90%,0.0357,*,15/15,-13.60%,0.6286,,12-8,-13.20%,0.7302,,20-12
PRDM1,CD8_T,Blood,-57.90%,0.0079,*,25/25,-45.90%,0.1111,,17/20,-41.30%,0.1429,,13/15,8.50%,0.8571,,12-7,28.70%,0.2857,,15/20
PRDM1,NK,Blood,-31.40%,0.0556,(t),22/25,-50.00%,0.0159,*,20/20,-34.80%,0.1429,,13/15,30.50%,0.4,,12-9,-27.20%,0.1111,,17/20
BCL6,CD8_T,Liver,163.10%,0.0043,*,35/36,85.80%,0.1775,,23/30,33.00%,0.5476,,18-12,-28.40%,1,,15-8,-29.40%,0.2468,,22/30
BCL6,B,Blood,217.90%,0.0119,*,25/25,402.20%,0.0195,*,20/20,63.50%,0.5486,,15-10,-67.40%,0.1143,,12-11,58.00%,0.5556,,13/20
JAK1,Myeloid,Liver,31.20%,0.132,,28/36,58.40%,0.0303,*,27/30,54.80%,0.0476,*,17/18,-2.30%,0.7857,,15-9,20.70%,0.4286,,20/30
JAK1,Myeloid,Blood,128.30%,0.0079,*,25/25,135.50%,0.0159,*,20/20,139.30%,0.0357,*,15/15,1.60%,0.6286,,12-4,3.20%,0.7302,,20-12
JAK1,CD4_T,Liver,36.00%,0.0411,*,31/36,30.60%,0.0823,(t),25/30,29.00%,0.0952,(t),16/18,-1.30%,0.7857,,15-9,-3.90%,0.7922,,17/30
JAK1,CD4_T,Blood,22.30%,0.0952,(t),21/25,39.80%,0.0159,*,20/20,42.00%,0.0357,*,15/15,1.60%,0.8571,,12-7,14.30%,0.1905,,16/20
JAK1,CD8_T,Liver,18.40%,0.132,,28/36,26.70%,0.1255,,24/30,30.50%,0.0476,*,17/18,3.00%,0.7857,,15-6,7.00%,0.7922,,17/30
JAK1,CD8_T,Blood,26.80%,0.5476,,16/25,47.40%,0.0317,*,19/20,48.30%,0.0357,*,15/15,0.60%,1,,12-6,16.20%,0.2857,,15/20
JAK1,NK,Blood,46.90%,0.0079,*,25/25,64.80%,0.0159,*,20/20,51.20%,0.0357,*,15/15,-8.20%,0.6286,,12-8,12.10%,0.1905,,16/20
JAK1,B,Liver,73.10%,0.0043,*,30/30,57.90%,0.0303,*,27/30,66.90%,0.0476,*,17/18,5.70%,0.7857,,15-9,-8.80%,0.6905,,15/25
JAK1,B,Blood,46.60%,0.0079,*,25/25,51.30%,0.0635,(t),18/20,63.90%,0.0357,*,15/15,8.30%,0.6286,,12-8,3.20%,0.5556,,13/20
JAK1,PlasmaB,Liver,76.10%,0.0173,*,28/30,168.80%,0.0173,*,28/30,123.50%,0.0238,*,18/18,-16.90%,0.3929,,15-11,52.60%,0.0952,(t),21/25
JAK1,PlasmaB,Blood,133.70%,0.0159,*,24/25,96.80%,0.1905,,16/20,79.90%,0.0714,(t),14/15,-8.60%,0.8571,,12-7,-15.80%,0.9048,,20-11
MTOR,Myeloid,Liver,327.30%,0.0341,*,30/36,50.90%,0.8422,,30-12,276.90%,0.2807,,18-12,149.70%,0.2662,,15-10,-64.70%,0.0617,(t),24/30
MTOR,Myeloid,Blood,520.50%,0.0119,*,25/25,608.50%,0.0195,*,20/20,617.20%,0.0358,*,15/15,1.20%,0.4,,12-3,14.20%,0.7302,,20-12
MTOR,CD4_T,Liver,154.90%,0.0087,*,34/36,84.00%,0.0519,(t),26/30,57.10%,0.381,,13/18,-14.60%,1,,15-8,-27.80%,0.329,,21/30
MTOR,CD8_T,Blood,95.50%,0.2222,,19/25,106.90%,0.0159,*,20/20,130.10%,0.0357,*,15/15,11.20%,0.4,,12-9,5.80%,0.9048,,20-11
MTOR,B,Blood,214.20%,0.0212,*,24/25,195.60%,0.1099,,17/20,255.20%,0.0358,*,15/15,20.20%,0.8571,,12-7,-5.90%,1,,20-10
AIM2,Myeloid,Blood,1431.20%,0.0112,*,25/25,1705.30%,0.0179,*,20/20,1359.00%,0.0325,*,15/15,-19.20%,0.6286,,12-8,17.90%,0.5556,,13/20
AIM2,B,Liver,114.70%,0.0519,(t),26/30,191.60%,0.0087,*,29/30,251.60%,0.0238,*,18/18,20.60%,1,,15-8,35.80%,0.2222,,19/25
AIM2,PlasmaB,Blood,258.00%,0.057,(t),22/25,271.60%,0.0617,(t),18/20,484.50%,0.0325,*,15/15,57.30%,0.2286,,12-10,3.80%,0.7302,,20-12
MEFV,Myeloid,Blood,201.10%,0.0079,*,25/25,146.20%,0.1905,,16/20,156.80%,0.0357,*,15/15,4.30%,0.8571,,12-5,-18.20%,0.9048,,20-11
TYROBP,CD4_T,Liver,-15.60%,0.6991,,21/36,-47.00%,0.0173,*,28/30,-48.40%,0.0476,*,17/18,-2.70%,1,,15-7,-37.20%,0.4286,,20/30
TYROBP,CD8_T,Liver,-29.60%,0.5887,,22/36,-73.70%,0.0173,*,28/30,-65.10%,0.1667,,15/18,32.50%,0.5714,,15-10,-62.60%,0.1255,,24/30
TYROBP,B,Liver,7.10%,1,,15/30,-59.80%,0.4286,,20/30,-100.00%,0.0591,(t),15/18,-100.00%,0.0325,*,15/15,-62.50%,0.4206,,17/25
TYROBP,PlasmaB,Liver,237.60%,0.0087,*,29/30,205.60%,0.0823,(t),25/30,235.80%,0.0476,*,17/18,9.90%,0.7857,,15-9,-9.50%,0.6905,,15/25
TYROBP,PlasmaB,Blood,910.80%,0.0079,*,25/25,774.60%,0.0159,*,20/20,170.80%,0.3929,,15-11,-69.00%,0.0571,(t),12-12,-13.50%,0.7302,,20-12
FCER1G,B,Liver,149.30%,0.4859,,15/30,223.90%,0.0759,(t),25/30,-100.00%,0.3768,,18-6,-100.00%,0.0325,*,15/15,29.90%,0.402,,17/25
FCER1G,PlasmaB,Liver,219.40%,0.0173,*,28/30,213.20%,0.0519,(t),26/30,274.50%,0.0238,*,18/18,19.60%,0.7857,,15-9,-1.90%,0.8413,,25-11
FCER1G,PlasmaB,Blood,514.80%,0.0212,*,24/25,437.30%,0.0651,(t),18/20,92.90%,0.2302,,15-12,-64.10%,0.0571,(t),12-12,-12.60%,0.7302,,20-12
