Gene,Lineage,Tissue,NL→IT_change,NL→IT_p,NL→IT_sig,NL→IT_consistency,IT→IA_change,IT→IA_p,IT→IA_sig,IT→IA_consistency,NL→IA_change,NL→IA_p,NL→IA_sig,NL→IA_consistency,Pattern
JAK1,CD4_T,Liver,↑36.0%,0.0411,★,31/36,↓3.9%,0.7922,,17/30,↑30.6%,0.0823,†,25/30,IT-persistent
JAK1,CD8_T,Blood,↑26.8%,0.5476,,16/25,↑16.2%,0.2857,,15/20,↑47.4%,0.0317,★,19/20,Chronic (NL→IA sig)
JAK1,Myeloid,Blood,↑128.3%,0.0079,★,25/25,↑3.2%,0.7302,,12/20,↑135.5%,0.0159,★,20/20,IT-persistent
JAK1,Myeloid,Liver,↑31.2%,0.132,,28/36,↑20.7%,0.4286,,20/30,↑58.4%,0.0303,★,27/30,Chronic (NL→IA sig)
JAK1,NK,Blood,↑46.9%,0.0079,★,25/25,↑12.1%,0.1905,,16/20,↑64.8%,0.0159,★,20/20,IT-persistent
MTOR,CD4_T,Liver,↑154.9%,0.0087,★,34/36,↓27.8%,0.329,,21/30,↑84.0%,0.0519,†,26/30,IT-persistent
MTOR,CD8_T,Blood,↑95.5%,0.2222,,19/25,↑5.8%,0.9048,,11/20,↑106.9%,0.0159,★,20/20,Chronic (NL→IA sig)
MTOR,Myeloid,Blood,↑520.5%,0.0119,★,25/25,↑14.2%,0.7302,,12/20,↑608.5%,0.0195,★,20/20,IT-persistent
MTOR,Myeloid,Liver,↑327.3%,0.0341,★,30/36,↓64.7%,0.0617,†,24/30,↑50.9%,0.8422,,12/30,IT-persistent
PRDM1,CD4_T,Blood,↓58.5%,0.0079,★,25/25,↓13.2%,0.7302,,12/20,↓64.0%,0.0159,★,20/20,IT-persistent
PRDM1,CD4_T,Liver,↓36.4%,0.0022,★,36/36,↓14.9%,0.5368,,19/30,↓45.8%,0.0043,★,30/30,IT-persistent
PRDM1,CD8_T,Blood,↓57.9%,0.0079,★,25/25,↑28.7%,0.2857,,15/20,↓45.9%,0.1111,,17/20,IT-persistent
PRDM1,NK,Blood,↓31.4%,0.0556,†,22/25,↓27.2%,0.1111,,17/20,↓50.0%,0.0159,★,20/20,Chronic (NL→IA sig)
FOXP3,CD4_T,Liver,↑153.7%,0.0931,†,29/36,↑40.0%,0.6623,,18/30,↑255.0%,0.0043,★,30/30,Chronic (NL→IA sig)
FOXP3,CD8_T,Blood,↑358.8%,0.2652,,15/25,↑151.4%,0.1099,,17/20,↑1053.4%,0.0179,★,20/20,Chronic (NL→IA sig)
FOXP3,CD8_T,Liver,↑1247.4%,0.045,★,31/36,↓80.9%,0.329,,21/30,↑157.4%,0.407,,19/30,IT-persistent
FOXP3,NK,Liver,↑526.1%,0.1044,,24/36,↑92.8%,0.519,,18/30,↑1107.0%,0.0444,★,24/30,Chronic (NL→IA sig)
TIGIT,CD4_T,Liver,↑123.8%,0.0152,★,33/36,↑15.0%,0.5368,,19/30,↑157.4%,0.0087,★,29/30,IT-persistent
TIGIT,CD8_T,Liver,↑151.5%,0.0043,★,35/36,↑13.7%,0.4286,,20/30,↑186.0%,0.0823,†,25/30,IT-persistent
TIGIT,Myeloid,Blood,↑inf%,0.1797,,10/25,↑369.0%,0.1706,,16/20,↑inf%,0.0108,★,20/20,Chronic (NL→IA sig)
CTLA4,CD4_T,Liver,↑171.1%,0.0043,★,35/36,↓3.0%,0.9307,,16/30,↑163.1%,0.0303,★,27/30,IT-persistent
CTLA4,CD8_T,Blood,↓71.5%,0.0079,★,25/25,↑403.0%,0.9048,,9/20,↑43.3%,0.2857,,5/20,IT-persistent
CTLA4,CD8_T,Liver,↑257.7%,0.0649,†,30/36,↑91.2%,0.2468,,22/30,↑583.8%,0.0173,★,28/30,Chronic (NL→IA sig)
CTLA4,NK,Liver,↑178.4%,0.2946,,24/36,↑76.6%,0.329,,21/30,↑391.7%,0.0353,★,27/30,Chronic (NL→IA sig)
BCL6,CD8_T,Liver,↑163.1%,0.0043,★,35/36,↓29.4%,0.2468,,22/30,↑85.8%,0.1775,,23/30,IT-persistent
